,approx entropy,betw cen e-plv theta,clust coef e-plv beta,lzc primitive,mod index theta-alpha,mod index theta-beta,mod index theta-gamma,node str e-plv beta,relative ampl delta,skewness ampl theta,source ampl alpha,spectral entropy alpha,spectral entropy delta
approx entropy_TP8,0.451066484886419,0.3370324023550786,0.405485442968707,0.8989190987614695,0.5976775860866739,0.606126344669698,0.6009157992365863,0.3459780186277221,0.4959058087761712,0.5529271208732026,0.5781729015572062,0.6892770963538878,0.4887330974050727
betw cen e-plv theta_CPz,0.3370324023550786,0.43118907587821353,0.37501106065484424,0.3325042001433772,0.2832629116116539,0.21383701143927744,0.30605531457400725,0.3655127268555199,0.3574899505549902,0.23603734502497473,0.33488892866664016,0.3342097970714124,0.34514032395625305
clust coef e-plv beta_FT8,0.405485442968707,0.37501106065484424,0.46238567751492604,0.3892060162691737,0.37463406311863806,0.4296198584173868,0.4247969516259727,0.9477184295893384,0.3570727937477179,0.40446094550173944,0.32735923618206286,0.35422111719741556,0.3477009172971907
lzc primitive_TP8,0.8989190987614695,0.3325042001433772,0.3892060162691737,0.4242661441872545,0.6802970252460534,0.7020659695307967,0.6185630390923177,0.34945344205860107,0.5862344194340158,0.593704439736534,0.5683150557030273,0.7468929955865107,0.5892415375882627
mod index theta-alpha_C5,0.5976775860866739,0.2832629116116539,0.37463406311863806,0.6802970252460534,0.4674671021608061,0.7743220020253093,0.7263292529254292,0.3935223899417616,0.7188238840405332,0.6671879580513272,0.7150631584251832,0.7177818388395142,0.7292394424905763
mod index theta-beta_FC5,0.606126344669698,0.21383701143927744,0.4296198584173868,0.7020659695307967,0.7743220020253093,0.4361293703618379,0.6710041483582004,0.4372094448586457,0.6016384329646774,0.7361306858005199,0.534389228147305,0.6353924903068223,0.6092336148641491
mod index theta-gamma_P3,0.6009157992365863,0.30605531457400725,0.4247969516259727,0.6185630390923177,0.7263292529254292,0.6710041483582004,0.4402478722808679,0.3917749045937709,0.6449952754831324,0.5800228551939284,0.5249823825821037,0.5906410663416141,0.6475349619713274
node str e-plv beta_FT8,0.3459780186277221,0.3655127268555199,0.9477184295893384,0.34945344205860107,0.3935223899417616,0.4372094448586457,0.3917749045937709,0.44370079693351266,0.3538461427838994,0.3720905046128138,0.2901761376405728,0.3328729874231829,0.34834953799742613
relative ampl delta_P7,0.4959058087761712,0.3574899505549902,0.3570727937477179,0.5862344194340158,0.7188238840405332,0.6016384329646774,0.6449952754831324,0.3538461427838994,0.4210608233923095,0.5168016334489358,0.622713904994058,0.7465369117015237,0.9970888163090552
skewness ampl theta_PO10,0.5529271208732026,0.23603734502497473,0.40446094550173944,0.593704439736534,0.6671879580513272,0.7361306858005199,0.5800228551939284,0.3720905046128138,0.5168016334489358,0.4674927097536522,0.5728995748261272,0.4698890969041391,0.5210269456604953
source ampl alpha_RParahippocampalGyrus,0.5781729015572062,0.33488892866664016,0.32735923618206286,0.5683150557030273,0.7150631584251832,0.534389228147305,0.5249823825821037,0.2901761376405728,0.622713904994058,0.5728995748261272,0.4772717562844497,0.6269441103582437,0.6224397053497316
spectral entropy alpha_TP8,0.6892770963538878,0.3342097970714124,0.35422111719741556,0.7468929955865107,0.7177818388395142,0.6353924903068223,0.5906410663416141,0.3328729874231829,0.7465369117015237,0.4698890969041391,0.6269441103582437,0.40057426818902603,0.7440700166234248
spectral entropy delta_P7,0.4887330974050727,0.34514032395625305,0.3477009172971907,0.5892415375882627,0.7292394424905763,0.6092336148641491,0.6475349619713274,0.34834953799742613,0.9970888163090552,0.5210269456604953,0.6224397053497316,0.7440700166234248,0.42366067345242864
