,ampl total power theta,approx entropy,betw cen e-plv theta,clust coef e-plv beta,hjorth mobility,life time theta,lzc exhaustive,lzc primitive,mean ampl theta,mod index theta-alpha,mod index theta-beta,mod index theta-gamma,node str e-plv beta,relative ampl alpha,skewness ampl beta,skewness ampl theta,source ampl alpha,source ampl theta,spectral entropy alpha,std ampl theta
ampl total power theta_P8,0.4198572825557931,0.7457277265745008,-0.41420720049495274,-0.47153417818740406,-0.7734254992319509,0.6274001536098311,-0.7744815668202765,-0.7895065284178188,1.0,-0.7744815668202765,-0.7105414746543779,-0.713421658986175,-0.4175307219662059,0.7508640552995391,0.29565092165898615,-0.6068548387096775,0.6720910138248849,0.7163978494623656,0.7755376344086021,0.995583717357911
approx entropy_TP8,0.7457277265745008,0.47333058454873495,-0.4096353770899313,-0.4109062980030722,-0.8689516129032258,0.6422331029185868,-0.9075460829493089,-0.9083141321044548,0.7457277265745008,-0.5943740399385561,-0.6118951612903226,-0.5019201228878648,-0.3199404761904762,0.6641225038402457,0.45905337941628266,-0.5348502304147467,0.5600518433179723,0.6617223502304148,0.6710349462365592,0.7509120583717359
betw cen e-plv theta_CPz,-0.4142072004949528,-0.4096353770899313,-0.4833203236681096,0.35000397235308256,0.3824762748082086,-0.3052001029838713,0.38168547292193455,0.38104294638933695,-0.4142072004949528,0.32494543758177524,0.21845902108319207,0.3109087041004117,0.30621331790065986,-0.35178327659719905,-0.27687951043168374,0.25016523421099024,-0.4353858635117283,-0.4338783974160185,-0.3965624334074642,-0.413885937228654
clust coef e-plv beta_FT8,-0.47153417818740406,-0.4109062980030722,0.35000397235308256,-0.47833464129038905,0.4699980798771121,-0.5733966973886329,0.3339093701996928,0.3547907066052227,-0.47153417818740406,0.36127112135176653,0.44642857142857145,0.34735023041474655,0.9414842549923195,-0.3665514592933948,-0.40005760368663595,0.40096966205837176,-0.28485023041474655,-0.4652457757296467,-0.4328917050691244,-0.47455837173579113
hjorth mobility_CP5,-0.7734254992319509,-0.8689516129032258,0.38247627480820856,0.4699980798771121,-0.40774601478976064,-0.6610503072196621,0.8604550691244242,0.8594950076804917,-0.7734254992319509,0.6418010752688172,0.6694508448540708,0.5582757296466974,0.37888824884792627,-0.6980606758832565,-0.49923195084485417,0.5476670506912443,-0.5285618279569892,-0.6694508448540708,-0.7587845622119815,-0.7905625960061444
life time theta_PO7,0.6274001536098311,0.6422331029185868,-0.30520010298387135,-0.5733966973886329,-0.6610503072196621,0.40257273873800214,-0.5920698924731184,-0.605270737327189,0.6274001536098311,-0.5685483870967742,-0.6392089093701997,-0.6382488479262673,-0.49107142857142866,0.5063844086021505,0.35099846390168976,-0.7301747311827957,0.49620775729646704,0.7042050691244239,0.5314900153609831,0.6442972350230415
lzc exhaustive_TP8,-0.7744815668202765,-0.9075460829493089,0.3816854729219346,0.3339093701996928,0.8604550691244242,-0.5920698924731184,-0.41429721950951076,0.9974558371735792,-0.7744815668202765,0.6946044546850999,0.6992607526881721,0.5932699692780339,0.2712173579109063,-0.770497311827957,-0.4064420122887865,0.5887576804915514,-0.5902937788018434,-0.6464093701996928,-0.769729262672811,-0.7797139016897083
lzc primitive_TP8,-0.7895065284178188,-0.9083141321044548,0.381042946389337,0.3547907066052227,0.8594950076804917,-0.605270737327189,0.9974558371735792,-0.4256349132864952,-0.7895065284178188,0.7136136712749617,0.7258064516129032,0.614247311827957,0.29248271889400923,-0.7801459293394778,-0.4104742703533026,0.6006144393241168,-0.6043106758832565,-0.6545698924731184,-0.7823540706605224,-0.7956029185867896
mean ampl theta_P8,1.0,0.7457277265745008,-0.41420720049495274,-0.47153417818740406,-0.7734254992319509,0.6274001536098311,-0.7744815668202765,-0.7895065284178188,0.4198572825557931,-0.7744815668202765,-0.7105414746543779,-0.713421658986175,-0.4175307219662059,0.7508640552995391,0.29565092165898615,-0.6068548387096775,0.6720910138248849,0.7163978494623656,0.7755376344086021,0.995583717357911
mod index theta-alpha_C5,-0.7744815668202765,-0.5943740399385561,0.3249454375817752,0.36127112135176653,0.6418010752688172,-0.5685483870967742,0.6946044546850999,0.7136136712749617,-0.7744815668202765,-0.45251660940591265,0.817828341013825,0.839573732718894,0.37159178187403996,-0.8029473886328726,-0.3276209677419355,0.6989247311827957,-0.7663690476190477,-0.6185675883256528,-0.801891321044547,-0.7752496159754225
