,betw cen e-plv alpha,betw cen e-plv beta,betw cen e-plv theta,clust coef e-icoh alpha,clust coef e-wpli alpha,dfa exponent delta,kurtosis ampl gamma,life time theta,microstate B,microstate C,node str e-wpli alpha
betw cen e-plv alpha_F6,0.29330126035320764,0.3611765248277685,0.10193502267400216,0.16543162638430384,0.13966403219448872,0.15723529819883914,0.1673746236780134,0.17162937158010821,0.17177564290952307,0.2789161053619484,0.1909689216898057
betw cen e-plv beta_F4,0.3611765248277685,0.28097102055420237,0.11302230818850927,0.12124096383862595,0.1291028752584271,0.19199996536660768,0.14595633267992772,0.14774716485111236,0.21408598705010945,0.17835869506934304,0.2186698658436015
betw cen e-plv theta_Pz,0.10193502267400216,0.11302230818850927,0.2763997472336918,0.12352614443276251,0.22071180931047565,0.29621302462642723,0.12059719081158984,0.28703125724762996,0.2077131763114163,0.1255803858534963,0.18572391448963513
clust coef e-icoh alpha_T8,0.16543162638430384,0.12124096383862595,0.12352614443276251,0.26979165932680244,0.7744462010277321,0.15281882788535397,0.22822115933150866,0.15436291121187043,0.4248070699252877,0.2277232833040205,0.7686281914723313
clust coef e-wpli alpha_CP4,0.13966403219448872,0.1291028752584271,0.22071180931047565,0.7744462010277321,0.27696601825414363,0.1368918912245421,0.16528176403677836,0.1654175168557383,0.4113658727714116,0.20938693153824534,0.7569844381958566
dfa exponent delta_FT8,0.15723529819883914,0.19199996536660768,0.29621302462642723,0.15281882788535397,0.1368918912245421,0.31053985127688777,0.15978337198927275,0.26762244379928957,0.1446594405189021,0.14020106699877127,0.16847541378846012
kurtosis ampl gamma_PO9,0.1673746236780134,0.14595633267992772,0.12059719081158984,0.22822115933150866,0.16528176403677836,0.15978337198927275,0.3295386737453709,0.1706069517707097,0.24769856228734155,0.19392318786381305,0.17519516552957676
life time theta_C4,0.17162937158010821,0.14774716485111236,0.28703125724762996,0.15436291121187043,0.1654175168557383,0.26762244379928957,0.1706069517707097,0.27932717720667366,0.17442080042225921,0.14441590298925625,0.21457426901734483
microstate B_Group1_Map2_SegDensity,0.17177564290952307,0.21408598705010945,0.2077131763114163,0.4248070699252877,0.4113658727714116,0.1446594405189021,0.24769856228734155,0.17442080042225921,0.2714128899455344,0.1983456641924592,0.48454750430896465
microstate C_Group1_Map3_SegDensity,0.2789161053619484,0.17835869506934304,0.1255803858534963,0.2277232833040205,0.20938693153824534,0.14020106699877127,0.19392318786381305,0.14441590298925625,0.1983456641924592,0.23154942034055798,0.23690598524520387
node str e-wpli alpha_C6,0.1909689216898057,0.2186698658436015,0.18572391448963513,0.7686281914723313,0.7569844381958566,0.16847541378846012,0.17519516552957676,0.21457426901734483,0.48454750430896465,0.23690598524520387,0.3021362030655769
