,betw cen e-plv beta,clust coef e-icoh theta,clust coef e-plv alpha,clust coef e-plv beta,clust coef e-plv delta,clust coef e-plv theta,life time delta,microstate D,node str e-icoh theta,node str e-plv alpha,node str e-plv beta,node str e-plv delta,node str e-plv theta,skewness ampl delta,waiting time delta
betw cen e-plv beta_T7,0.28104550085731805,0.15609674053211864,0.13524554230363678,0.09582512400000577,0.19103752344124755,0.16520699752356857,0.1234447495859743,0.24586276894258965,0.14790716771432227,0.13775379649196107,0.1444330818262265,0.19960050994420128,0.1675342070908821,0.1281838721616865,0.14360614716010053
clust coef e-icoh theta_O1,0.15609674053211864,0.2971287945400036,0.42856589463456873,0.11417076515664734,0.1385372633557449,0.380731993857342,0.3405542312972416,0.32847610610825584,0.9732827851749182,0.36611316939008454,0.19705245899424692,0.12876865044002905,0.2550181862269996,0.38441026013641194,0.20051849268862637
clust coef e-plv alpha_Fp2,0.13524554230363678,0.42856589463456873,0.32185697148419207,0.40662289877580426,0.18358048720916237,0.5592981637899057,0.2699783659610293,0.324632827135835,0.39544985305363295,0.9598672620299536,0.2965787440931892,0.184617580238512,0.49451416618494254,0.30865855768879585,0.1564689839740936
clust coef e-plv beta_Fp2,0.09582512400000577,0.11417076515664734,0.40662289877580426,0.29218049235106924,0.35690953555975663,0.5431178252599598,0.18002853543437278,0.2573535274192949,0.12677157882119242,0.47207825610703585,0.3336096594724649,0.36374063543450985,0.5719027570010176,0.16845852657446878,0.1419532556501973
clust coef e-plv delta_F1,0.19103752344124755,0.1385372633557449,0.18358048720916237,0.35690953555975663,0.34288558961899374,0.41966648301950243,0.12269769399149176,0.21856025288915865,0.14033186116106605,0.2101407373670972,0.16328379594764214,0.9497293253896095,0.3911023622726922,0.1863250316903415,0.15457663368319202
clust coef e-plv theta_Fp2,0.16520699752356857,0.380731993857342,0.5592981637899057,0.5431178252599598,0.41966648301950243,0.3419156178062348,0.14758621312558948,0.29788478167853916,0.3399359085893428,0.6006425993106117,0.2741280005303111,0.4175965359302424,0.9544107679183809,0.15431557583139316,0.15743444467003131
life time delta_P6,0.1234447495859743,0.3405542312972416,0.2699783659610293,0.18002853543437278,0.12269769399149176,0.14758621312558948,0.2845611071765283,0.2327908630006616,0.3543891280744653,0.25288150681388133,0.12716711498980998,0.11610305841825927,0.13435538980766715,0.3562602542658636,0.36655309925479285
microstate D_Group1_Map4_MeanDur,0.24586276894258965,0.32847610610825584,0.324632827135835,0.2573535274192949,0.21856025288915865,0.29788478167853916,0.2327908630006616,0.23476815947233562,0.3013785108547005,0.3091213808735458,0.1619392526530563,0.2050227921819476,0.258011968597205,0.16544874092011344,0.2265206025372941
node str e-icoh theta_O1,0.14790716771432227,0.9732827851749182,0.39544985305363295,0.12677157882119242,0.14033186116106605,0.3399359085893428,0.3543891280744653,0.3013785108547005,0.30889572851805014,0.3366529744541207,0.19934829614821345,0.1372621644500054,0.22790849027397928,0.380472655147764,0.20529197728797588
node str e-plv alpha_Fp2,0.13775379649196107,0.36611316939008454,0.9598672620299536,0.47207825610703585,0.2101407373670972,0.6006425993106117,0.25288150681388133,0.3091213808735458,0.3366529744541207,0.3467058983716938,0.28521762420963254,0.21803688135697247,0.5633745383342451,0.2637925097206698,0.15584705817148423
node str e-plv beta_POz,0.1444330818262265,0.19705245899424692,0.2965787440931892,0.3336096594724649,0.16328379594764214,0.2741280005303111,0.12716711498980998,0.1619392526530563,0.19934829614821345,0.28521762420963254,0.29906305361216,0.14597290162731308,0.23809665518864948,0.1911186238957163,0.17996077730868557
node str e-plv delta_F1,0.19960050994420128,0.12876865044002905,0.184617580238512,0.36374063543450985,0.9497293253896095,0.4175965359302424,0.11610305841825927,0.2050227921819476,0.1372621644500054,0.21803688135697247,0.14597290162731308,0.3306252895296643,0.39986875047246023,0.17260944489412244,0.1372412158293423
node str e-plv theta_Fp2,0.1675342070908821,0.2550181862269996,0.49451416618494254,0.5719027570010176,0.3911023622726922,0.9544107679183809,0.13435538980766715,0.258011968597205,0.22790849027397928,0.5633745383342451,0.23809665518864948,0.39986875047246023,0.33470192326875303,0.13479916840221348,0.1548254903786328
skewness ampl delta_CP1,0.1281838721616865,0.38441026013641194,0.30865855768879585,0.16845852657446878,0.1863250316903415,0.15431557583139316,0.3562602542658636,0.16544874092011344,0.380472655147764,0.2637925097206698,0.1911186238957163,0.17260944489412244,0.13479916840221348,0.28757436002957415,0.23195290180243022
waiting time delta_FC4,0.14360614716010053,0.20051849268862637,0.1564689839740936,0.1419532556501973,0.15457663368319202,0.15743444467003131,0.36655309925479285,0.2265206025372941,0.20529197728797588,0.15584705817148423,0.17996077730868557,0.1372412158293423,0.1548254903786328,0.23195290180243022,0.29511005298635073
