,ampl total power gamma,betw cen e-plv delta,clust coef e-plv delta,kurtosis ampl beta,kurtosis ampl delta,life time beta,life time theta,lyapunov exponent,mean ampl gamma,mod index alpha-beta,node str e-plv delta,range coef var beta,skewness ampl gamma,std ampl beta,std ampl gamma,waiting time beta,waiting time gamma,waiting time theta
ampl total power gamma_C2,-0.27760343118630315,0.04632593017655216,-0.23893979072533783,0.19175139101666935,0.456109628323999,0.0633828703460589,0.23952683689199222,0.2946261207473247,0.9999999999999998,0.2581548851683489,-0.19916253604542578,0.08936069170686933,-0.5544408649532293,0.833913637100475,0.9983424241248066,0.10282233437642617,0.31780743101723147,0.2681945624088015
betw cen e-plv delta_Pz,0.04632593017655216,-0.32235938878053916,-0.22706728366930262,0.08547219589769772,0.06705409271141816,-0.02442425749260427,0.2370262201058855,0.030176305270584472,0.04632593017655216,-0.002434802553410092,-0.3062214672486165,0.24139658180858425,-0.10677556321036173,0.12871650690323558,0.05454974145751984,0.09302157604061943,0.0626904621682311,0.1760257692284812
clust coef e-plv delta_FC1,-0.23893979072533783,-0.22706728366930262,0.2953803159856761,-0.09194066517652268,-0.16350867259223403,-0.14621143453374397,-0.1602439333453863,-0.11362614129578597,-0.23893979072533783,-0.09832895346686789,0.5713271337864648,-0.16417535600209135,0.25356572881967354,-0.3553947701882923,-0.23666576101226283,-0.1857012227491201,-0.12176803728872962,-0.1857311159214682
kurtosis ampl beta_CP6,0.19175139101666935,0.08547219589769772,-0.09194066517652268,-0.32986098824872906,0.1712074960786686,0.4062499286511761,0.2853248430040547,0.14732561776665623,0.19175139101666935,0.502083385655804,-0.14446253216404975,0.6110313272707761,-0.3037359385737997,0.2809408455463493,0.21025413880257265,0.466055615615782,0.5589256338925782,0.3905677781136602
kurtosis ampl delta_F6,0.456109628323999,0.06705409271141817,-0.16350867259223403,0.1712074960786686,-0.2901495372706282,0.047391601158933205,0.20897808960751169,0.24344675322896236,0.456109628323999,0.07829192057334772,-0.06181662096536669,0.07269817278516126,-0.33193299375098456,0.4984257595510389,0.4629682480610243,0.04368836168075753,-0.048480724950572526,0.06900417363050762
life time beta_POz,0.0633828703460589,-0.024424257492604268,-0.14621143453374397,0.4062499286511761,0.047391601158933205,-0.2604772543458079,0.14562026171929526,0.19044998847003003,0.0633828703460589,0.40085253282616684,-0.11453027359134588,0.3541253319147284,-0.20012603056241135,0.20224480523483465,0.07668457427013006,0.8103705919224621,0.3696809391116558,0.28728640967407315
life time theta_TP7,0.23952683689199222,0.23702622010588553,-0.1602439333453863,0.2853248430040547,0.20897808960751169,0.14562026171929526,-0.2839258968482548,-0.07854772442660575,0.23952683689199222,0.3294059090594707,-0.11053486564152151,0.3349448672741307,-0.11805561104922545,0.22574108680950394,0.24730101361124907,0.060577002109646824,0.19410120825228083,0.5476046690833785
lyapunov exponent_CP6,0.2946261207473247,0.030176305270584472,-0.11362614129578597,0.14732561776665623,0.24344675322896236,0.19044998847003003,-0.07854772442660575,-0.2651943162512156,0.2946261207473247,0.03968821134777357,-0.18715766834326886,-0.05177983921970642,-0.27668503090260255,0.4472463920326765,0.29806912959001247,0.3597217735171189,0.17779005613172658,-0.07865055663645987
mean ampl gamma_C2,0.9999999999999998,0.04632593017655216,-0.23893979072533783,0.19175139101666935,0.456109628323999,0.0633828703460589,0.23952683689199222,0.2946261207473247,-0.27760343118630315,0.2581548851683489,-0.19916253604542578,0.08936069170686933,-0.5544408649532293,0.833913637100475,0.9983424241248066,0.10282233437642617,0.31780743101723147,0.2681945624088015
mod index alpha-beta_Cz,0.2581548851683489,-0.002434802553410092,-0.09832895346686789,0.502083385655804,0.07829192057334772,0.40085253282616684,0.32940590905947076,0.03968821134777357,0.2581548851683489,-0.2883298381715914,-0.03994849185710143,0.4082728105043733,-0.23755162800892257,0.17476009671475765,0.2709816913210149,0.29952156278095304,0.5266279822418859,0.3628638227540805
node str e-plv delta_P3,-0.19916253604542578,-0.3062214672486165,0.5713271337864648,-0.14446253216404975,-0.06181662096536669,-0.11453027359134588,-0.11053486564152148,-0.18715766834326886,-0.19916253604542578,-0.03994849185710143,0.29365879387692617,-0.18449550102856463,0.25468447837731084,-0.34991518051823217,-0.20355534043092405,-0.2523194102129896,-0.22119987168627286,-0.1749682639711584
range coef var beta_C4,0.08936069170686933,0.24139658180858423,-0.16417535600209135,0.6110313272707761,0.07269817278516126,0.3541253319147284,0.3349448672741307,-0.05177983921970642,0.08936069170686933,0.4082728105043733,-0.18449550102856463,-0.27035659939164486,-0.18575580665267846,0.198546082207544,0.10555287918189725,0.40794906715613855,0.5256119738307056,0.4067052065363989
skewness ampl gamma_C1,-0.5544408649532293,-0.10677556321036173,0.25356572881967354,-0.3037359385737997,-0.33193299375098456,-0.20012603056241135,-0.11805561104922545,-0.27668503090260255,-0.5544408649532293,-0.23755162800892257,0.25468447837731084,-0.18575580665267846,0.30031656372986365,-0.6201685430456015,-0.5535184673587692,-0.3119556792018261,-0.4829419037260974,-0.17106861375242077
std ampl beta_C1,0.833913637100475,0.1287165069032356,-0.3553947701882923,0.2809408455463493,0.4984257595510389,0.20224480523483465,0.22574108680950392,0.4472463920326765,0.833913637100475,0.17476009671475765,-0.34991518051823217,0.198546082207544,-0.6201685430456015,-0.24932845798370437,0.8336122596686217,0.29746443114393384,0.34192906891413255,0.25808469638504844
std ampl gamma_C2,0.9983424241248066,0.05454974145751983,-0.23666576101226283,0.21025413880257265,0.4629682480610243,0.07668457427013006,0.2473010136112491,0.29806912959001247,0.9983424241248066,0.2709816913210149,-0.20355534043092405,0.10555287918189725,-0.5535184673587692,0.8336122596686217,-0.28508543112048573,0.11762180970512595,0.3273601932472962,0.2790989707487844
waiting time beta_P2,0.10282233437642618,0.09302157604061945,-0.1857012227491201,0.466055615615782,0.04368836168075753,0.810370591922462,0.060577002109646824,0.3597217735171189,0.10282233437642618,0.29952156278095304,-0.25231941021298965,0.40794906715613866,-0.3119556792018261,0.29746443114393384,0.11762180970512595,-0.29741383248116915,0.4212695324986072,0.2783115956507421
waiting time gamma_P3,0.31780743101723147,0.0626904621682311,-0.1217680372887296,0.5589256338925782,-0.048480724950572526,0.36968093911165584,0.19410120825228083,0.1777900561317266,0.31780743101723147,0.526627982241886,-0.22119987168627286,0.5256119738307056,-0.48294190372609735,0.34192906891413255,0.32736019324729626,0.4212695324986072,-0.27739026997576777,0.3837506778163977
waiting time theta_O2,0.26819456240880146,0.17602576922848123,-0.1857311159214682,0.3905677781136603,0.06900417363050762,0.28728640967407315,0.5476046690833785,-0.07865055663645985,0.26819456240880146,0.3628638227540805,-0.1749682639711584,0.40670520653639886,-0.17106861375242077,0.2580846963850485,0.2790989707487844,0.2783115956507421,0.3837506778163977,-0.2811704093965458
