,betw cen e-plv alpha,betw cen e-plv delta,betw cen e-wpli gamma,betw cen s-lcoh alpha,betw cen s-lcoh theta,clust coef e-plv alpha,clust coef e-plv theta,clust coef s-lcoh alpha,kurtosis ampl gamma,life time beta,life time gamma,mod index alpha-beta,mod index alpha-gamma,mod index delta-alpha,mod index theta-alpha,node str s-lcoh alpha,range coef var beta,waiting time beta,waiting time gamma
betw cen e-plv alpha_FC2,-0.31799650782482436,0.25207732858089316,-0.18827540435640874,0.08452912322492749,-0.08317181091681215,-0.3939666682892756,-0.11910415843742211,-0.3225863621519859,0.1755198772572049,0.1546288998327819,0.24158633339021235,0.022273715630790177,0.04094714281023541,0.20902866388440317,0.28419276204808847,-0.2853041217279724,0.057222100727047406,0.028530961654703757,0.1855712209666668
betw cen e-plv delta_Pz,0.25207732858089316,-0.2769532345710331,0.03335740560076598,0.06040022886261822,-0.13488127889851345,-0.0787037220063395,-0.09816597201818013,-0.09365673616973944,0.14726859353173316,0.09980842421502509,0.15365128751187748,0.11720086105053226,-0.0037561565008015266,0.1487077605059025,-0.038797446759509004,-0.09719574709177382,0.1813858600510061,0.05133304241548189,0.13735612886694884
betw cen e-wpli gamma_AFz,-0.18827540435640872,0.033357405600765985,0.2890894168683111,-0.034513085825208185,0.11531926167602699,0.07858932225394012,0.08411051435979436,0.1416716350482664,-0.25665177849637577,-0.03782096809082881,-0.11893367453262511,-0.11112516415294667,-0.07810114711133036,-0.13260487042777686,-0.06760652749625914,0.15509759742107426,-0.1309340738129293,-0.08047908739069887,-0.13865549191364449
betw cen s-lcoh alpha_LHeschlGyrus,0.08452912322492749,0.06040022886261822,-0.034513085825208185,-0.2889900652909553,-0.04373003330145391,-0.13350819926457272,-0.08685135842882039,-0.1915340227976705,0.09265132622114189,0.19151659239108204,0.03288681963084177,0.22313534994261083,0.17572900162355323,0.14048907710326472,0.16447767417068013,-0.19018316628706222,0.0056125909214951916,0.1461541260914205,0.025064924674254918
betw cen s-lcoh theta_RAngularGyrus,-0.08317181091681215,-0.13488127889851345,0.11531926167602699,-0.04373003330145391,0.28822706083307653,0.10448936620714569,0.03294923413660241,0.1920285099677262,-0.16037615203498423,0.06336274729094848,-0.03533861500246982,-0.038353726021172624,-0.050300630350509655,-0.11842447763500812,-0.13226875726649118,0.19670382437580677,-0.0054499077827598755,0.08869104264886254,0.008626497550581487
clust coef e-plv alpha_C1,-0.3939666682892756,-0.0787037220063395,0.07858932225394014,-0.13350819926457272,0.10448936620714569,0.2597486215389669,0.40541885755121704,0.47790926256138855,-0.18342241471817783,-0.3651393071515494,-0.43420040229320817,-0.16652244691076712,-0.08238334752699268,-0.3615456095929349,-0.6122961992196151,0.4324423672740639,-0.08519620355762358,-0.07770067022312725,-0.3495179102671528
clust coef e-plv theta_Cz,-0.11910415843742211,-0.09816597201818013,0.08411051435979437,-0.08685135842882037,0.03294923413660241,0.40541885755121704,0.28777697867565416,0.15675964464860986,-0.15601990004315175,-0.40364255723317244,-0.3364445225793341,-0.19938171963222817,-0.018326944283988865,-0.3365267164243851,-0.32629814904027266,0.1359006733045807,-0.19208016639687295,-0.3896517830950155,-0.3596323195331389
clust coef s-lcoh alpha_LInsula,-0.3225863621519859,-0.09365673616973942,0.14167163504826644,-0.19153402279767054,0.1920285099677262,0.47790926256138855,0.15675964464860986,0.2896651711937415,-0.03177020427453657,-0.3147453474858957,-0.36728091344759795,-0.10496838961709083,-0.07135110699127147,-0.3927929696864532,-0.49012874752562274,0.9848626335364584,-0.037144768475920624,-0.07402249145815729,-0.24122751941258797
kurtosis ampl gamma_C1,0.1755198772572049,0.1472685935317332,-0.2566517784963757,0.09265132622114189,-0.16037615203498423,-0.18342241471817783,-0.15601990004315175,-0.03177020427453657,-0.3041633846034811,0.18616220955320795,0.29913308325094917,0.3170787394203964,0.010413503535476917,0.23597624597878025,0.0869451059273178,-0.041259027053190823,0.4151816598133743,0.26518276164802423,0.3649657868119975
life time beta_AF8,0.1546288998327819,0.09980842421502509,-0.03782096809082881,0.19151659239108204,0.0633627472909485,-0.3651393071515494,-0.40364255723317244,-0.3147453474858957,0.18616220955320795,-0.29489594393731844,0.52128478112464,0.23428213950578664,0.2698538091139275,0.6077664050923652,0.5725417761633282,-0.30161259757665143,0.52037151617963,0.7928746987654384,0.5656557584779526
life time gamma_O1,0.24158633339021238,0.15365128751187745,-0.11893367453262511,0.03288681963084177,-0.03533861500246982,-0.43420040229320817,-0.3364445225793341,-0.36728091344759795,0.29913308325094917,0.52128478112464,-0.29119947031363835,0.3034071631935961,0.1375125859325234,0.5225268214498536,0.5388194680688327,-0.35174627673297726,0.3736874670368433,0.3719435555958801,0.9071620520150048
mod index alpha-beta_FC6,0.022273715630790177,0.11720086105053226,-0.11112516415294665,0.22313534994261083,-0.038353726021172624,-0.16652244691076712,-0.19938171963222817,-0.10496838961709083,0.3170787394203964,0.23428213950578664,0.3034071631935961,-0.2949370412351728,0.23164737013943273,0.2616846541808127,0.27988145821013766,-0.09533344444723496,0.36523976629550053,0.25274864522715124,0.37583363965761696
mod index alpha-gamma_C5,0.04094714281023541,-0.0037561565008015266,-0.07810114711133036,0.17572900162355323,-0.050300630350509655,-0.08238334752699268,-0.018326944283988865,-0.07135110699127147,0.010413503535476917,0.2698538091139275,0.1375125859325234,0.23164737013943273,-0.2872792447349733,0.0575927705946953,0.2624106998120957,-0.057853051104023154,0.17102940941439165,0.2148389740827928,0.1610108929676316
mod index delta-alpha_AF7,0.20902866388440314,0.14870776050590254,-0.13260487042777686,0.14048907710326472,-0.1184244776350081,-0.3615456095929349,-0.3365267164243851,-0.3927929696864532,0.23597624597878025,0.6077664050923652,0.5225268214498536,0.2616846541808127,0.0575927705946953,-0.32693128761480766,0.5103484334081448,-0.383304146907799,0.35571897924377094,0.4513611658756538,0.49256259860407453
mod index theta-alpha_F5,0.2841927620480884,-0.03879744675950901,-0.06760652749625914,0.16447767417068013,-0.13226875726649118,-0.6122961992196151,-0.32629814904027266,-0.49012874752562274,0.0869451059273178,0.5725417761633282,0.5388194680688327,0.27988145821013766,0.2624106998120957,0.5103484334081448,-0.2577873671580273,-0.4446207553157727,0.28030156008484225,0.2543902408398225,0.5078095568610169
node str s-lcoh alpha_LInsula,-0.28530412172797237,-0.09719574709177382,0.15509759742107426,-0.1901831662870622,0.19670382437580677,0.4324423672740639,0.1359006733045807,0.9848626335364584,-0.041259027053190823,-0.30161259757665143,-0.35174627673297726,-0.09533344444723496,-0.057853051104023154,-0.383304146907799,-0.4446207553157727,0.3006016187894348,-0.04221338892072632,-0.09448649907480895,-0.23610866939580671
range coef var beta_Fp2,0.0572221007270474,0.1813858600510061,-0.1309340738129293,0.005612590921495191,-0.0054499077827598755,-0.08519620355762358,-0.19208016639687295,-0.037144768475920624,0.4151816598133743,0.52037151617963,0.3736874670368433,0.36523976629550053,0.17102940941439165,0.35571897924377094,0.28030156008484225,-0.04221338892072632,-0.30411087138955606,0.5423224582384121,0.4508811865138165
waiting time beta_AF8,0.028530961654703754,0.051333042415481894,-0.08047908739069888,0.14615412609142053,0.08869104264886254,-0.07770067022312725,-0.38965178309501547,-0.07402249145815729,0.26518276164802423,0.7928746987654385,0.37194355559588016,0.25274864522715124,0.21483897408279284,0.45136116587565384,0.2543902408398225,-0.09448649907480895,0.542322458238412,-0.303360050422429,0.5079608254557938
waiting time gamma_O1,0.1855712209666668,0.13735612886694884,-0.1386554919136445,0.025064924674254918,0.008626497550581487,-0.3495179102671528,-0.3596323195331389,-0.24122751941258797,0.3649657868119975,0.5656557584779526,0.9071620520150048,0.37583363965761696,0.1610108929676316,0.49256259860407453,0.5078095568610169,-0.23610866939580671,0.4508811865138165,0.5079608254557938,-0.30857906093961285
