,betw cen e-plv beta,betw cen s-lcoh alpha,clust coef e-icoh theta,clust coef e-plv beta,clust coef e-plv delta,clust coef e-plv theta,clust coef e-wpli theta,clust coef s-lcoh theta,node str e-icoh theta,node str e-plv beta,node str e-plv delta,node str e-plv theta,node str e-wpli theta,node str s-lcoh beta
betw cen e-plv beta_C3,0.2818457217014599,0.11737370759126294,0.2413086862573907,0.14869829050533673,0.15836434362522694,0.16150829035849978,0.17737816579051144,0.2300336175955141,0.2474582819840472,0.16369775731202132,0.1648429406379077,0.15846217581749295,0.17220790696960492,0.13310178308193066
betw cen s-lcoh alpha_RCalcarineSulcus,0.11737370759126294,0.3506828005379663,0.2064035762753899,0.150678462691181,0.1593408693487256,0.193238222502325,0.2519797134111056,0.17246040085896566,0.19729057157272464,0.15595567694005377,0.16621617367057764,0.1924184349550788,0.24890405582047054,0.10631546860707604
clust coef e-icoh theta_O1,0.2413086862573907,0.2064035762753899,0.3198026961743014,0.19462868794824814,0.1341323022452231,0.5025485076245608,0.7199231689901952,0.7156777879035866,0.9732827851749182,0.2120689094709217,0.12849150331623468,0.3986913225394707,0.5821183756963783,0.24584154996893698
clust coef e-plv beta_F5,0.14869829050533673,0.150678462691181,0.19462868794824814,0.31378224801170085,0.29079147045251713,0.40862760826568756,0.1648681998020022,0.12439698799529803,0.20039007896424793,0.9437877673632065,0.29659419600538856,0.4260422348163431,0.1439529307676536,0.3503386849996327
clust coef e-plv delta_F2,0.15836434362522694,0.1593408693487256,0.1341323022452231,0.29079147045251713,0.30617613789527726,0.5721998421944885,0.13862328624467757,0.13715838020334217,0.13197959392569666,0.2379256488534253,0.9510789496300587,0.5883701357052394,0.14638309493259669,0.1227140086352171
clust coef e-plv theta_F2,0.16150829035849978,0.193238222502325,0.5025485076245608,0.40862760826568756,0.5721998421944885,0.35532133679912253,0.5018718542883334,0.46439379987678486,0.4585619600337535,0.35057789692928776,0.5890968610322423,0.9642270710692592,0.41557441120705363,0.1926217464484471
clust coef e-wpli theta_TP7,0.17737816579051144,0.2519797134111056,0.7199231689901952,0.1648681998020022,0.13862328624467757,0.5018718542883334,0.3252045738476432,0.6728759155342765,0.6298400818966362,0.16928023222747202,0.12948153676771046,0.41936333121918856,0.9453087760859935,0.19458105666269368
clust coef s-lcoh theta_LFusiformGyrus,0.2300336175955141,0.17246040085896566,0.7156777879035866,0.12439698799529803,0.13715838020334217,0.46439379987678486,0.6728759155342765,0.27667655221263404,0.6660958568809318,0.1389518040009305,0.1213457582531277,0.3697686286970478,0.5701752667185033,0.25787833723267867
node str e-icoh theta_O1,0.2474582819840472,0.19729057157272464,0.9732827851749182,0.20039007896424793,0.13197959392569666,0.4585619600337535,0.6298400818966362,0.6660958568809318,0.32198976840006927,0.22392397408925113,0.13014851174579342,0.36362098604434756,0.5117116526057439,0.23138896597589395
node str e-plv beta_F5,0.16369775731202132,0.15595567694005377,0.2120689094709217,0.9437877673632065,0.2379256488534253,0.35057789692928776,0.16928023222747202,0.1389518040009305,0.22392397408925113,0.32103812215017064,0.25718899606078033,0.3771103787012913,0.16311902851906795,0.31903926939955074
node str e-plv delta_F2,0.1648429406379077,0.16621617367057764,0.12849150331623468,0.29659419600538856,0.9510789496300587,0.5890968610322423,0.12948153676771046,0.1213457582531277,0.13014851174579342,0.25718899606078033,0.3182973222895353,0.6301744843010625,0.14309470174429967,0.11789354180553988
node str e-plv theta_F2,0.15846217581749295,0.1924184349550788,0.3986913225394707,0.4260422348163431,0.5883701357052394,0.9642270710692592,0.41936333121918856,0.3697686286970478,0.36362098604434756,0.3771103787012913,0.6301744843010625,0.3486405809424562,0.35398296756101366,0.19723273388494367
node str e-wpli theta_TP7,0.17220790696960492,0.24890405582047054,0.5821183756963783,0.1439529307676536,0.14638309493259669,0.41557441120705363,0.9453087760859935,0.5701752667185033,0.5117116526057439,0.16311902851906795,0.14309470174429967,0.35398296756101366,0.31743334310464255,0.15521623733584225
node str s-lcoh beta_RParacentralLobule,0.13310178308193066,0.10631546860707604,0.24584154996893698,0.3503386849996327,0.1227140086352171,0.1926217464484471,0.19458105666269368,0.25787833723267867,0.23138896597589395,0.31903926939955074,0.11789354180553988,0.19723273388494367,0.15521623733584225,0.286688956160104
