,Cvlt_attention_span,Cvlt_delayed_memory,Pts-2_subtest_3,Rwt_animal_categories,Rwt_s_words,Tap_alertness,Tap_simon_congruent,Tap_simon_incongruent,Tap_working_memory,Tmt-A,Tmt-B,Vocabulary_test
ampl total power alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
ampl total power beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
ampl total power delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
ampl total power gamma,Fp1,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
ampl total power theta,NS,NS,P8,NS,NS,NS,NS,NS,NS,NS,NS,NS
approx entropy,NS,NS,TP8,NS,NS,NS,NS,Oz,PO3,NS,NS,NS
betw cen e-icoh alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-icoh beta,NS,NS,NS,NS,NS,NS,NS,CP3,NS,NS,NS,NS
betw cen e-icoh delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-icoh gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-icoh theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-plv alpha,NS,NS,NS,NS,NS,NS,NS,NS,AF7,NS,NS,NS
betw cen e-plv beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-plv delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-plv gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-plv theta,NS,NS,CPz,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-wpli alpha,NS,NS,NS,NS,NS,C2,NS,NS,NS,NS,NS,NS
betw cen e-wpli beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-wpli delta,NS,NS,NS,T8,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-wpli gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-wpli theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,P2
betw cen s-lcoh alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen s-lcoh beta,NS,NS,NS,LInferiorFrontalGyrusParsTriangularis,NS,NS,NS,NS,NS,NS,NS,NS
betw cen s-lcoh delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,LInsula,NS
betw cen s-lcoh gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen s-lcoh theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen s-lps alpha,NS,NS,NS,NS,NS,NS,NS,NS,RAnteriorCingulateCortex,NS,NS,NS
betw cen s-lps beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,LMiddleFrontalGyrus,NS,NS
betw cen s-lps delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen s-lps gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,ROlfactoryGyrus
betw cen s-lps theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef e-icoh alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef e-icoh beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef e-icoh delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef e-icoh gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef e-icoh theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
