,Cvlt_attention_span,Cvlt_delayed_memory,Pts-2_subtest_3,Rwt_animal_categories,Rwt_s_words,Tap_alertness,Tap_simon_congruent,Tap_simon_incongruent,Tap_working_memory,Tmt-A,Tmt-B,Vocabulary_test
ampl total power alpha,0.3028435535255591,0.2557882051361827,0.3296034919086151,0.28155674232190975,0.24491816538116282,0.22100266117177617,0.20621306877672216,0.2309956180112596,0.21018563044571417,0.2004675789675928,0.3321554009023888,0.27414011578142283
ampl total power beta,0.3799610131892613,0.22812276436141574,0.29133813770030187,0.3206668586123893,0.30875994318187977,0.22400119500169927,0.2857670640082338,0.28844903309529296,0.2266853711499177,0.29109639865363424,0.35635764501678185,0.2662620369939457
ampl total power delta,0.34559246005170197,0.2318968775116929,0.3088039133587268,0.2517465341303902,0.26586087447875606,0.2619002749380835,0.22825976420772592,0.3028723006051015,0.2372375199716902,0.24672660691392537,0.2854752091491115,0.267359399616374
ampl total power gamma,0.4458907336247829,0.33464557370066217,0.30337224661107415,0.30532484048575814,0.27067554201544936,0.2712698964954018,0.30448556999138715,0.26690434699399,0.3037267306577471,0.3056366108664206,0.40276285303788967,0.3772155228610633
ampl total power theta,0.33806081572562624,0.18381576923299817,0.4032888126759748,0.23855840218562074,0.2529930892375574,0.2574091830235119,0.18410054821407626,0.2973028209751361,0.22778595955098957,0.22534394099572172,0.2945381830272707,0.2806113858061386
approx entropy,0.3342105226751875,0.3123115485224597,0.451066484886419,0.3628267783051786,0.332228490111799,0.2911017225891363,0.28371323031666346,0.39528687425573755,0.5208365345305895,0.25999282360173664,0.33538637710964225,0.3977893889926343
betw cen e-icoh alpha,0.41355082311756514,0.3254700866949057,0.3221368434868982,0.358072390711356,0.3129866262997816,0.4133355085767509,0.4727902958317901,0.35167409290235213,0.3269821873852523,0.3400362704518782,0.2998434863687146,0.3576424098307307
betw cen e-icoh beta,0.33145089178767595,0.28592469329916687,0.37069562222426106,0.2995617970482417,0.27680047148100356,0.3676341857065217,0.5974689164211027,0.5566310114429299,0.4644593662582694,0.2885589943047272,0.3031999544553166,0.3283879964892575
betw cen e-icoh delta,0.3920673165749693,0.34703465161917485,0.3222732550475094,0.3819819407545677,0.3132679552423659,0.5267624973428962,0.37340076165589153,0.33906352738996975,0.3456365808621175,0.3458490254928062,0.3135901675118791,0.35615899329090667
betw cen e-icoh gamma,0.4140595334139028,0.42274708461878874,0.3064015755332738,0.3332616529884516,0.26585302396567184,0.28515965422707623,0.3337253356101495,0.3777978445301002,0.3988758927370432,0.3538060331234516,0.388353783290038,0.3324930643060829
betw cen e-icoh theta,0.33861727395747293,0.27867333650987397,0.3685649620535864,0.3610901079757524,0.4236359882880718,0.37556784681857175,0.4386666025616299,0.38785727008036125,0.3444751567649336,0.40720375214979404,0.3358609461556019,0.3946482686646126
betw cen e-plv alpha,0.40127520232559916,0.43288649591695205,0.3710304889888222,0.35077619551631095,0.35040904327561906,0.3753378226147099,0.5425501335183567,0.33491888932573666,0.35346462507737425,0.32787880485210996,0.2682424714779318,0.3710919767790356
betw cen e-plv beta,0.36393248028688424,0.35119220621553887,0.3222086902749841,0.2778055876014426,0.31693926861047267,0.35919609342351955,0.3899229611752033,0.3593951614597523,0.3829653367206576,0.36251924708785316,0.3057374374082147,0.3243332365422841
betw cen e-plv delta,0.3551485990154917,0.34001300300492365,0.34208662134136836,0.3561664222351853,0.36464467015706387,0.3612682046860857,0.40337001811805684,0.35923711972751876,0.4127782179567799,0.3168477088072865,0.3292635431519186,0.41024546178330074
betw cen e-plv gamma,0.32591719664101787,0.3332505519674142,0.39036957613140705,0.4123198928227405,0.3507080424363759,0.3629769774587783,0.4388191984022486,0.35280135535687124,0.32926896758635743,0.3297401438580493,0.33513282412200945,0.314134579520765
betw cen e-plv theta,0.3262391580257984,0.3698595174731199,0.43118907587821353,0.39335321188568934,0.3266676530285214,0.3516366531303204,0.38006594605819066,0.33352655691817296,0.31744151834499906,0.35382909193378187,0.36654450485530315,0.4181274901654897
betw cen e-wpli alpha,0.34753735647472056,0.2734955637514302,0.32233759781429977,0.32245107946830187,0.3249327441544569,0.3986547118993376,0.413010905549714,0.380291593252931,0.39822779821633036,0.3460379192997381,0.45397183698520827,0.3120238540793794
betw cen e-wpli beta,0.41536564940743126,0.3395380501234367,0.3160214513726094,0.29842764474185035,0.30654541616321274,0.3321775663980714,0.5999435640056231,0.40026959649012894,0.4160534622188197,0.3068801505563899,0.3342120953426847,0.31648905745979217
