,Cvlt_attention_span,Cvlt_delayed_memory,Pts-2_subtest_3,Rwt_animal_categories,Rwt_s_words,Tap_alertness,Tap_simon_congruent,Tap_simon_incongruent,Tap_working_memory,Tmt-A,Tmt-B,Vocabulary_test
ampl total power alpha,-0.10367225101365933,-0.23994917231499374,0.3832575631989603,0.2687038564957627,0.17890804854061756,-0.12597275103584915,0.18796279640145222,-0.14245602549573588,-0.1787688394898761,-0.1057893278940344,-0.2932507680491552,0.1728949487435454
ampl total power beta,0.26492675579919944,-0.09028123643970228,0.2164556718104889,0.3059908999565399,0.2740815749978635,-0.15292014080161456,0.2005400541353765,0.18221880864188525,0.17010614322497716,-0.2484701971745864,-0.36813556067588327,-0.17407998895734228
ampl total power delta,0.19718292783228086,0.15209433419365492,0.20086332109374044,0.2706968716739775,0.2592840991411519,0.13695318275348814,0.15563156325718508,-0.2173732388331611,0.17121416251467356,-0.20117851476920756,-0.26742511520737333,-0.2985333959001713
ampl total power gamma,0.3991805062950678,0.16067081141796938,-0.10958159038607841,0.24784026722508434,0.25751648257123755,0.19918402397891463,0.19703570369806175,-0.15393913449804378,0.19737852710545836,-0.30256100324847024,-0.37668010752688175,-0.3385829182276733
ampl total power theta,0.12549544130871668,-0.17436434648200086,0.4198572825557931,0.2779120911799195,0.17964034683386781,-0.14967134334387275,0.1644404441509832,-0.25066418203722024,-0.21085103437790287,-0.16073631991135956,-0.26492895545314904,0.1684450018182674
approx entropy,-0.28009653441893445,-0.2661110314110118,0.47333058454873495,0.36984306978010345,-0.3493315375456462,-0.19319011859176308,0.1912271228362112,-0.40722227122000093,-0.46106193579661103,-0.2076754551635567,-0.27212941628264214,0.2826441832376298
betw cen e-icoh alpha,0.3115598218405807,0.2703879173944004,0.37820622738956533,-0.395525642267691,0.28879212422889206,0.3488976343212483,-0.2614963262680525,-0.27406642634443723,-0.3396279905518844,0.2863930992448211,-0.25069793056968664,-0.2388256703255486
betw cen e-icoh beta,0.22865843874360461,0.2883254208905337,-0.36528805839288464,-0.2193843487821762,0.28096807007446145,0.3814458627117826,-0.2728888826409782,0.5253624554924576,0.37253569571513795,0.32976461346528685,-0.24753258558121075,0.2523019993994541
betw cen e-icoh delta,0.3811409873669408,0.34095877276228925,0.25880031898866446,0.3872373857192208,0.3215351491333303,0.3684758230649727,0.3086807472364984,-0.2413056640685733,0.36328164147509234,0.3535498493484139,-0.34593867343665635,-0.3354831296021444
betw cen e-icoh gamma,-0.37239948053817185,-0.3277353158492651,0.39407587703417524,-0.3098809060127122,-0.26776548848840837,0.2797549384535582,-0.25298735086765634,-0.26609295959925255,0.3317680967075508,-0.3297242013705287,0.34527586969961405,-0.33510070139598247
betw cen e-icoh theta,0.2780521070046241,-0.23741324841122127,0.3435052594377866,0.3511716164342476,0.34898514830701094,-0.37688077221173577,-0.3124634877865221,0.28714130991030784,-0.351563323209265,0.38783989719650436,0.28622807549753015,-0.378042460789666
betw cen e-plv alpha,0.35572001640154777,0.3817005870826099,-0.3918794516781435,0.2678846504451267,0.33530779120525994,0.27129440560177864,-0.33314396940631985,-0.2596748957990653,-0.41916426062756795,-0.32340552253914173,0.22499922624960741,-0.3727072121725839
betw cen e-plv beta,-0.2783231110642997,0.3705316243121337,0.31422659808304115,0.24458869587526072,-0.3151503193393226,0.3301676352421365,-0.30165312833323515,0.3031345304919,-0.2802341725631081,-0.26908710300865796,0.24283919759466052,-0.2840266749861165
betw cen e-plv delta,0.3613485359804704,0.33909646895101375,-0.2794900181880694,0.2999871586070297,0.32540965625114854,0.30610280313288135,0.33661784296074576,-0.24970391112871315,-0.36444636244354284,0.3354645382379272,-0.30632612232482775,-0.3802198273147176
betw cen e-plv gamma,0.2920427772015992,0.32127047324363045,-0.3554042395944167,-0.37141946930423825,-0.3309617934553793,-0.3748569455909684,0.31287161944041886,0.3539096202184022,0.29620502068061955,-0.2446081296059193,-0.3103912991011823,-0.2806766052357449
betw cen e-plv theta,0.286779611497955,-0.26647520384901663,-0.4833203236681096,-0.349007367371453,0.30869128744610136,-0.31879796076831074,0.2824108870793225,0.326154354782899,0.33806684959316396,0.31932456191293473,-0.3002138153119093,-0.3859169219442549
betw cen e-wpli alpha,0.3147064164715458,-0.22244000197868788,0.29882936106274866,0.30716011922543174,-0.23836692338414558,-0.42425314353226196,-0.24023267470248771,-0.2771847952882472,-0.31019631003940856,0.2788660363812552,-0.3337527884348487,-0.27788113480772725
betw cen e-wpli beta,0.41040531551982623,0.2748894212703957,0.28852664995379934,0.2728871078760174,-0.29231810705418065,-0.31035417007164,0.3202430111194264,0.2664374201996007,-0.3897080604977188,-0.2593047387824257,-0.2582454488697226,0.3049866746430938
betw cen e-wpli delta,0.3188264809729879,0.3251204201472986,-0.25148065698388966,0.5033555624709232,0.33417980360225913,0.34060021955046943,0.2572558694924692,0.33287928217878643,0.3398547121362934,0.30334836186823,0.2935328610813058,0.255843537596246
betw cen e-wpli gamma,0.25538653541299156,-0.3791067072930385,-0.3120594331678603,-0.30389807037481864,0.29249802551048554,0.28602032418628204,0.29676918259888335,-0.2319707223198225,0.36702096266645046,0.20690809131490853,-0.3458865497738056,-0.31578813387977284
betw cen e-wpli theta,-0.3597886288780267,0.23436384471927746,0.39886568249007176,0.26141379991473335,0.3353120863480918,0.33841180273586075,0.32042276075418347,0.36214223627994535,-0.30070548871300223,0.31707881614684735,-0.23903324610280452,-0.49025982173952165
betw cen s-lcoh alpha,0.22510470341799974,0.3761315332115702,-0.36133291434681164,0.27869575500669924,0.35183374808624734,-0.27700339526860646,-0.3005597409908671,0.3118664053076524,0.37381510756072445,0.32277243248124193,0.2908986432660254,0.34492304248190103
betw cen s-lcoh beta,-0.37547852007517263,0.2956793944089385,0.31835343861331744,-0.4257628768490076,0.3629053978873091,-0.28518609899383063,-0.3532482197286949,-0.3260433402680113,0.3004358203149208,0.3706299843027357,0.31074698099974213,0.3804453759413606
