,Cvlt_attention_span,Cvlt_delayed_memory,Pts-2_subtest_3,Rwt_animal_categories,Rwt_s_words,Tap_alertness,Tap_simon_congruent,Tap_simon_incongruent,Tap_working_memory,Tmt-A,Tmt-B,Vocabulary_test
ampl total power alpha,0.24416693953882743,0.17303561377027005,-0.10657525763588205,0.20085859878993892,0.16838386335745417,-0.09617296969120807,0.1798967530875616,-0.05442029317556108,-0.15012860044926374,0.11774375835279892,-0.11132268464005195,-0.13183651079004016
ampl total power beta,0.2957390475899585,0.20743040042787478,-0.11693059033144335,0.17133696874412194,0.26118841198799975,-0.14161417840520252,-0.12372054371128302,-0.12953102884144874,-0.23597182093305813,-0.13755722228503842,-0.17800031051125417,-0.13757143934752983
ampl total power delta,0.23546055693242263,0.15504196007978288,0.1030531136767226,0.18007760152725144,0.12711555011606204,-0.10526988821372223,0.1305427886152141,-0.16420612816837327,-0.21571767951830895,-0.17329360595263602,-0.2687607879674941,-0.19419002863917692
ampl total power gamma,0.31743838534724067,0.2716689339172476,0.11615961940618107,0.11067811979558012,0.3087327097084845,-0.2558416999933783,-0.11960847441008493,-0.11380200011535518,-0.27760343118630315,-0.17812025526731154,-0.23339223905738607,-0.12499055507631662
ampl total power theta,0.25581373632364857,0.15486577603423762,-0.08835877497023588,0.13526157796052318,0.07449102015057046,-0.12893694656860652,0.10971758922808042,-0.134339467583959,-0.19961665311127352,-0.09669965866814219,-0.131695388915108,-0.21363530890886445
approx entropy,-0.21416322892609588,-0.13320429085012747,0.21573648025024791,0.1914164302514053,-0.2537212479411085,0.17857954335524806,0.22339198917186115,-0.17057628205802358,0.23781435189030115,0.16627738393560768,0.14644236828444424,-0.12457334363383044
betw cen e-icoh alpha,0.2567789873353444,-0.2279557668239586,0.23143888474304222,-0.18822075860969015,0.17367997371000848,0.2375024503440469,0.2249263429268657,-0.22073576733254743,0.2582478522291869,-0.16342749827297234,0.19970794116262522,-0.18270197134534727
betw cen e-icoh beta,-0.22138573447637241,-0.16784211813309463,0.16308412977368653,-0.2337842711770329,-0.17717028038050883,-0.2776578512465268,-0.1740839065590269,-0.20213184063118253,-0.24396190946265617,0.19989725732720184,0.17314959201253433,0.2501550334339844
betw cen e-icoh delta,0.25088425963332556,0.20912368250646327,0.25013668153984503,-0.28469269153713483,-0.24842833191989772,-0.24699319483610682,-0.2402426872173127,-0.25664944698372394,-0.2211568827339648,0.19222969540113488,0.18031641133814663,-0.1775843470915264
betw cen e-icoh gamma,0.15654287397039413,-0.16734248053191053,0.2526112793689687,0.2811631511057785,0.21831411764331485,-0.2784765789047357,-0.2793082238221952,-0.24862255056822766,-0.22272244457923043,-0.22738660588950174,-0.265020976837932,0.2735186102527808
betw cen e-icoh theta,-0.21059360006068445,0.2876393809063574,-0.20603953445783474,-0.24212205075117316,-0.16993432700028577,-0.22849813735636768,-0.2243603620373051,-0.22188632782159837,0.21159556578985703,0.1896767264334604,0.21705484143352963,0.17721072960594775
betw cen e-plv alpha,0.24621303443581338,0.1786656743137981,0.20085644400548183,-0.30437248260499955,0.17545097820040453,-0.1585031349625545,0.2288881717264704,-0.21180614718384155,-0.20079966639239,-0.31799650782482436,-0.22411286402712927,0.15043401148289676
betw cen e-plv beta,0.23004691661152601,-0.22329471177115853,-0.21626114631834198,-0.17740485333695283,-0.14102746075251804,-0.23953210439756054,0.21446822146029093,0.16802937283830577,-0.19111880603986234,0.23902658425970935,0.2885064336200538,0.2314096727356396
