,ampl total power theta,approx entropy,betw cen e-plv theta,clust coef e-plv beta,hjorth mobility,life time theta,lzc exhaustive,lzc primitive,mean ampl theta,mod index theta-alpha,mod index theta-beta,mod index theta-gamma,node str e-plv beta,relative ampl alpha,skewness ampl beta,skewness ampl theta,source ampl alpha,source ampl theta,spectral entropy alpha,std ampl theta
ampl total power theta_P8,0.0,2.35220175816593e-12,0.0007387326190912212,9.58273663396115e-05,1.0896602732212172e-13,3.7443363356739036e-08,9.61014470621286e-14,1.490079526531475e-14,0.0,9.61014470621286e-14,6.891928201208942e-11,5.327337537226401e-11,0.0006625575229861133,1.3716992820663795e-12,0.018646685027547433,1.3471927276813862e-07,1.6291483712172433e-09,4.069236778426757e-11,8.469821645917122e-14,2.1663271464099366e-64
approx entropy_TP8,2.35220175816593e-12,0.0,0.0008564813083644831,0.0008221538328962603,2.702077282664126e-20,1.399700208006127e-08,1.1571063492836445e-24,9.075136034835458e-25,2.35220175816593e-12,2.8082484953543526e-07,9.923780084660872e-08,2.7776022611594447e-05,0.01058316163840563,2.9618872950179482e-09,0.00015422154480244777,6.3103416333868324e-06,1.818713640609444e-06,3.5337581545428815e-09,1.7653161184950625e-09,1.3647192722554822e-12
betw cen e-plv theta_CPz,0.0007387326190912164,0.0008564813083644831,0.0,0.004923810830194776,0.001977678002244428,0.015004074357842321,0.0020243568357473955,0.002063006554590833,0.0007387326190912164,0.009364406724949245,0.08541686102113338,0.013132832421955018,0.014656140696339406,0.004694858712059467,0.028034869656154555,0.04799326926798088,0.0003621326989009783,0.0003815739358978244,0.0012926058324244226,0.0007465009672734663
clust coef e-plv beta_FT8,9.58273663396115e-05,0.0008221538328962603,0.004923810830194776,0.0,0.00010170815220171001,9.020550676183277e-07,0.00748442974708312,0.004329185027289695,9.58273663396115e-05,0.0036256128137985007,0.00024504916118337834,0.005283577206429624,1.669954629825642e-30,0.0031293479946326633,0.0011597918002611912,0.0011272212952351502,0.023650914508493312,0.00012206938336442733,0.0003948089386076634,8.515402298542788e-05
hjorth mobility_CP5,1.0896602732212172e-13,2.702077282664126e-20,0.0019776780022444334,0.00010170815220171001,0.0,3.711760378261706e-09,1.612670461841828e-19,1.95881128709447e-19,1.0896602732212172e-13,1.4414764112451877e-08,1.9899919260345704e-09,1.9920555756712984e-06,0.0021974813128921777,2.0311558200115714e-10,3.114056431541153e-05,3.394420666393181e-06,8.476052722231649e-06,1.9899919260345704e-09,5.818008673379296e-13,1.299715106940995e-14
life time theta_PO7,3.7443363356739036e-08,1.399700208006127e-08,0.015004074357842307,9.020550676183277e-07,3.711760378261706e-09,0.0,3.2052515083799675e-07,1.4814182351086333e-07,3.7443363356739036e-08,1.1679364512922722e-06,1.7180020218083603e-08,1.8326135408911933e-08,4.3806949843003384e-05,2.2923287459864716e-05,0.004794659869756162,1.1168278674895048e-11,3.537479994587087e-05,1.2013687034466747e-10,7.393399915086169e-06,1.2154383615563434e-08
lzc exhaustive_TP8,9.61014470621286e-14,1.1571063492836445e-24,0.0020243568357473955,0.00748442974708312,1.612670461841828e-19,3.2052515083799675e-07,0.0,1.1021486040812534e-71,9.61014470621286e-14,2.713575076152154e-10,1.8350523933578665e-10,2.9923217289198965e-07,0.031548060433608915,1.5383548762890275e-13,0.0009485247105641687,3.869315146044833e-07,3.5466991944063433e-07,1.0508133625463696e-08,1.682576937635507e-13,5.105126532880706e-14
lzc primitive_TP8,1.490079526531475e-14,9.075136034835458e-25,0.002063006554590823,0.004329185027289695,1.95881128709447e-19,1.4814182351086333e-07,1.1021486040812534e-71,0.0,1.490079526531475e-14,5.2360821232243426e-11,1.6970172058864104e-11,8.588721893646225e-08,0.020011074785415826,4.841604673404368e-14,0.0008336806630902359,1.9526835091477917e-07,1.568799302530302e-07,5.924531334331472e-09,3.685805404243377e-14,6.695441937818761e-15
mean ampl theta_P8,0.0,2.35220175816593e-12,0.0007387326190912212,9.58273663396115e-05,1.0896602732212172e-13,3.7443363356739036e-08,9.61014470621286e-14,1.490079526531475e-14,0.0,9.61014470621286e-14,6.891928201208942e-11,5.327337537226401e-11,0.0006625575229861133,1.3716992820663795e-12,0.018646685027547433,1.3471927276813862e-07,1.6291483712172433e-09,4.069236778426757e-11,8.469821645917122e-14,2.1663271464099366e-64
mod index theta-alpha_C5,9.61014470621286e-14,2.8082484953543526e-07,0.009364406724949259,0.0036256128137985007,1.4414764112451877e-08,1.1679364512922722e-06,2.713575076152154e-10,5.2360821232243426e-11,9.61014470621286e-14,0.0,2.8347172052028003e-16,8.229469672887307e-18,0.0027129409316101454,2.4622183446258724e-15,0.008764426319168043,1.8880641766579663e-10,2.4802653391416793e-13,6.566419442396307e-08,2.8504269581942716e-15,8.767267540079123e-14
mod index theta-beta_FC5,6.891928201208942e-11,9.923780084660872e-08,0.0854168610211333,0.00024504916118337834,1.9899919260345704e-09,1.7180020218083603e-08,1.8350523933578665e-10,1.6970172058864104e-11,6.891928201208942e-11,2.8347172052028003e-16,0.0,3.119335438257459e-10,0.00040539912271115935,1.6502899633529858e-10,0.0015668621995536245,8.971092518525707e-14,1.2317453952420935e-06,1.4253775039617809e-06,8.844024897250483e-12,2.9111053136633407e-11
mod index theta-gamma_CP6,5.327337537226401e-11,2.7776022611594447e-05,0.013132832421955018,0.005283577206429624,1.9920555756712984e-06,1.8326135408911933e-08,2.9923217289198965e-07,8.588721893646225e-08,5.327337537226401e-11,8.229469672887307e-18,3.119335438257459e-10,0.0,0.0067858787271384184,3.596552747744126e-10,0.019256693046991576,1.360826924553526e-09,1.950433737694238e-10,5.732773130864406e-08,5.2815220000264955e-11,5.831836106738897e-11
node str e-plv beta_FT8,0.0006625575229861133,0.01058316163840563,0.014656140696339406,1.669954629825642e-30,0.0021974813128921777,4.3806949843003384e-05,0.031548060433608915,0.020011074785415826,0.0006625575229861133,0.0027129409316101454,0.00040539912271115935,0.0067858787271384184,0.0,0.004577333485391545,0.002988683941346885,0.0048878666447894886,0.06937186879456593,0.0008519019993797433,0.0006762930803559581,0.00044966044375495385
relative ampl alpha_CP6,1.3716992820663795e-12,2.9618872950179482e-09,0.004694858712059467,0.0031293479946326633,2.0311558200115714e-10,2.2923287459864716e-05,1.5383548762890275e-13,4.841604673404368e-14,1.3716992820663795e-12,2.4622183446258724e-15,1.6502899633529858e-10,3.596552747744126e-10,0.004577333485391545,0.0,0.0028111694723296794,7.493874181278773e-06,4.886661438704181e-09,1.3122607395608914e-05,6.61940102804843e-33,2.1489814939168892e-13
