,ampl total power gamma,betw cen e-plv delta,clust coef e-plv delta,kurtosis ampl beta,kurtosis ampl delta,life time beta,life time theta,lyapunov exponent,mean ampl gamma,mod index alpha-beta,node str e-plv delta,range coef var beta,skewness ampl gamma,std ampl beta,std ampl gamma,waiting time beta,waiting time gamma,waiting time theta
ampl total power gamma_C2,0.0,0.5895100301057117,0.0047669167477984225,0.02425731629778247,1.888053153347307e-08,0.46017997573017977,0.004661794262585064,0.00045185495701500274,0.0,0.002235340020507323,0.019187878360084842,0.2972777954254496,1.7230619692006327e-12,6.373199374647666e-37,1.6026121816671689e-170,0.23010604741219462,0.00014563682202639076,0.0014707731316311538
betw cen e-plv delta_Pz,0.5895100301057117,0.0,0.007400762831104961,0.3188793634564417,0.43455415121340113,0.7761401212363542,0.005124466626995224,0.7253280949568994,0.5895100301057117,0.977389121348246,0.0002594786618145479,0.004340671689336009,0.21258589064137395,0.13242978636398023,0.525129129774337,0.2778457992996594,0.4651051219746348,0.03890597782687005
clust coef e-plv delta_FC1,0.0047669167477984225,0.007400762831104961,0.0,0.28349211657071194,0.055334882167576545,0.08704773061351406,0.06045387310118386,0.18452009192951038,0.0047669167477984225,0.2512246875089832,2.522977771852599e-13,0.054334760717201114,0.0026924423553475346,1.8903476123181068e-05,0.005194440049775117,0.029208807942784683,0.15481173672737233,0.029182373371333586
kurtosis ampl beta_CP6,0.02425731629778247,0.3188793634564417,0.28349211657071194,0.0,0.04466576976267274,7.659306270738983e-07,0.0006935496610197843,0.08464209399730102,0.02425731629778247,3.520085884847634e-10,0.09093352557095287,1.7395691569687069e-15,0.0002928090178413051,0.0008445242514698662,0.013316387284941228,8.379208915695374e-09,1.0453818023540336e-12,2.180985152209336e-06
kurtosis ampl delta_F6,1.888053153347307e-08,0.43455415121340113,0.055334882167576545,0.04466576976267274,0.0,0.5809678060568663,0.013900285950550437,0.0040114795884562,1.888053153347307e-08,0.3613697692870942,0.4713619665171881,0.3967922120370041,6.972338213170675e-05,4.939782145368777e-10,1.0812541916935225e-08,0.6108946316678237,0.5722972586182641,0.4212806818745696
life time beta_POz,0.46017997573017977,0.7761401212363542,0.08704773061351406,7.659306270738983e-07,0.5809678060568663,0.0,0.08834611813406809,0.02525689493431255,0.46017997573017977,1.104673432339288e-06,0.18102880178501088,2.0341302539657603e-05,0.01860139982053384,0.01736601528660769,0.37134165938895314,2.2378677722458973e-33,8.104992314723561e-06,0.0006343927471735787
life time theta_TP7,0.004661794262585064,0.005124466626995215,0.06045387310118386,0.0006935496610197843,0.013900285950550437,0.08834611813406809,0.0,0.35979823318686033,0.004661794262585064,7.975615892306243e-05,0.19682909096580986,5.930961739359555e-05,0.16787860426788542,0.007763377207761289,0.0034526824221009665,0.48031603609938334,0.022538226700700593,3.638770013515193e-12
lyapunov exponent_CP6,0.00045185495701500274,0.7253280949568994,0.18452009192951038,0.08464209399730102,0.0040114795884562,0.02525689493431255,0.35979823318686033,0.0,0.00045185495701500274,0.6439577827603642,0.027944322792625643,0.5464106630158084,0.0010193709574208927,3.811251040853259e-08,0.00038416041203344776,1.4689113657553525e-05,0.03695928797771237,0.3591676794459121
mean ampl gamma_C2,0.0,0.5895100301057117,0.0047669167477984225,0.02425731629778247,1.888053153347307e-08,0.46017997573017977,0.004661794262585064,0.00045185495701500274,0.0,0.002235340020507323,0.019187878360084842,0.2972777954254496,1.7230619692006327e-12,6.373199374647666e-37,1.6026121816671689e-170,0.23010604741219462,0.00014563682202639076,0.0014707731316311538
mod index alpha-beta_Cz,0.002235340020507323,0.977389121348246,0.2512246875089832,3.520085884847634e-10,0.3613697692870942,1.104673432339288e-06,7.975615892306228e-05,0.6439577827603642,0.002235340020507323,0.0,0.641784172830894,6.665897767534614e-07,0.005023981538590989,0.04035496276737432,0.0013056859455921836,0.00035852125017073,3.2557598925501075e-11,1.2202449068076224e-05
node str e-plv delta_P3,0.019187878360084842,0.0002594786618145479,2.522977771852599e-13,0.09093352557095287,0.4713619665171881,0.18102880178501088,0.19682909096580992,0.027944322792625643,0.019187878360084842,0.641784172830894,0.0,0.030292146383959884,0.0025738301319968545,2.588201260402197e-05,0.016638041684402034,0.0028303784450584364,0.009127155962689915,0.04011358242991924
range coef var beta_C4,0.2972777954254496,0.004340671689336009,0.054334760717201114,1.7395691569687069e-15,0.3967922120370041,2.0341302539657603e-05,5.930961739359555e-05,0.5464106630158084,0.2972777954254496,6.665897767534614e-07,0.030292146383959884,0.0,0.02916055468046917,0.01957144069519552,0.21789973934931972,6.816174327696323e-07,3.6066766217840146e-11,7.42413223543417e-07
skewness ampl gamma_C1,1.7230619692006327e-12,0.21258589064137395,0.0026924423553475346,0.0002928090178413051,6.972338213170675e-05,0.01860139982053384,0.16787860426788542,0.0010193709574208927,1.7230619692006327e-12,0.005023981538590989,0.0025738301319968545,0.02916055468046917,0.0,5.003105920280708e-16,1.907818444955208e-12,0.00019554210797548401,1.985152627984212e-09,0.04484180840025704
std ampl beta_C1,6.373199374647666e-37,0.13242978636398017,1.8903476123181068e-05,0.0008445242514698662,4.939782145368777e-10,0.01736601528660769,0.007763377207761296,3.811251040853259e-08,6.373199374647666e-37,0.04035496276737432,2.588201260402197e-05,0.01957144069519552,5.003105920280708e-16,0.0,7.1317718140833515e-37,0.00039532619350222573,4.0494568268294816e-05,0.0022417656585399463
