,betw cen e-wpli gamma,clust coef s-lcoh alpha,kurtosis ampl beta,life time beta,life time gamma,microstate C,mod index alpha-beta,mod index alpha-gamma,mod index delta-alpha,mod index theta-alpha,mod index theta-beta,node str s-lcoh alpha,node str s-lcoh beta,range coef var beta,skewness ampl alpha,source ampl theta,waiting time beta,waiting time gamma
betw cen e-wpli gamma_C5,1.0,0.771,0.157,0.217,0.75,0.44,0.253,0.276,0.552,0.557,0.587,0.618,0.044,0.016,0.569,0.805,0.073,0.599
clust coef s-lcoh alpha_LInsula,0.771,1.0,0.685,0.001,0.0,0.0,0.222,0.313,0.0,0.0,0.017,0.0,0.91,0.223,0.0,0.003,0.906,0.0
kurtosis ampl beta_CP6,0.157,0.685,1.0,0.0,0.0,0.108,0.0,0.044,0.0,0.0,0.0,0.591,0.101,0.0,0.386,0.532,0.0,0.0
life time beta_AF8,0.217,0.001,0.0,1.0,0.0,0.077,0.024,0.295,0.0,0.0,0.0,0.001,0.008,0.0,0.006,0.076,0.0,0.0
life time gamma_O1,0.75,0.0,0.0,0.0,1.0,0.069,0.001,0.698,0.0,0.0,0.0,0.0,0.133,0.0,0.004,0.135,0.0,0.0
microstate C_Group1_Map3_SegDensity,0.44,0.0,0.108,0.077,0.069,1.0,0.134,0.098,0.012,0.11,0.766,0.0,0.612,0.102,0.471,0.767,0.004,0.076
mod index alpha-beta_FC6,0.253,0.222,0.0,0.024,0.001,0.134,1.0,0.19,0.002,0.001,0.0,0.251,0.07,0.001,0.027,0.874,0.002,0.0
mod index alpha-gamma_CP3,0.276,0.313,0.044,0.295,0.698,0.098,0.19,1.0,0.11,0.275,0.209,0.307,0.196,0.043,0.866,0.273,0.164,0.518
mod index delta-alpha_AF7,0.552,0.0,0.0,0.0,0.0,0.012,0.002,0.11,1.0,0.0,0.0,0.0,0.045,0.0,0.001,0.03,0.0,0.0
mod index theta-alpha_F1,0.557,0.0,0.0,0.0,0.0,0.11,0.001,0.275,0.0,1.0,0.0,0.0,0.596,0.0,0.0,0.005,0.0,0.0
mod index theta-beta_CP2,0.587,0.017,0.0,0.0,0.0,0.766,0.0,0.209,0.0,0.0,1.0,0.06,0.004,0.001,0.002,0.024,0.031,0.0
node str s-lcoh alpha_LInsula,0.618,0.0,0.591,0.001,0.0,0.0,0.251,0.307,0.0,0.0,0.06,1.0,0.84,0.227,0.0,0.001,0.881,0.002
node str s-lcoh beta_LSuperiorParietalLobule,0.044,0.91,0.101,0.008,0.133,0.612,0.07,0.196,0.045,0.596,0.004,0.84,1.0,0.14,0.281,0.217,0.002,0.614
range coef var beta_AF8,0.016,0.223,0.0,0.0,0.0,0.102,0.001,0.043,0.0,0.0,0.001,0.227,0.14,1.0,0.433,0.19,0.0,0.0
skewness ampl alpha_F5,0.569,0.0,0.386,0.006,0.004,0.471,0.027,0.866,0.001,0.0,0.002,0.0,0.281,0.433,1.0,0.0,0.341,0.003
source ampl theta_RSuperiorFrontalGyrusMedialPart,0.805,0.003,0.532,0.076,0.135,0.767,0.874,0.273,0.03,0.005,0.024,0.001,0.217,0.19,0.0,1.0,0.905,0.092
waiting time beta_FC5,0.073,0.906,0.0,0.0,0.0,0.004,0.002,0.164,0.0,0.0,0.031,0.881,0.002,0.0,0.341,0.905,1.0,0.0
waiting time gamma_FC6,0.599,0.0,0.0,0.0,0.0,0.076,0.0,0.518,0.0,0.0,0.0,0.002,0.614,0.0,0.003,0.092,0.0,1.0
