,betw cen e-plv alpha,betw cen e-plv delta,betw cen e-wpli gamma,betw cen s-lcoh alpha,betw cen s-lcoh theta,clust coef e-plv alpha,clust coef e-plv theta,clust coef s-lcoh alpha,kurtosis ampl gamma,life time beta,life time gamma,mod index alpha-beta,mod index alpha-gamma,mod index delta-alpha,mod index theta-alpha,node str s-lcoh alpha,range coef var beta,waiting time beta,waiting time gamma
betw cen e-plv alpha_FC2,0.0,0.0028578994019827,0.027005831507750017,0.3242677499265677,0.3321252579554915,1.7463028850754788e-06,0.16410766847085675,0.00011397220967795284,0.03947980926245262,0.07016202352168763,0.004309217430896395,0.795396782452444,0.6334726732929339,0.013876725450331917,0.0007299571695281543,0.0006942007814697734,0.5050023383618216,0.7397518893228998,0.029324005811349634
betw cen e-plv delta_Pz,0.0028578994019827,0.0,0.697716661193564,0.48160033926251544,0.11472639707205957,0.35884194580969364,0.2520150336634173,0.27456349656548606,0.0847639099654408,0.24412848808285287,0.07197503257983857,0.17099988370490576,0.9651246930105284,0.08173214263318822,0.6514193071502382,0.2567554201505054,0.03324483223064708,0.5498826193243221,0.10816050172435501
betw cen e-wpli gamma_AFz,0.027005831507750072,0.6977166611935639,0.0,0.6877805180683196,0.17802197698371522,0.35954307795440865,0.326678214042342,0.09741884481011623,0.0023766586721339356,0.6596386485690231,0.16471645271264834,0.19443382228556838,0.362544556196049,0.12103583865794604,0.4307698891510411,0.06930604889389767,0.12583512631235755,0.34807026840323585,0.10483299440642316
betw cen s-lcoh alpha_LHeschlGyrus,0.3242677499265677,0.48160033926251544,0.6877805180683196,0.0,0.610554139311262,0.11850072302115942,0.31110430776105763,0.024421874249681015,0.2797712715113046,0.024435111222099452,0.7017774444146672,0.008521981525713372,0.03924174455617281,0.1002747687973139,0.05388618006621362,0.025466133491866057,0.9479082290390692,0.08717292609748052,0.7704290062463498
betw cen s-lcoh theta_RAngularGyrus,0.3321252579554915,0.11472639707205957,0.17802197698371522,0.610554139311262,0.0,0.22259803951805823,0.7012383691295474,0.024048903304043863,0.06023927008170574,0.46032270401354936,0.6807152814229946,0.6551491338334583,0.5579461421022672,0.16654476526687742,0.12198975084728896,0.02075743264821515,0.9494160973556539,0.3009272053121725,0.920012086000482
clust coef e-plv alpha_C1,1.7463028850754788e-06,0.35884194580969364,0.3595430779544083,0.11850072302115942,0.22259803951805823,0.0,8.107010961272586e-07,3.074296278126111e-09,0.03128484138236358,1.0655722096985151e-05,1.0341279199782994e-07,0.05093176558848196,0.3367450773047075,1.3192996804713702e-05,1.4674503317945049e-15,1.1792715873627992e-07,0.32045025232265506,0.36501838430031475,2.6472401666040672e-05
clust coef e-plv theta_Cz,0.16410766847085675,0.2520150336634173,0.326678214042342,0.31110430776105763,0.7012383691295474,8.107010961272586e-07,0.0,0.0663388060635618,0.06764643155519849,9.148909637491837e-07,5.46856019850957e-05,0.019053075302841886,0.8310520483625792,5.444219614854777e-05,9.394431225522009e-05,0.11198529166075667,0.02401022428990187,2.3146478424536814e-06,1.4766460985188014e-05
clust coef s-lcoh alpha_LInsula,0.00011397220967795284,0.27456349656548634,0.0974188448101161,0.024421874249681015,0.024048903304043863,3.074296278126111e-09,0.0663388060635618,0.0,0.7114465273039146,0.0001700445483297755,9.370706948433936e-06,0.2204730483192349,0.4056221945559728,1.8861476266104353e-06,1.0499041518958226e-09,2.1379241253279823e-105,0.6653544239351862,0.3882241382178617,0.004368869623277106
kurtosis ampl gamma_C1,0.03947980926245262,0.0847639099654408,0.002376658672133947,0.2797712715113046,0.06023927008170574,0.03128484138236358,0.06764643155519849,0.7114465273039146,0.0,0.028803414772266923,0.0003652192576758075,0.00015112987533023837,0.9035155680356605,0.005330673426458991,0.31058033188000805,0.6308862279313732,4.1190462815000025e-07,0.0016703719675869215,1.076681916345454e-05
life time beta_AF8,0.07016202352168763,0.24412848808285287,0.6596386485690231,0.024435111222099452,0.460322704013549,1.0655722096985151e-05,9.148909637491837e-07,0.0001700445483297755,0.028803414772266923,0.0,5.5564800914840656e-11,0.005679037256609878,0.0013703407341842276,2.6892017870037174e-15,2.1880194997471457e-13,0.0003243787814211227,6.082410193492297e-11,4.7706560510335665e-31,4.868905965774966e-13
life time gamma_O1,0.004309217430896395,0.07197503257983863,0.16471645271264834,0.7017774444146672,0.6807152814229946,1.0341279199782994e-07,5.46856019850957e-05,9.370706948433936e-06,0.0003652192576758075,5.5564800914840656e-11,0.0,0.0002975033774538392,0.10775551030426805,4.9113025219599845e-11,9.279683343415982e-12,2.3317350421676614e-05,6.344877393373045e-06,7.061204086266029e-06,5.5937838281328305e-53
mod index alpha-beta_FC6,0.795396782452444,0.17099988370490576,0.19443382228556855,0.008521981525713372,0.6551491338334583,0.05093176558848196,0.019053075302841886,0.2204730483192349,0.00015112987533023837,0.005679037256609878,0.0002975033774538392,0.0,0.006261263299405699,0.0019329354456001759,0.0008852684446862166,0.2660250273276996,1.0591898387099384e-05,0.002782168742822118,5.557536136742826e-06
mod index alpha-gamma_C5,0.6334726732929339,0.9651246930105284,0.362544556196049,0.03924174455617281,0.5579461421022672,0.3367450773047075,0.8310520483625792,0.4056221945559728,0.9035155680356605,0.0013703407341842276,0.10775551030426805,0.006261263299405699,0.0,0.5022427453273455,0.0018755423685540178,0.5003097129176519,0.04489160599171108,0.011391627373359187,0.05921770676997283
mod index delta-alpha_AF7,0.013876725450331952,0.08173214263318818,0.12103583865794604,0.1002747687973139,0.16654476526687756,1.3192996804713702e-05,5.444219614854777e-05,1.8861476266104353e-06,0.005330673426458991,2.6892017870037174e-15,4.9113025219599845e-11,0.0019329354456001759,0.5022427453273455,0.0,1.6127035947774027e-10,3.4783897560314064e-06,1.8551917040069518e-05,2.7575596544796942e-08,8.433411692384891e-10
mod index theta-alpha_F5,0.0007299571695281543,0.6514193071502382,0.4307698891510411,0.05388618006621362,0.12198975084728896,1.4674503317945049e-15,9.394431225522009e-05,1.0499041518958226e-09,0.31058033188000805,2.1880194997471457e-13,9.279683343415982e-12,0.0008852684446862166,0.0018755423685540178,1.6127035947774027e-10,0.0,4.6750053044503454e-08,0.0008689003731843584,0.0026045589884967435,2.0542596339134945e-10
node str s-lcoh alpha_LInsula,0.0006942007814697764,0.2567554201505054,0.06930604889389767,0.02546613349186611,0.02075743264821515,1.1792715873627992e-07,0.11198529166075667,2.1379241253279823e-105,0.6308862279313732,0.0003243787814211227,2.3317350421676614e-05,0.2660250273276996,0.5003097129176519,3.4783897560314064e-06,4.6750053044503454e-08,0.0,0.6229995753750834,0.27031515035995035,0.005304264467975366
