,betw cen e-plv beta,clust coef e-icoh theta,clust coef e-plv beta,clust coef e-plv delta,clust coef e-plv theta,clust coef e-wpli theta,node str e-icoh theta,node str e-plv beta,node str e-plv delta,node str e-plv theta,node str e-wpli theta
betw cen e-plv beta_C3,0.0,0.0016062289620401994,0.24995574585982028,0.302964564257886,0.14174834317949245,0.000419628597428133,0.002430691837296137,0.22909567311688767,0.3045442011572882,0.1833890748290654,0.0007721855754200602
clust coef e-icoh theta_O1,0.0016062289620401965,0.0,0.013606177375840812,0.7905730252164983,5.909029366375938e-07,2.6230846323257988e-82,8.86717114939152e-90,0.0070012087921491805,0.9220656107597767,8.325140168645964e-05,1.2389632648241279e-63
clust coef e-plv beta_F5,0.24995574585982028,0.013606177375840812,0.0,0.0004255257159478156,1.0726529313682635e-07,0.014715652935533551,0.013698384964473469,1.98227023452055e-61,0.0005496650461059418,8.922468589551129e-08,0.03750270268304948
clust coef e-plv delta_F2,0.302964564257886,0.7905730252164983,0.0004255257159478156,0.0,2.0096731622181037e-15,0.7201452117377904,0.592474345898305,0.008195173277076766,2.688943580036562e-72,3.735232841503725e-16,0.3175432596327601
clust coef e-plv theta_F2,0.14174834317949245,5.909029366375938e-07,1.0726529313682635e-07,2.0096731622181037e-15,0.0,2.320858536448286e-07,5.95672355140321e-05,1.9833530671438082e-05,9.05212147775497e-17,1.800914661471361e-89,4.414856172783858e-05
clust coef e-wpli theta_O1,0.000419628597428133,2.6230846323257988e-82,0.014715652935533551,0.7201452117377904,2.320858536448286e-07,0.0,2.699262201269718e-65,0.011423955007743807,0.931652807025865,3.596679884204998e-05,4.839014378443138e-86
node str e-icoh theta_O1,0.002430691837296137,8.86717114939152e-90,0.013698384964473469,0.592474345898305,5.95672355140321e-05,2.699262201269718e-65,0.0,0.004743842318344514,0.620179769513179,0.002082872989578154,6.917574356567856e-73
node str e-plv beta_F5,0.22909567311688767,0.0070012087921491805,1.98227023452055e-61,0.008195173277076766,1.9833530671438082e-05,0.011423955007743807,0.004743842318344514,0.0,0.005693539633746781,9.666198055025161e-06,0.021184924853014566
node str e-plv delta_F2,0.3045442011572882,0.9220656107597767,0.0005496650461059418,2.688943580036562e-72,9.05212147775497e-17,0.931652807025865,0.620179769513179,0.005693539633746781,0.0,1.9890686323827363e-19,0.4278724310368466
node str e-plv theta_F2,0.1833890748290654,8.325140168645964e-05,8.922468589551129e-08,3.735232841503725e-16,1.800914661471361e-89,3.596679884204998e-05,0.002082872989578154,9.666198055025161e-06,1.9890686323827363e-19,0.0,0.0014421021373191303
node str e-wpli theta_O1,0.0007721855754200602,1.2389632648241279e-63,0.03750270268304948,0.3175432596327601,4.414856172783858e-05,4.839014378443138e-86,6.917574356567856e-73,0.021184924853014566,0.4278724310368466,0.0014421021373191303,0.0
