id,Pts-2_subtest_3,approx entropy_TP8,betw cen e-plv theta_CPz,clust coef e-plv beta_FT8,lzc primitive_TP8,mod index theta-alpha_C5,mod index theta-beta_FC5,mod index theta-gamma_P3,node str e-plv beta_FT8,relative ampl delta_P7,skewness ampl theta_PO10,source ampl alpha_RParahippocampalGyrus,spectral entropy alpha_TP8,spectral entropy delta_P7
sub-010002,16,0.542168949701897,0,0.167568556514321,2.72576074632035,0.0007255526811439,0.0017184354342548,0.0013563061026456,11.5476843324594,0.984698250030823,0.105610966670834,0.3187088,0.354617989158648,0.125254873781431
sub-010004,18,0.694990669835721,0,0.148028548966051,1.94407542413735,0.0007472275659479,0.0014538235180459,0.0012198618676333,9.98820453807364,1.4589307048573,0.0595446927473366,0.7129413,0.477272310793225,0.174056285633816
sub-010006,17,0.681505045637022,0,0.170038402187086,1.97990295039875,0.000645846255001,0.0012540445472012,0.0011416630949819,11.1986873953258,1.24010635943388,0.0306176376654514,0.588465,0.332521550892354,0.15093540138107
sub-010007,17,0.684958862423325,0,0.160168855020902,1.7318514854717,0.0004970568914819,0.0013352597361308,0.0014141572154757,10.6278732586717,1.09080150445989,0.0755780173610231,2.006234,0.503277019104913,0.137005789548556
sub-010012,19,0.642951160501168,0,0.176812751372404,2.12367780163576,0.0005020614303036,0.001543448384526,0.0012951863123163,11.5436416495727,0.767983684693023,0.125360278161042,1.098242,0.497666859755094,0.104271778127084
sub-010026,19,0.709881713073625,0,0.153231915594655,1.72248194314308,0.000583201507488,0.0015329203243402,0.0012749642054667,9.93889844871737,1.00071409144051,0.116396806927217,0.9304595,0.541645409826542,0.128778153911498
sub-010037,23,0.639983377457905,0,0.152121373991832,2.41251529512246,0.0005763232287189,0.0013784474761499,0.0011530656929457,9.73204042973606,0.910364659705086,0.0738067305075738,0.6665197,0.43844593116497,0.119421386737775
sub-010039,16,0.598653245262222,32,0.160716952337019,2.41573374289519,0.0007916273211125,0.0015643837557057,0.0014833607842486,10.3827942836204,4.7864994452282,0.0829730030577908,0.1515187,0.278492231367049,0.405819157919035
sub-010041,15,0.677301706202596,4,0.170637167671657,2.06077820875853,0.0007104831419046,0.0014489079964461,0.0015934437651134,10.9928466067632,1.57873385005369,0.0766045436755359,0.5245713,0.507291609701588,0.181204447706129
sub-010044,11,0.551290103137167,36,0.180718861557646,2.68927755829391,0.0009705711816248,0.0015781846378971,0.0015972028180908,13.5479624323368,1.43966390388023,0.118143161292069,0.2439357,0.290058605730085,0.169612040149689
sub-010045,9,0.610692551685386,40,0.18339204249341,2.33447644060312,0.0006307996732721,0.0014733564519217,0.0011671252432984,12.6578409267553,0.64933006561398,0.0729030712927154,0.4545583,0.460140334325797,0.0907900215974401
sub-010046,14,0.654716234637792,4,0.164269170582569,2.19609371205306,0.0009026211731344,0.0017509790242651,0.0015004696318017,11.6011094480736,2.4695817252022,0.103880845142661,0.488653,0.249878083798426,0.259009355970103
sub-010047,11,0.636716800842317,28,0.203163461781097,2.23654840397796,0.0006858567923045,0.0015897927885423,0.0014286930615062,14.2966353712538,0.537125116463923,0.117458347861716,1.678336,0.447964384827131,0.0775163751052655
sub-010048,16,0.61900049500838,0,0.157327591227921,2.31770805012783,0.0007294453915887,0.0015086950794299,0.0014472001198952,10.6025605422645,1.69388584816511,0.0820945132228185,1.3022,0.393966278550884,0.191267563322085
sub-010049,13,0.64862940172217,50,0.202470232159701,2.29103464501568,0.0009109406997317,0.0017613243354548,0.0017176816908417,14.941803416292,4.0330378366222,0.133652990439874,0.3787056,0.27544723981086,0.35958566271979
sub-010050,18,0.604012355847396,2,0.167945630134207,2.5152770383685,0.0007777097448189,0.0016870288749047,0.0014003018712562,11.0782245505645,1.44387864636916,0.113295478602178,0.4587534,0.339827094117221,0.167724145641037
sub-010051,12,0.676203724674763,90,0.198693978074838,2.18613065640262,0.0010095229793627,0.0018137140777801,0.0017086458597022,13.8502585522254,3.85360069669438,0.125688861096472,0.1910854,0.400868329489629,0.351751550540121
sub-010059,19,0.653423332719545,2,0.207958094855213,2.15456505216857,0.0006942409540237,0.0013655043652411,0.0013753471462436,14.2930642007734,1.27933124092669,0.0986952542148544,0.8608225,0.516021989786336,0.157588639753439
sub-010081,14,0.648745463627873,0,0.163134933782089,2.29228036123488,0.000797961344226,0.0018600061442596,0.0013878180276339,11.192404099958,1.81903100157276,0.135905601460098,0.8710523,0.481752200045798,0.201028344570612
sub-010085,13,0.668362942169895,6,0.155465056736492,1.86517505892056,0.0005937303406709,0.0012203090666574,0.0011606863259461,10.234361458269,0.688545750653977,0.0855755712058595,0.3850985,0.563011834292271,0.0957578369923811
sub-010086,11,0.637896900945134,20,0.198678140202459,1.41016441419729,0.000607977937957,0.0011985264596193,0.0012184657519247,13.2172073923932,0.742264002265883,0.0995616308536786,0.3451134,0.572565213096647,0.103308209609977
