id,Pts-2_subtest_3,betw cen e-plv gamma_Fz,betw cen s-lcoh beta_ROlfactoryGyrus,betw cen s-lcoh gamma_RInferiorFrontalGyrusOrbitalPart
sub-010003,17,2,0,0
sub-010005,16,0,0,0
sub-010010,21,0,334,0
sub-010016,21,4,0,0
sub-010017,27,6,0,0
sub-010019,23,36,8,0
sub-010020,19,6,10,0
sub-010021,26,14,428,0
sub-010022,20,0,0,10
sub-010023,24,6,0,0
sub-010024,20,6,0,0
sub-010027,22,2,0,0
sub-010028,27,0,30,28
sub-010029,26,62,0,0
sub-010030,26,2,116,4
sub-010031,32,2,0,0
sub-010032,25,22,0,0
sub-010033,23,30,358,0
sub-010034,19,10,0,152
sub-010035,20,10,10,0
sub-010036,22,12,0,58
sub-010038,20,28,0,0
sub-010040,18,0,0,0
sub-010042,21,46,0,0
sub-010052,24,18,128,0
sub-010053,24,8,0,0
sub-010056,22,0,0,0
sub-010060,17,2,0,0
sub-010061,18,20,0,0
sub-010062,21,6,0,0
sub-010063,21,0,0,0
sub-010064,23,36,6,0
sub-010065,19,6,0,0
sub-010066,20,12,32,0
sub-010067,23,4,4,10
sub-010068,25,4,0,50
sub-010069,24,18,66,0
sub-010070,23,58,0,0
sub-010071,23,40,60,0
sub-010072,22,12,0,0
sub-010073,18,10,234,0
sub-010074,19,0,0,0
sub-010075,18,2,0,0
sub-010076,23,18,0,0
sub-010079,19,12,16,0
sub-010080,18,0,0,0
sub-010083,19,0,0,2
sub-010084,24,0,0,0
sub-010094,18,4,4,0
sub-010126,27,36,130,0
sub-010134,27,10,0,406
sub-010136,15,10,0,0
sub-010137,20,8,0,0
sub-010138,30,10,0,0
sub-010141,24,20,192,114
sub-010142,18,6,0,0
sub-010150,21,0,4,0
sub-010155,27,14,804,0
sub-010157,21,8,0,0
sub-010162,19,12,0,0
sub-010163,23,18,18,0
sub-010164,25,2,2,0
sub-010165,20,0,8,0
sub-010166,14,20,0,0
sub-010168,18,6,6,0
sub-010170,13,8,0,2
sub-010176,21,10,2,0
sub-010183,21,6,0,0
sub-010191,15,10,0,0
sub-010192,14,4,0,12
sub-010194,19,16,0,0
sub-010195,18,16,0,0
sub-010196,23,12,0,0
sub-010197,25,20,138,668
sub-010200,14,2,0,0
sub-010201,28,32,0,0
sub-010202,18,0,0,0
sub-010204,22,2,0,0
sub-010207,20,2,0,0
sub-010210,20,22,0,0
sub-010213,18,0,0,0
sub-010214,21,0,0,22
sub-010215,19,2,0,0
sub-010218,25,34,0,0
sub-010220,18,22,0,4
sub-010224,22,10,0,0
sub-010226,20,14,0,0
sub-010227,19,4,0,0
sub-010228,26,34,22,0
sub-010229,24,14,0,0
sub-010230,22,2,6,0
sub-010231,21,10,102,0
sub-010232,19,6,0,0
sub-010233,23,8,6,0
sub-010236,19,12,0,0
sub-010238,22,4,14,0
sub-010240,20,2,0,0
sub-010241,23,16,0,0
sub-010252,24,20,6,0
sub-010256,20,6,36,0
sub-010260,20,2,0,0
sub-010261,27,36,8,0
sub-010262,22,90,0,0
sub-010263,18,0,0,0
sub-010264,23,6,0,0
sub-010265,26,28,136,1250
sub-010266,25,50,524,2
sub-010269,26,14,0,416
sub-010270,26,2,0,0
sub-010271,22,4,0,66
sub-010273,22,54,0,0
sub-010274,19,6,4,0
sub-010292,25,10,0,0
sub-010294,23,0,0,0
sub-010295,23,4,0,0
sub-010296,19,8,2,0
sub-010297,25,22,0,0
sub-010298,19,2,0,0
sub-010299,19,2,0,0
sub-010300,20,20,0,0
sub-010301,24,54,0,0
sub-010302,20,22,0,0
sub-010303,20,6,0,0
sub-010304,24,46,0,0
sub-010305,19,14,0,0
sub-010306,20,22,104,0
sub-010307,18,52,0,0
sub-010308,16,0,8,0
sub-010309,21,28,0,0
sub-010310,19,32,0,0
sub-010311,21,0,0,0
sub-010314,19,28,0,0
sub-010315,17,4,140,6
sub-010316,11,0,0,0
sub-010317,21,12,0,0
sub-010318,20,14,0,0
sub-010319,23,40,22,0
sub-010321,19,8,88,0
