id,Rwt_animal_categories,betw cen e-plv alpha_F6,betw cen e-plv beta_F4,betw cen e-plv theta_Pz,clust coef e-icoh alpha_T8,clust coef e-wpli alpha_CP4,dfa exponent delta_FT8,kurtosis ampl gamma_PO9,life time theta_C4,microstate B_Group1_Map2_SegDensity,microstate C_Group1_Map3_SegDensity,node str e-wpli alpha_C6
sub-010003,43.0,86,20,46,0.108344673633451,0.0556186822939432,0.671947211781129,3.05807811713554,767.175,1.327,2.4415,5.11802929052056
sub-010005,31.0,0,4,84,0.120286798978825,0.0670449505769545,0.593116971426296,2.98932865373433,703.71,1.74,3.115,2.81665932307549
sub-010010,23.0,30,30,0,0.0905307207087143,0.0530490501252715,0.550931020908759,3.02857410544498,607.166666666667,2.0665,2.2496,1.97970966650938
sub-010016,54.0,36,72,6,0.072726032755088,0.018869683547155,0.508792476864466,2.93114054027795,583.875,1.8884,2.3504,1.35511683689772
sub-010017,57.0,310,38,6,0.0928894161510928,0.0540959357695971,0.529512695035669,3.65343071734643,575.425,1.5738,2.9953,4.14195568145066
sub-010019,43.0,300,24,0,0.10749494159046,0.0876248693914574,0.549708760969649,3.00242917678004,719.049999999999,1.0383,3.0133,5.83520841968001
sub-010020,42.0,0,2,6,0.100756546431228,0.069243712640174,0.560999821823562,3.04152399279779,551.816666666667,2.0925,2.1335,2.78142208599144
sub-010021,40.0,0,16,2,0.105166161929805,0.0805092948006134,0.554712885706153,2.94038635174696,687.216666666667,1.1798,2.3299,4.2471681749691
sub-010022,46.0,0,6,8,0.0753222040153647,0.0310256622293084,0.548371504887557,3.01140692522356,639.35,1.7317,2.3865,2.35187056135684
sub-010023,47.0,24,0,0,0.0871024926301429,0.0542383855261862,0.603305659533862,3.12326670935761,647.7,1.8883,2.4283,1.12872856501419
sub-010024,49.0,4,24,0,0.0983743347395209,0.0733593663335762,0.583363063783842,3.13887020297962,463.5,0.9736,2.3877,4.11295856982698
sub-010027,39.0,0,18,2,0.112115958510115,0.10750501794755,0.570006913880771,2.9678758664791,535.883333333333,1.5419,3.1388,7.5888456275529
sub-010028,55.0,0,2,16,0.100253097300174,0.0508138786256486,0.508853392654503,3.05126072917862,575.15,1.5633,2.1933,3.29255386936788
sub-010029,40.0,0,0,20,0.141587898044144,0.237722229203909,0.597753164922316,2.9927536700392,623.35,1.2,2.2917,11.5168105421071
sub-010030,46.0,0,10,14,0.111595359096051,0.117047310497622,0.563889320414291,3.02683331778937,439.51,1.1096,2.5598,7.40164403580132
sub-010031,35.0,120,24,18,0.0819154591391664,0.0610111675388349,0.628658966317877,3.09325395975141,607.85,1.7759,2.5165,3.80765515880371
sub-010032,41.0,4,32,28,0.0984475986875266,0.0320435654042059,0.572251778870555,3.00542209359526,559.3,1.9381,1.9921,3.32966013723638
sub-010033,38.0,90,34,14,0.0911031503162764,0.0586540713703282,0.529216673713142,3.04906232300308,543.93,1.9146,2.6363,4.63857381430682
sub-010034,34.0,0,2,18,0.0686228503474348,0.0230083998369226,0.560319579944444,2.97930858436765,607.15,1.4593,2.2726,1.48271335853747
sub-010035,41.0,56,14,2,0.12423334351925,0.109242629200327,0.497208471674703,2.98747257170232,583.08,1.2309,2.1406,6.73319676004558
sub-010036,33.0,2,0,0,0.0647064451816629,0.0220130133817379,0.566272006994663,2.99379712266653,583.2,2.0069,1.9764,1.22094859429172
sub-010038,40.0,88,20,16,0.108477436775271,0.123236853104396,0.577985766901534,2.93302390597503,631.716666666667,1.6017,2.5883,5.70988256442777
sub-010040,44.0,16,40,10,0.105595439222581,0.0798228933345325,0.638694633429344,2.99625814575677,639.200000000001,1.1917,2.3017,4.54928059781422
sub-010042,34.0,2,10,12,0.0801029982088694,0.0397873776254666,0.642316827279145,3.03931677550126,615.675,1.7204,2.4975,1.53568991687285
sub-010052,34.0,4,8,4,0.0661772494168791,0.0241400206169406,0.593009596095343,2.98658859853035,655.65,1.7733,2.1333,2.15856615736541
sub-010053,31.0,66,24,62,0.074753135285568,0.0356534983210632,0.752111766512504,2.97018525538828,711.666666666667,1.8611,2.5483,1.72887964391693
sub-010056,40.0,18,2,16,0.0849637585352289,0.0334717890574356,0.512093899032754,2.89245305516078,591.716666666667,2.3483,2.585,1.53102213047994
sub-010060,38.0,4,2,4,0.11674005208761,0.121170936764556,0.635703184319995,2.99457650652392,679.95,1.1328,2.9189,4.87833355047189
sub-010061,36.0,0,10,2,0.0793428743466859,0.0655742404496225,0.589041387409429,3.03636830050164,608.0,1.9353,2.2972,1.92284042323615
sub-010062,28.0,0,2,30,0.109504139102316,0.0397436422497578,0.562112886873848,3.00985772081168,695.75,1.4422,2.9672,3.8474782563185
sub-010063,35.0,70,2,0,0.092175331610349,0.0393405038617563,0.653961967875986,2.99525188526325,495.12,1.2018,2.1442,3.71034713762928
sub-010064,47.0,156,14,4,0.101736467153518,0.0268363296887121,0.607421009295911,3.12380089813544,567.49,1.4874,2.4485,2.84869682794951
sub-010065,46.0,2,16,0,0.0970341174325112,0.0628453547762457,0.543485866236796,3.13121369329197,599.983333333334,1.3116,2.5837,4.45560856338587
sub-010066,50.0,0,24,28,0.110547119201575,0.0460481581398003,0.572323062061614,3.02465324342544,671.933333333334,1.5537,2.5477,4.20907198314536
sub-010067,37.0,10,12,8,0.0998061038540042,0.114219437694191,0.590970612506379,3.0294528981388,639.199999999999,1.6445,2.5261,6.12315070994809
sub-010068,45.0,146,6,8,0.0842270266160522,0.0372200971967694,0.571331920854572,2.9520502319695,583.45,1.3742,2.4459,5.2032564561659
sub-010069,30.0,0,0,130,0.100760569224393,0.0499238618243377,0.730954930407167,3.00871814403849,831.35,2.1491,2.4981,3.80572749147423
sub-010070,33.0,0,12,12,0.0616723956494543,0.0160465259761224,0.648135396601826,2.96883193980533,679.124999999999,1.9025,2.6671,0.94867873986659
sub-010071,40.0,16,10,8,0.134737111280063,0.153500268367053,0.643683407390137,2.85430395554665,567.55,1.6022,2.724,10.3346588192224
sub-010072,48.0,8,2,8,0.136397636159766,0.123363057901979,0.518606031951751,2.96434535906009,551.9125,1.7148,2.7655,8.33723154634976
sub-010073,39.0,4,8,2,0.0859582466294067,0.0479260747586065,0.562796134860454,3.01755154066795,623.03,2.0548,2.5309,2.83277999209993
sub-010074,53.0,16,2,0,0.12700723613639,0.12792629980667,0.523857846099245,3.14657480273707,487.25,1.3615,2.3998,3.96699092948755
sub-010075,49.0,10,22,8,0.160370819627576,0.159426369313612,0.533761568329151,3.12642724845842,599.9,1.2333,2.3883,8.2213672785484
