id,Rwt_s_words,betw cen s-lcoh gamma_LInferiorOccipitalGyrus,clust coef e-plv theta_C4,microstate A_Group1_Map1_MeanDur,microstate B_Group1_Map2_MeanDur,node str e-plv theta_C4,skewness ampl gamma_P8
sub-010002,19.0,0,0.159951514889781,88.525912,79.826472,11.120664699126,0.0172290535336079
sub-010004,18.0,0,0.170081496744265,67.734176,72.797088,11.4761506033388,0.0247951794827083
sub-010006,27.0,8,0.182722277471642,68.671664,72.704536,10.8409135630233,0.0158170374405701
sub-010007,28.0,0,0.168733923940909,64.0024,95.7998,11.1600518182973,0.0155050175069213
sub-010012,24.0,0,0.185693999589187,71.670744,70.850912,12.7997103830747,0.0108124558356098
sub-010026,17.0,0,0.192561404753224,64.324888,68.210384,13.5464226628926,0.0246992225959584
sub-010037,22.0,0,0.178891685009837,71.375656,71.396208,12.1740943769498,0.0275079192382668
sub-010039,24.0,0,0.174757680611592,72.093856,75.657192,12.1644786392103,0.0146306537304504
sub-010041,29.0,424,0.158323237284665,70.334368,70.153992,10.8702958174437,0.0112865901008111
sub-010044,19.0,0,0.163625489262458,78.97096,70.366336,11.5013448679054,0.0156827871341407
sub-010045,27.0,0,0.188808264113593,69.881416,74.362496,12.3898555325211,0.0217953634954336
sub-010046,24.0,0,0.171620833463961,64.373224,68.848608,11.056130752548,0.0172068534193365
sub-010047,19.0,8,0.187824088117117,62.071136,58.048768,12.9125103795873,0.0152744687753923
sub-010048,27.0,0,0.151547801802317,76.169736,78.750632,10.2131558683221,0.0090368353396048
sub-010049,23.0,26,0.170957410583985,69.423944,64.126456,11.4421847184066,0.0233365096329586
sub-010050,23.0,0,0.151516499411132,73.578648,74.252832,9.75817457498265,0.014973445221387
sub-010051,17.0,0,0.20306746708866,62.203056,60.24084,13.8080072965833,0.0214803065514259
sub-010059,21.0,30,0.211816465393794,74.685688,83.536624,13.9511331100756,0.0136891543614487
sub-010081,21.0,0,0.154777125483082,71.770224,73.820504,10.3808235161424,0.0208272483866006
sub-010085,21.0,4,0.161592839996807,81.454328,78.329416,10.8963249619849,0.0110353024999994
sub-010086,16.0,0,0.19460128240794,69.853832,65.09328,11.4842446257168,0.0243784903225448
sub-010088,12.0,0,0.208625047070797,63.308192,81.190816,14.1818661031437,0.0388493202910397
sub-010089,17.0,0,0.175637688897987,67.980488,67.871088,11.9928097541735,0.0213376463529378
sub-010090,33.0,300,0.168624414839915,70.519328,68.83512,10.625308367803,0.0215792984043138
sub-010091,26.0,0,0.187281348952899,80.778056,78.906656,12.3894586152643,0.0217291371623145
sub-010092,22.0,0,0.182747803601973,68.278016,71.898512,12.079949595505,0.019935769465061
sub-010093,21.0,0,0.173984637124652,69.747544,66.076032,11.21758652119,0.011015836178945
sub-010104,38.0,230,0.166075505889587,79.194992,79.85552,11.5668861122785,0.0112442981482224
sub-010146,17.0,54,0.195569744232513,70.074336,70.46736,13.1878952811073,0.0137041061905845
sub-010148,20.0,0,0.184593600970433,76.658568,71.200888,12.3072144872764,0.0056268231707668
sub-010152,19.0,0,0.18045296993472,66.807264,74.892528,12.1447222475781,0.0096871635544732
sub-010219,21.0,0,0.155273539590846,74.564904,70.401888,10.6627752018096,0.0199477894793285
sub-010222,19.0,0,0.184788658647863,80.406536,84.259848,12.8740116528565,0.0274196599306703
sub-010223,21.0,0,0.151945249668375,71.288256,76.228976,10.3604524845357,0.0080742305425533
sub-010234,28.0,0,0.162643841321387,80.674448,69.492424,11.0489252992508,0.0170534501346743
sub-010239,14.0,2,0.195640587819421,67.563824,72.026616,13.3916852563681,0.0236068114713298
sub-010242,23.0,0,0.161821475422258,69.095016,68.304216,10.7539673011717,0.0234044941293442
sub-010243,18.0,0,0.192649746845362,78.306064,70.260752,13.4154019213218,0.0220314435582349
sub-010244,20.0,0,0.14336697014412,77.059376,76.432272,9.73677684847343,0.017309192298981
sub-010245,15.0,0,0.20251829059465,61.991352,66.886768,13.0714256437507,0.018881353587188
sub-010246,14.0,0,0.197974297246022,64.020696,63.115824,13.2795823018404,0.0234319312437265
sub-010247,22.0,0,0.221740189272919,64.05704,74.205656,14.6453921355072,0.0210277936913612
