id,Tap_alertness,betw cen e-icoh delta_PO4,betw cen e-wpli delta_PO4,source ampl delta_RPrecuneus
sub-010002,205.0,0,0,0.03037922
sub-010004,231.0,0,2,0.06457435
sub-010006,253.5,10,32,0.08932882
sub-010007,227.0,4,0,0.0448713
sub-010012,230.0,38,190,0.08852176
sub-010026,191.0,4,0,0.06659403
sub-010037,228.5,6,172,0.04387435
sub-010039,236.0,2,0,0.04757496
sub-010041,264.5,14,648,0.2238094
sub-010045,229.5,24,26,0.03551378
sub-010046,212.5,0,0,0.1857818
sub-010047,307.5,8,486,0.1336938
sub-010048,233.0,6,14,0.1105417
sub-010049,245.0,0,0,0.1127944
sub-010050,248.0,80,432,0.08872047
sub-010051,285.5,36,66,0.4919128
sub-010059,215.5,16,148,0.08895363
sub-010081,225.5,10,0,0.1779328
sub-010085,216.0,0,40,0.08816862
sub-010086,233.5,6,158,0.0848437
sub-010088,270.0,0,6,0.0480661
sub-010089,282.0,44,370,0.06233215
sub-010090,457.5,194,622,0.08901009
sub-010091,239.0,50,566,0.1735992
sub-010092,351.0,56,1050,1.581695
sub-010093,270.0,2,0,0.09602769
sub-010104,246.0,14,0,0.1311121
sub-010146,312.0,44,980,0.06231983
sub-010148,336.0,40,226,0.100296
sub-010152,249.0,26,70,0.04555474
sub-010199,261.0,0,12,0.08399055
sub-010219,356.0,0,36,0.2697509
sub-010222,276.5,2,310,0.05002999
sub-010223,321.0,46,92,0.2237552
sub-010234,270.0,2,30,0.05226559
sub-010239,258.5,22,0,0.1885481
sub-010242,379.5,278,1036,0.4159282
sub-010243,243.0,8,0,0.07076789
sub-010244,298.5,2,0,0.1352971
sub-010245,210.0,46,82,0.1270499
sub-010246,286.5,0,234,0.1203918
sub-010247,323.5,4,78,0.06376228
sub-010248,306.5,24,6,0.06731259
sub-010249,270.5,62,352,0.0870206
sub-010250,277.5,18,0,0.0869798
sub-010251,211.5,0,8,0.0875632
sub-010254,274.0,0,124,0.05425496
sub-010255,375.5,160,336,0.5678054
sub-010257,307.5,0,0,0.08567192
sub-010258,233.0,4,78,0.1840872
sub-010267,314.0,102,36,0.214277
sub-010268,220.5,2,258,0.08005297
sub-010272,264.0,40,360,0.1722184
sub-010275,218.0,0,80,0.1510016
sub-010283,313.5,76,98,0.6397421
sub-010284,246.0,0,0,0.2550152
sub-010286,226.5,4,132,0.05282649
sub-010287,205.5,2,0,0.2188456
sub-010288,250.5,78,138,0.1404005
sub-010289,261.0,0,0,0.2469325
sub-010290,268.5,0,0,0.1382428
sub-010291,235.5,116,566,0.1514246
