id,Tap_simon_congruent,betw cen e-icoh gamma_FC1,clust coef e-plv alpha_AF8,life time beta_C3,node str e-plv alpha_AF8,node str e-plv delta_FC5,source ampl alpha_LFusiformGyrus,waiting time gamma_FC1
sub-010003,420.0,0,0.240662951838731,159.955882352941,15.7658655319762,13.9721836381562,2.786266,111.642741935484
sub-010005,412.0,0,0.255720395560179,311.3,16.5600067170134,14.4137292369806,2.507007,119.837878787879
sub-010010,326.0,4,0.219968633893046,215.0525,15.1030574650979,12.4482962495387,9.311604,143.481578947368
sub-010016,325.862069,0,0.185191391203191,215.819230769231,12.6576301873172,12.6968788935263,2.602497,127.494186046512
sub-010017,371.7857143,2,0.233160499741632,159.368085106383,15.7771833004323,13.439772836325,2.325147,119.717924528302
sub-010019,375.0,2,0.213242253661315,191.284090909091,13.0984271391903,13.4656960448206,3.58726,119.033333333333
sub-010020,527.0,0,0.224954594390379,159.478260869565,14.7893544698541,13.1715371305862,2.750339,103.467424242424
sub-010021,392.0,0,0.226277539632395,199.7675,13.8801704051585,13.6149608750101,0.9727681,143.745
sub-010022,313.4482759,2,0.174941181228338,175.681818181818,11.7562103825561,11.982702517548,0.6098464,111.42890625
sub-010023,387.8571429,0,0.191927746513735,223.764285714286,13.4115443556245,15.7684605652773,2.86002,143.536842105263
sub-010024,392.1428571,0,0.22504295286374,167.925,14.3223137971319,12.4326836561702,7.380515,119.196666666667
sub-010027,369.3103448,0,0.223851000580873,143.397142857143,13.5013689779342,12.0936555331609,7.216479,111.921710526316
sub-010028,71.37931034,8,0.21304389529348,151.040277777778,14.3354308084079,14.6364300418494,3.740934,127.932075471698
sub-010029,448.0,0,0.275945900592982,135.226086956522,16.8746369260167,12.4281601650188,15.48678,95.9452054794521
sub-010030,600.0,0,0.281644316491004,143.302083333333,18.7504949454585,12.8742331719302,2.744029,103.45
sub-010031,546.8181818,0,0.173848279485789,199.869444444444,11.1594116933466,18.1485657851483,8.083687,143.354761904762
sub-010032,433.0,0,0.222115331856633,151.769444444444,15.2383450888557,18.8688365943471,2.87404,111.081578947368
sub-010033,429.3103448,2,0.22960601183354,199.9825,15.0829325293602,13.8843824783299,5.225083,111.0984375
sub-010034,355.0,2,0.20507607329094,199.71875,14.2994184448221,17.2134023371671,1.042319,143.017105263158
sub-010035,487.5,0,0.279116906559281,159.235483870968,18.2603192042238,12.2975415705266,8.861286,111.530612244898
sub-010036,402.0,0,0.195488949342745,183.323076923077,13.1883579073942,16.1546674660796,3.093617,111.683673469388
sub-010038,483.3333333,0,0.251153614575618,207.125,16.2992525861563,16.4301349413898,4.996241,119.578205128205
sub-010040,447.7777778,0,0.266369190304672,159.902272727273,17.2197042678308,12.2022376214868,8.21442,111.375961538462
sub-010042,412.0,0,0.209900995012358,223.573333333333,14.9002317003232,12.8344591927391,1.834153,143.106451612903
sub-010052,411.4285714,2,0.166563666205406,159.56875,11.7286166191255,12.1249310138849,1.21691,119.889130434783
sub-010053,397.2413793,0,0.160813185833779,311.69375,11.0913117775462,12.8667138341488,1.473365,175.801851851852
sub-010056,387.0,0,0.173654205336679,215.207692307692,11.7950702663364,12.1339775491815,3.241369,119.167924528302
sub-010060,4090.0,0,0.373592257445472,151.087931034483,25.2085120339133,16.657794624688,5.482793,95.835625
sub-010061,384.0,0,0.220219303497503,207.592857142857,14.8418657130877,12.1297884526692,2.923609,159.033823529412
sub-010062,591.6666667,0,0.296840050026733,159.215909090909,19.6067751395797,14.362551661098,3.106543,119.124074074074
sub-010063,398.0,0,0.296653800541341,143.205263157895,19.7938779153147,14.8113478819516,8.850489,103.951886792453
sub-010064,523.3333333,22,0.242739207249137,183.594736842105,16.5260910307754,15.3328140178207,4.31929,119.978431372549
sub-010065,394.6153846,0,0.222096766586668,143.2,14.1394415390813,13.3165471065653,3.371352,119.549152542373
sub-010066,365.0,2,0.297649956293863,199.555555555556,20.3773875836475,11.9791129392726,3.597273,135.127777777778
sub-010067,325.0,0,0.244589800353305,183.754347826087,16.5221750710859,12.1302113018459,9.274199,135.042857142857
sub-010068,400.0,0,0.219155541917307,159.552272727273,13.6460109336983,13.5410125829007,6.020309,111.415
sub-010069,359.0,18,0.210865515660195,143.422619047619,13.7348467684772,12.7861643535095,0.8655841,111.480714285714
sub-010070,342.8571429,0,0.184916770755147,215.05,12.9121027626134,15.2160873557928,0.9324532,151.448148148148
sub-010071,252.4137931,0,0.286035047430385,143.827083333333,18.0567144703511,15.3956020929129,7.218078,95.8121428571428
sub-010072,431.0,0,0.260706343763534,151.959523809524,17.2998898030268,17.1953727215661,12.08505,103.150684931507
sub-010073,490.0,0,0.22185196509755,167.272222222222,15.7463055964403,13.1047256980433,1.672609,111.8453125
sub-010074,725.7692308,0,0.257751691540847,151.928846153846,16.7627308932334,16.0092398059971,5.226457,119.979
sub-010075,444.8275862,0,0.232934915742513,183.859375,14.3703909725204,15.004996703382,9.265444,143.872727272727
sub-010076,522.2222222,0,0.258278746030368,183.634210526316,18.4162545571258,16.0678346893021,3.525938,119.82358490566
sub-010079,467.0,0,0.273830625812159,151.40303030303,19.4470082065436,14.7182805115725,1.950271,119.534
sub-010080,537.0,0,0.307255986506956,167.901666666667,20.1741855028957,15.3202173631309,13.02672,119.529411764706
sub-010083,497.0,0,0.215670722075914,143.291891891892,14.535755504331,21.333153455696,6.14518,127.452
sub-010084,332.0,0,0.261135507727896,143.783333333333,15.5744580653416,14.7159258274956,2.169126,111.101818181818
sub-010094,773.3333333,0,0.206863248141759,175.93125,13.3547693453885,16.8125753214056,3.213296,119.211458333333
sub-010126,322.0,0,0.277270631827576,135.9125,17.8769103162845,12.9838419634887,5.183925,103.907142857143
sub-010134,432.0,0,0.235689913243508,191.557894736842,15.9812026976088,13.0684394368372,2.729284,111.55421686747
sub-010136,448.9285714,0,0.173616102391307,175.486842105263,11.0978510083142,13.9866728010365,1.775089,111.796376811594
sub-010137,511.0,0,0.281045828334134,135.874324324324,17.9290839405642,14.7581106429542,8.701882,95.7528985507246
sub-010138,397.0,0,0.231607929300666,231.10625,14.9246363803841,10.6313178578311,6.643542,175.136363636364
sub-010141,386.0,4,0.177490714159314,239.769230769231,11.7756540077018,12.5730553643835,1.743517,167.851785714286
sub-010142,371.0,0,0.220477019135245,159.625862068966,14.3458902068003,14.1488922171164,2.133363,119.111224489796
sub-010150,365.0,0,0.20873186103023,175.00625,14.4141719236223,11.7434233100794,6.532164,127.15
sub-010155,482.0689655,0,0.216160806859228,135.584375,13.2846801936605,13.5121571799488,1.530165,111.968367346939
sub-010157,383.7931034,0,0.243182649699733,183.895833333333,16.6248022754472,13.2498175545381,3.346334,127.53
sub-010162,456.2068966,2,0.232426848578857,151.557692307692,15.5941867151877,14.2133411972929,4.253193,103.517924528302
sub-010163,603.1034483,0,0.25016265819015,191.063636363636,17.2205115265131,16.9355453601271,4.4785,111.577611940299
sub-010164,430.0,4,0.187676884313707,159.880263157895,12.3894677609878,18.0094477199514,3.407785,127.886458333333
sub-010165,530.3571429,0,0.240697046931113,167.9828125,16.6556188869129,11.6166341745763,7.981622,127.956862745098
sub-010166,476.0,0,0.236416981865117,167.536363636364,16.4632698999843,23.6886858040869,2.150875,127.256818181818
sub-010168,414.8275862,0,0.222293803927779,167.265909090909,14.3899538988258,16.5108004251553,3.820637,127.292307692308
sub-010170,405.0,0,0.20659298274022,175.4675,14.1882126353288,11.7129296071345,1.340055,151.510344827586
sub-010176,362.0,0,0.233298054344044,207.764285714286,15.8693705949507,12.2923665985622,1.754956,159.271428571429
sub-010183,436.0714286,2,0.181110377719823,191.077777777778,11.1143083012867,12.7893704158142,3.649548,127.85
sub-010191,386.0,0,0.238668947004561,159.171739130435,13.7809889077909,13.2312142701315,11.19381,103.410416666667
sub-010192,323.0,0,0.201300689448449,207.413333333333,13.3279222475267,11.7696840331324,2.274414,127.260227272727
sub-010194,413.0,0,0.219567004868347,151.102083333333,14.0298209307632,12.322223513931,4.473906,103.519852941176
sub-010195,388.0,0,0.184535196207723,151.713157894737,12.5537105641411,11.3666306128453,2.611777,119.328301886792
sub-010196,372.0,0,0.210274350226163,191.991666666667,13.703838559595,15.0408606029853,2.472909,159.003333333333
sub-010197,411.7241379,0,0.166824050525952,151.546551724138,12.2974059470282,11.8125256785151,0.2247355,111.407142857143
sub-010200,348.0,24,0.253804948543058,127.978125,15.7647643441263,11.9349754866529,4.384287,119.461764705882
sub-010201,359.0,0,0.174406135469206,183.563793103448,11.8446230704729,11.8441127369272,1.960082,127.357627118644
sub-010202,466.6666667,0,0.192256896410003,159.935,12.7877154776114,12.9183232955916,1.957555,111.4484375
sub-010204,335.0,0,0.204109202567971,175.54,13.3628324901679,13.0873482667873,3.403231,191.632692307692
sub-010207,322.0,0,0.169201813642754,191.678947368421,11.3521300435094,13.2584615883222,0.5682297,143.49375
sub-010210,415.0,0,0.211745251558491,191.7875,13.3746362628406,11.527639801616,1.558476,111.259523809524
sub-010213,410.3571429,0,0.202889544927166,143.496774193548,13.2694855395898,9.95242933572549,4.021584,103.834210526316
sub-010214,372.0,4,0.166029342811173,199.740909090909,11.2339467717151,12.1132239969088,0.8252211,127.789090909091
