id,Tap_simon_incongruent,betw cen e-plv beta_T7,clust coef e-icoh theta_O1,clust coef e-plv alpha_Fp2,clust coef e-plv beta_Fp2,clust coef e-plv delta_F1,clust coef e-plv theta_Fp2,life time delta_P6,microstate D_Group1_Map4_MeanDur,node str e-icoh theta_O1,node str e-plv alpha_Fp2,node str e-plv beta_POz,node str e-plv delta_F1,node str e-plv theta_Fp2,skewness ampl delta_CP1,waiting time delta_FC4
sub-010003,460.0,22,0.0904901109022426,0.212185246046686,0.14131450951344,0.1978421043679,0.20229135608616,1175.875,63.261088,5.06039070096252,13.0798890760438,10.1844235510385,14.3593554175878,13.2726942723503,0.323867146680643,1375.41666666667
sub-010005,494.0,22,0.0747293441100678,0.272696043755672,0.176760356998168,0.207022285510296,0.240027333665943,1063.975,54.69432,4.42954897049191,18.0183387611799,11.5107892316541,15.1075604652422,16.5881225665197,0.235917030296303,1367.45
sub-010010,370.3448276,2,0.0653935983155025,0.197373701626388,0.156200732257139,0.186421732540571,0.166435882837932,1031.5,66.74488,4.16876291106881,13.0133330664868,9.95902021893585,12.701899691497,11.6612958365469,0.312467079567178,1199.825
sub-010016,401.3793103,80,0.0491270696457969,0.162155169968259,0.148115555763129,0.196336814595057,0.153773679500838,1039.1,61.171128,2.88656494219447,10.5683156283317,10.342445339667,13.4766964501423,10.1523112346634,0.206545907726813,1367.875
sub-010017,410.3571429,80,0.0535320368313587,0.228221413443909,0.172984241817984,0.200699262490352,0.185499906339181,1199.65,56.538504,3.03779905894355,15.2297513442942,10.6914074634427,14.611236593066,13.3258945509468,0.245034308831742,1359.5
sub-010019,410.6896552,0,0.0732753005169243,0.215392425863105,0.164014971984951,0.187569833971892,0.191758137409959,1007.05,63.284552,4.48193673682085,13.1527858744791,10.8821223207115,13.5975915390878,12.8239689482454,0.252005699437552,1207.25
sub-010020,611.7857143,34,0.0689829264121746,0.222272484103817,0.160082644871086,0.184527740885143,0.206212860080102,935.633333333333,56.715736,4.05360367418819,14.4415905970491,11.2591030019951,12.3719368611581,14.2305985961476,0.184502684556792,1215.3
sub-010021,423.2142857,0,0.0706988462786824,0.218145309741221,0.152702764637763,0.199117920717337,0.167331609687332,1239.3,64.9556,4.32201564413976,13.261732005823,10.0715342759106,14.3229932716484,10.6833305807431,0.25253191818035,1335.3
sub-010022,460.9090909,24,0.0559520682724489,0.167778294482591,0.152073661450096,0.170529561830996,0.153282206386053,1087.6,60.147,3.24811408667602,10.8755910061451,9.56798518691113,11.8732051406992,10.3504930821082,0.271223323831902,1335.55
sub-010023,418.9655172,86,0.0578197263466917,0.203997114464458,0.175923789760076,0.198006275238885,0.201260155265715,975.45,61.532616,3.39884842905807,14.6542554175251,10.3640427774509,14.6156132274492,14.9823882780463,0.278712587357849,1271.85
sub-010024,454.8,92,0.0724463412231453,0.220575082016942,0.159196876402425,0.184741121995377,0.171404933113598,1255.8,57.717408,4.6609629056996,13.4288849076272,10.749867559862,13.0356678427038,11.5168933144927,0.258321951239406,1327.05
sub-010027,369.3103448,0,0.0865756080108884,0.245456568285052,0.146824503787495,0.19801188512722,0.16726585015615,1015.5,64.35108,5.8855492314414,15.0231892489946,10.7981042682291,13.7586118116773,10.8148115752916,0.203718207629673,1207.35
sub-010028,435.0,2,0.0642375964969557,0.228936465341511,0.186525482278864,0.261354817388792,0.221660711263565,1127.975,67.708208,3.74148092934401,15.4337592189808,10.450995571899,17.8911752280686,15.7290355683356,0.240958518731347,1175.85
sub-010029,497.0,0,0.0828496598126616,0.262790988869297,0.168234108869709,0.167654649642985,0.187265126277533,1039.9,60.950272,4.87686339631252,15.6108116822764,11.8727448912662,11.5858731274049,12.5825532001834,0.281764390162433,1159.65
sub-010030,544.137931,40,0.0717628534058348,0.27628042712357,0.155007888732939,0.185742926265661,0.168808728875788,1191.5,60.541328,4.52828557321273,18.014667582294,10.1904108133885,13.2628018260838,11.3832690125672,0.284859753223542,1191.525
sub-010031,518.0769231,48,0.0616409518050899,0.171382537548562,0.166436892118089,0.233127716208892,0.183371877742492,1015.95,61.9066,3.57842710002633,10.7951536345015,10.3480173162137,16.5620613047108,12.4628256136547,0.222759972667461,1335.95
sub-010032,555.5172414,18,0.0554669348655926,0.191299285156077,0.177877875820447,0.236035459897112,0.176880171469887,1103.1,64.041808,3.29202608301008,12.6255293525235,11.250358964222,16.0046217480502,12.6406252983762,0.209148626563205,1199.575
sub-010033,446.8965517,2,0.0551985430192668,0.206442371130965,0.14988075143874,0.198596938222627,0.16476054208696,1135.75,62.946504,3.04527340630005,12.6168127943317,10.9818929347547,14.2803684159938,11.1482087866309,0.260661741756024,1279.0
sub-010034,441.7241379,28,0.0611971708262858,0.190118519307272,0.181825087534097,0.233422835612494,0.185557247847581,1087.68333333333,60.98232,3.84579231307747,12.6089062860632,11.4526017911841,16.5490131496654,12.5434082475978,0.217588374161427,1191.225
sub-010035,433.0,8,0.0607609553288594,0.253995820497735,0.162934948483606,0.18466298649832,0.178649344332777,1079.65,61.693792,3.29855528044679,15.7998286654885,10.7549751484361,13.1940793172429,12.6731239879416,0.257409696955173,1167.2
