id,Tap_working_memory,betw cen e-icoh delta_C6,betw cen e-wpli delta_P4,kurtosis ampl beta_CP6,kurtosis ampl delta_F6,life time gamma_C2,node str e-plv delta_P3,skewness ampl gamma_C1,waiting time beta_C5,waiting time gamma_P5
sub-010003,755.3571429,30,0,3.26649829625841,3.22694869227263,95.9573684210526,13.4893540712806,0.0128241057150692,159.832692307692,111.055319148936
sub-010005,1058.75,8,108,3.14887500903683,3.09723558647223,103.830701754386,14.2814757150633,0.0092596177007254,231.981578947368,111.13606557377
sub-010010,504.6428571,12,0,3.19755228879563,2.82017835952668,135.993055555556,11.1281903457288,0.0088270974078072,215.982142857143,119.7
sub-010016,525.0,10,30,3.30979809713548,2.8542447705289,127.116326530612,12.3391789309375,0.0133291670929206,255.580769230769,119.262295081967
sub-010017,613.0,0,156,3.09447288312041,2.80628546546402,103.325925925926,12.2572925049021,0.0166618223873203,215.9125,111.835087719298
sub-010019,786.4285714,34,46,3.17460711034834,2.81950112608442,103.3875,13.4854685605894,0.0290542612358474,223.675,119.588392857143
sub-010020,1036.071429,48,88,3.05779564819596,2.79903497934829,95.7462686567164,13.9386878793931,0.0257538287685854,167.593939393939,103.439830508475
sub-010021,605.0,8,4,3.1408159493242,2.8887819832907,135.83,13.4566376769252,0.0084544796969415,199.635294117647,111.599295774648
sub-010022,954.375,0,64,3.10452026094574,2.84841988914667,103.677160493827,13.6145075237735,0.0242706856812503,183.990384615385,111.7421875
sub-010023,491.0,30,0,3.37226457116516,2.84979585447046,127.64875,11.3443170792063,0.0162764545894262,247.707142857143,143.035714285714
sub-010024,435.0,30,32,3.31331368172828,3.09151970102365,111.396666666667,11.1629600728657,0.0120483844945106,223.52,127.95
sub-010027,598.0,2,36,3.02921299536865,2.8368364466727,111.345614035088,14.714442148926,0.0178204116059623,175.090909090909,111.724637681159
sub-010028,395.0,16,0,3.28824528235954,2.90425052929599,111.684166666667,14.2934766284361,0.0125710451823773,191.190476190476,119.897272727273
sub-010029,443.0,6,2,3.19336860534267,2.98934868963227,103.494615384615,12.3940624453765,0.0097507560686274,191.746153846154,111.630158730159
sub-010030,769.2857143,8,0,3.10062409601922,2.85418415593209,95.7376404494382,12.8003795485967,0.020878271242754,175.898076923077,103.023913043478
sub-010031,564.6428571,64,0,3.40043073249901,2.94052341794752,143.559459459459,14.5287023786168,0.0111497582990291,231.567857142857,135.225510204082
sub-010032,1037.5,598,18,3.00366057851161,2.89243397108404,103.65234375,16.3975301290205,0.0261762385439539,183.022222222222,103.863372093023
sub-010033,591.4285714,16,0,2.93580478033486,2.88238080508563,95.9626315789474,12.8082262447291,0.015627718346912,199.991176470588,119.384042553191
sub-010034,445.7142857,4,162,3.14967930464942,2.89521540906613,135.213157894737,15.4257044341895,0.0070185317702006,207.425,119.077272727273
sub-010035,519.0,12,0,3.26017520363753,2.86286160619545,103.042391304348,11.7758145625182,0.0146301279094642,199.355882352941,111.58
sub-010036,696.4285714,2,462,3.10434289731045,2.89350397706447,95.729012345679,16.1546980042998,0.029784016705593,191.047368421053,111.329166666667
sub-010038,357.0,18,386,3.10007478059077,2.89040748229983,119.748913043478,12.3129891205814,0.0152782394557586,287.183333333333,119.82037037037
sub-010040,504.6428571,14,422,3.09471090964055,3.00075321975334,119.577551020408,11.6078773792528,0.0129222088745587,175.23125,111.777884615385
sub-010042,856.3636364,0,0,3.21802398604408,3.0124656568284,127.380263157895,12.8197967073162,0.0126173016962478,247.775,135.9425
sub-010052,856.3636364,0,38,3.11913361893862,2.73886430306459,111.781132075472,11.5498832093583,0.0263058165740461,175.855,119.777692307692
sub-010053,468.0,18,0,3.87809555851519,2.89901865717278,143.798611111111,11.024530946706,0.0097712497744888,271.004545454545,151.192647058824
sub-010056,466.25,18,240,3.47915517444113,2.72283640727766,119.1,12.5756473474346,0.0171535834515115,223.555555555556,127.302325581395
sub-010060,584.0,2,6,3.12586569629793,3.0570869757931,111.284677419355,15.4360738641016,0.0136707576631345,183.510416666667,95.733950617284
sub-010061,482.0,6,430,3.14916524589388,2.89850219304248,143.872413793103,12.4230289068629,0.0077375055200451,215.180769230769,127.855813953488
sub-010062,437.1428571,2,400,3.07902640454634,2.9231490863779,111.783333333333,12.8806450536196,0.0159737222049913,183.0875,111.425409836066
sub-010063,397.0,0,22,3.14888672745123,3.04283018185503,95.8024390243902,13.0914510757287,0.0134738954568425,199.217857142857,103.661971830986
sub-010064,648.2142857,130,16,3.59046676795695,2.81135696000254,127.512903225806,14.2397695488442,0.0179232814315785,207.01,127.590909090909
sub-010065,415.0,56,120,3.04274967615289,3.01164350766521,119.905952380952,13.6265456743445,0.0113790436093995,175.511764705882,95.550625
sub-010066,487.5,14,32,3.18126638838663,3.01243159858924,143.065714285714,12.3950563583253,0.0096486815640154,191.743181818182,127.037837837838
sub-010067,682.0,18,40,3.06987839455434,2.9548468327017,127.85,11.1964186548749,0.0093878171328046,239.768181818182,127.01976744186
sub-010068,440.7692308,10,0,3.20895424465316,2.9032846097966,103.672222222222,11.4665026547527,0.0181818490789114,215.16,111.665714285714
sub-010069,522.8571429,40,722,3.04570372658794,3.1641480932807,95.7730392156863,13.4508256820108,0.0211229036558641,151.57027027027,111.008163265306
sub-010070,476.0,36,0,3.17002527550571,3.03569237602463,151.115517241379,14.163817366391,0.0114208570844125,191.3,119.794
