id,Tap_working_memory,approx entropy_PO3,betw cen e-plv alpha_AF7,betw cen s-lps alpha_RAnteriorCingulateCortex,clust coef s-lcoh gamma_LSuperiorFrontalGyrus,correlation dimension_Pz,dfa exponent delta_P6,mod index delta-beta_CP5
sub-010002,784.0909091,0.625477179273784,4,4,0.0020497433587016,2.91580774250366,0.5477175942078,0.0042192423509302
sub-010004,482.1428571,0.684048789889575,90,0,0.000825699349979,2.94992469650173,0.835388554019305,0.0043767056537223
sub-010006,461.0,0.67231154862482,0,0,0.0008985020677698,2.85127897277182,0.82058396458324,0.004250052977676
sub-010007,632.7272727,0.653743694483335,232,0,0.0003666017188825,2.93641367630434,0.686903468533539,0.0041039526582886
sub-010012,514.6153846,0.661507283770552,436,0,0.001538563029416,2.85440205393539,0.613921904916186,0.0047016452856139
sub-010026,467.0,0.68861436229568,34,0,0.0006300440791378,2.79885176223137,0.707966418557843,0.0039114084656432
sub-010037,725.3571429,0.669747841956418,4,0,0.0011556166898628,2.88362985026668,0.574038195429298,0.0049244496035947
sub-010039,606.4285714,0.629277175681381,20,0,0.0003542311281025,2.87772428243204,0.587586006317984,0.004401209155661
sub-010041,992.7272727,0.662056278486268,8,0,0.0010646245511227,2.94371146967057,0.526784500078384,0.0049645840765438
sub-010044,1135.5,0.604151767242234,0,82,0.0006766268401913,2.94573675611674,0.527825930914601,0.0048806880398393
sub-010045,799.0,0.670015184287505,2,80,0.0007218607667716,2.96789718285613,0.55331639785793,0.004562020388514
sub-010046,554.0,0.630480774533203,72,0,0.00064531307901,2.98271540008897,0.735511644864941,0.0041960167075332
sub-010047,1170.0,0.671583945154839,0,4,0.0008998007945397,2.97064537612346,0.570988286111028,0.0049687170204296
sub-010048,1549.285714,0.607257244297129,8,270,0.0269947991686435,3.03710830907784,0.560367201810764,0.0044487402551737
sub-010049,879.0,0.672209779625767,10,0,0.0012799115336658,2.98357145408889,0.57978662299354,0.0047965021710671
