,ampl total power alpha,ampl total power beta,ampl total power delta,ampl total power gamma,ampl total power theta,approx entropy,betw cen e-icoh alpha,betw cen e-icoh delta,betw cen e-plv alpha,betw cen e-plv beta,betw cen e-plv delta,betw cen s-lcoh alpha,betw cen s-lps beta,betw cen s-lps delta,betw cen s-lps theta,clust coef e-icoh delta,clust coef e-plv beta,clust coef e-plv delta,clust coef e-wpli delta,clust coef s-lcoh alpha,clust coef s-lps alpha,clust coef s-lps theta,correlation dimension,dfa exponent delta,higuchi fractal dim,hjorth activity,hjorth complexity,hjorth mobility,katz fractal dim,kurtosis ampl beta,kurtosis ampl delta,kurtosis ampl gamma,kurtosis ampl theta,life time alpha,life time beta,life time delta,life time gamma,lyapunov exponent,lzc exhaustive,lzc primitive,mean ampl alpha,mean ampl beta,mean ampl delta,mean ampl gamma,mean ampl theta,microstate A,microstate B,microstate C,microstate D,microstate E,mod index alpha-beta,mod index beta-gamma,mod index delta-alpha,mod index delta-beta,mod index delta-theta,mod index theta-beta,mod index theta-gamma,node str e-icoh delta,node str e-plv alpha,node str e-plv beta,node str e-plv delta,node str e-plv gamma,node str e-wpli delta,node str s-lcoh alpha,node str s-lps alpha,node str s-lps theta,permutation entropy,range asymmetry alpha,range asymmetry beta,range asymmetry delta,range asymmetry gamma,range coef var beta,range coef var delta,range coef var gamma,range coef var theta,relative ampl beta,relative ampl delta,relative ampl gamma,relative ampl theta,rqa determinism,rqa entropy,rqa laminarity,rqa max diagonal,rqa max vertical,rqa mean diagonal,rqa rte,rqa trapping time,sample entropy,skewness ampl alpha,skewness ampl beta,skewness ampl delta,source ampl alpha,source ampl beta,source ampl delta,source ampl gamma,source ampl theta,spectral entropy beta,spectral entropy delta,spectral entropy gamma,spectral entropy theta,std ampl alpha,std ampl beta,std ampl delta,std ampl gamma,std ampl theta,waiting time beta,waiting time delta,waiting time gamma
ampl total power alpha,1.0,0.6209677419354839,0.6021025345622121,0.07848502304147466,0.8696716589861752,0.6180875576036866,0.10089277601953765,-0.0085460585528909,-0.15189583192815204,0.08658449314109419,0.07122057041187507,-0.3285498713854039,0.03012223532799059,-0.08758102185466753,0.04008603604941621,-0.0655241935483871,0.12365591397849462,-0.20142089093701995,-0.12576804915514594,0.6041666666666667,0.6139592933947773,0.31893241167434716,-0.09451804915514593,0.29257872503840243,-0.09898233486943166,0.9771985407066053,-0.24284754224270355,-0.3120679723502305,0.625768049155146,-0.1133352534562212,0.49375960061443935,0.15615399385560677,0.40557795698924737,0.6538978494623656,-0.26147273425499235,0.024217840557626196,-0.057315668202764986,0.4107142857142857,-0.5145449308755761,-0.5533794162826421,1.0,0.6209677419354839,0.5982622887864822,0.07848502304147466,0.8696716589861752,-0.18471582181259602,-0.044450844854070665,0.18711597542242703,-0.22676651305683565,-0.2739535330261137,-0.2391993087557604,0.013008832565284179,-0.02059331797235023,-0.12067972350230415,0.2438556067588326,-0.5051843317972351,-0.6286962365591399,-0.07334869431643626,0.38964093701996927,-0.09739823348694318,-0.14218509984639016,-0.21966205837173577,-0.10690284178187405,0.5571236559139785,0.6023905529953917,0.2950268817204301,-0.7518721198156683,-0.3902169738863287,-0.12259984639016898,0.2009888632872504,-0.3607430875576037,0.09571812596006146,0.15327380952380953,0.21135752688172046,0.2599846390168971,-0.32982910906298,-0.737855222734255,-0.8497503840245776,0.03422619047619048,0.5531874039938556,0.7385272657450077,0.4305875576036867,0.5311539938556068,0.4881432411674347,0.7814900153609832,0.3630472350230415,0.3800403225806452,-0.6739151305683564,-0.45910138248847926,0.20497311827956993,0.5241935483870968,0.6327764976958525,-0.19580453149001537,-0.13095238095238096,-0.4602054531490015,0.26656105990783413,-0.3518145161290323,-0.7336309523809524,-0.8512384792626728,0.022945468509984638,0.9960157450076804,0.5996063748079878,0.6300403225806452,0.0848694316436252,0.8864247311827956,-0.06451612903225808,0.18087557603686638,-0.003024193548387097
ampl total power beta,0.6209677419354839,1.0,0.7251344086021505,0.414986559139785,0.5082565284178188,0.10013440860215053,0.03160814478854763,0.03480712477664311,-0.19109553159188875,0.28156190354962873,0.06583158941801028,-0.08559061828674609,0.14126456664268258,0.0004838730489208151,0.12321666616278511,-0.122215821812596,0.3462461597542243,-0.2604646697388633,-0.17434715821812596,0.14285714285714288,0.17223502304147464,-0.027793778801843316,0.1860119047619048,0.15034562211981567,0.25451228878648235,0.6971966205837173,-0.6865399385560675,0.24500768049155144,0.7154377880184332,0.0029761904761904765,0.40149769585253464,0.21092549923195086,0.32958909370199696,0.2622887864823349,0.33726958525345624,0.01718530608449986,0.2737135176651306,0.6508736559139785,0.00993663594470046,-0.021745391705069127,0.6209677419354839,1.0,0.7220142089093703,0.414986559139785,0.5082565284178188,0.2539362519201229,0.14189708141321045,-0.169786866359447,-0.115639400921659,-0.05558755760368663,-0.1766033026113671,-0.1552899385560676,0.33506144393241166,0.043010752688172046,0.13311251920122888,-0.27884984639016897,-0.30880376344086025,-0.1411290322580645,0.14981758832565284,0.18217165898617513,-0.2425595238095238,-0.32306067588325654,-0.17372311827956988,0.1270641321044547,0.20146889400921658,-0.05381144393241168,-0.3978014592933948,-0.06662826420890938,-0.17876344086021506,0.12802419354838712,-0.05193932411674347,0.010800691244239633,0.08789362519201228,0.08875768049155146,0.1888440860215054,0.32954109062980036,-0.6047427035330262,-0.38599270353302617,-0.35546274961597546,0.11131912442396313,0.5220814132104454,-0.1074788786482335,0.02620967741935484,0.2098694316436252,0.52428955453149,-0.08050115207373272,-0.08995775729646698,-0.30054723502304154,-0.18874807987711212,-0.07632488479262674,0.37226382488479265,0.2852822580645162,0.3276689708141321,-0.19969278033794166,-0.2644489247311828,-0.01708909370199693,0.2919546850998464,-0.5958621351766514,-0.38815284178187404,-0.3558467741935484,0.6308563748079877,0.9957277265745007,0.7098214285714286,0.42386712749615973,0.5156009984639017,0.43260368663594473,0.13388056835637482,0.2594566052227342
ampl total power delta,0.6021025345622121,0.7251344086021505,1.0,0.3084197388632873,0.6827476958525346,0.3343413978494624,0.22492440260631763,0.11819971362948813,-0.12021882140895829,0.21863726635156056,0.1443639697229695,-0.10157522622213762,0.15247565583629966,0.012957044976657383,0.0976081640041744,0.07944508448540706,0.027793778801843316,-0.1532258064516129,-0.004704301075268817,0.12860023041474655,0.15826612903225806,0.23267089093701995,0.10858294930875577,0.3626152073732719,-0.10056643625192012,0.7074212749615976,-0.27947388632872505,-0.11583141321044547,0.6057987711213517,0.13565668202764977,0.418394777265745,0.0897657450076805,0.2808179723502304,0.2425115207373272,0.005856374807987712,0.19609490322676515,0.04949116743471583,0.2502400153609831,-0.19623655913978497,-0.20967741935483872,0.6021025345622121,0.7251344086021505,0.9998559907834101,0.3084197388632873,0.6827476958525346,0.08194124423963134,-0.07426075268817205,0.11055107526881719,-0.23703917050691248,-0.1876920122887865,-0.07814900153609831,-0.12005568356374807,0.16551459293394777,-0.05813172043010753,0.10613479262672812,-0.11923963133640554,-0.29814708141321045,0.019009216589861752,-0.036290322580645164,-0.006336405529953917,-0.15447388632872505,-0.17161098310291859,-0.04459485407066053,0.11131912442396313,0.17732334869431643,0.20785330261136717,-0.39722542242703535,0.05870775729646698,-0.09408602150537636,0.17593125960061445,-0.1786674347158218,0.06547619047619048,0.20641321044546854,0.2205741167434716,0.1345046082949309,-0.03398617511520738,-0.3662634408602151,-0.41191436251920127,-0.0005280337941628264,0.2534562211981567,0.45919738863287246,0.16397849462365593,0.2529281874039939,0.3200364823348694,0.45670122887864817,0.1366647465437788,0.16671466973886329,-0.39468125960061445,0.004704301075268817,0.20338901689708144,0.3921850998463902,0.2673771121351767,0.12144777265745008,-0.04608294930875576,-0.269489247311828,0.14472926267281105,-0.06283602150537636,-0.35464669738863286,-0.4202668970814133,-0.01708909370199693,0.613239247311828,0.729646697388633,0.9941436251920123,0.31610023041474655,0.6790034562211981,0.14031298003072196,0.22700652841781874,0.13076036866359447
ampl total power gamma,0.07848502304147466,0.414986559139785,0.3084197388632873,1.0,0.07642089093701998,-0.20118087557603687,-0.13632661445945377,-0.18611970084575807,-0.18513506223774606,0.24602403049699412,0.1538010115572961,-0.008145023151791856,-0.04193867491003192,-0.11481232177448897,0.026990779263763,-0.07022849462365592,-0.02553763440860215,-0.20780529953917054,-0.020209293394777266,-0.08798963133640553,-0.12293586789554531,0.014496927803379418,0.18481182795698925,-0.09317396313364056,0.6218317972350231,0.14300115207373273,-0.2831701228878648,0.3220526113671275,0.663594470046083,-0.22345430107526884,0.01944124423963134,-0.028369815668202767,0.0017281105990783411,-0.20722926267281108,0.23598310291858676,-0.07502970226277451,0.15500192012288788,0.16964285714285715,0.27059331797235026,0.2654089861751152,0.07848502304147466,0.414986559139785,0.30981182795698925,1.0,0.07642089093701998,0.22830261136712748,0.11165514592933949,-0.23574308755760368,0.08914170506912443,0.048387096774193554,0.1254800307219662,-0.019489247311827957,0.13762480798771123,0.009264592933947774,-0.07709293394777267,0.028417818740399385,0.013392857142857144,-0.029185867895545316,-0.14487327188940094,-0.023329493087557607,-0.2070852534562212,-0.28076996927803377,0.024577572964669742,-0.08237327188940093,-0.1292242703533026,-0.02102534562211982,0.2595526113671275,0.03989055299539171,0.024721582181259603,-0.05798771121351767,0.033074116743471584,-0.29296274961597546,-0.13445660522273425,0.023137480798771124,-0.16585061443932414,0.32262864823348697,-0.21711789554531494,0.181931643625192,-0.36947964669738864,-0.22911866359447006,-0.11645545314900155,-0.3108198924731183,-0.34072580645161293,-0.24169546850998463,-0.12101574500768049,-0.2865783410138249,-0.3300691244239632,0.2475038402457757,0.06293202764976959,-0.06883640552995392,0.06009984639016897,-0.09058179723502305,0.3937692012288787,-0.35930299539170507,0.2901305683563748,-0.22887864823348697,0.3124039938556068,-0.21418970814132107,0.18822004608294932,-0.3754800307219662,0.08424539170506913,0.39669738863287246,0.2959869431643626,0.9971678187403996,0.06129992319508449,0.0576036866359447,-0.04473886328725038,0.036290322580645164
ampl total power theta,0.8696716589861752,0.5082565284178188,0.6827476958525346,0.07642089093701998,1.0,0.7417914746543779,0.23840667471562302,0.08132459217678104,-0.142378308282021,0.04864216318368052,0.10188463127837333,-0.2501879611458732,0.08474905437939477,-0.0827960550375617,-0.03676372090194493,0.008592549923195086,-0.12139976958525345,-0.19062019969278035,-0.09235791090629801,0.41441052227342556,0.41349846390168976,0.4908794162826421,0.009504608294930876,0.49116743471582186,-0.3082757296466974,0.8913690476190477,-0.04238671274961598,-0.4612615207373272,0.5962461597542242,-0.043730798771121356,0.5191532258064516,0.1455453149001536,0.38133640552995396,0.5350902457757296,-0.28211405529953915,0.17382121042450832,-0.11275921658986175,0.20900537634408603,-0.5666282642089093,-0.5921658986175116,0.8696716589861752,0.5082565284178188,0.6818356374807989,0.07642089093701998,1.0,-0.21169354838709678,-0.14160906298003073,0.214957757296467,-0.21346966205837173,-0.31778033794162824,-0.1189036098310292,0.03441820276497696,-0.013584869431643627,-0.13791282642089095,0.17497119815668205,-0.5121927803379417,-0.647657450076805,-0.010128648233486944,0.22974270353302612,-0.24140745007680495,-0.13868087557603687,-0.19422043010752688,-0.09034178187403995,0.36698348694316435,0.4058179723502304,0.4610215053763442,-0.6914842549923196,-0.26176075268817206,-0.08923771121351767,0.2021409370199693,-0.34269393241167434,0.1832757296466974,0.2670410906298003,0.2907546082949309,0.32464477726574503,-0.4403321812596006,-0.577572964669739,-0.7886904761904763,0.3486463133640553,0.5804531490015362,0.6219278033794163,0.5292818740399385,0.641081029185868,0.5729646697388633,0.647897465437788,0.5086885560675883,0.5386424731182796,-0.6704589093701998,-0.2488479262672811,0.2544162826420891,0.4748463901689708,0.4824788786482334,-0.22043010752688175,-0.06888440860215053,-0.4437403993855607,0.38776881720430106,-0.47427035330261136,-0.573636712749616,-0.7904665898617511,0.3309331797235023,0.8624711981566822,0.49923195084485417,0.7197580645161291,0.08098118279569892,0.9961597542242704,-0.05592357910906298,0.3220046082949309,-0.009120583717357912
approx entropy,0.6180875576036866,0.10013440860215053,0.3343413978494624,-0.20118087557603687,0.7417914746543779,1.0,0.19806539476429635,0.22737997187662493,-0.02446676533273082,-0.02762720983591148,-0.05573673769710863,-0.26281274703115054,0.08293300321412202,0.033871113424457054,-0.163884713624897,-0.008832565284178188,-0.3436539938556068,-0.01065668202764977,-0.09110983102918588,0.3597350230414747,0.3962173579109063,0.44647657450076805,0.0003840245775729647,0.5533794162826421,-0.5649001536098311,0.5678763440860216,0.33918970814132104,-0.7856182795698925,0.3067876344086022,0.028225806451612906,0.5196332565284179,0.19465245775729648,0.39602534562211983,0.47004608294930883,-0.5362903225806451,0.17290914110717454,-0.41364247311827956,-0.043010752688172046,-0.835541474654378,-0.8469662058371735,0.6180875576036866,0.10013440860215053,0.334773425499232,-0.20118087557603687,0.7417914746543779,-0.40034562211981567,-0.2699212749615975,0.3812403993855607,-0.2859062980030722,-0.27481758832565284,-0.08141321044546852,0.2063172043010753,-0.14328917050691245,-0.19503648233486945,0.2255184331797235,-0.5219374039938557,-0.5142089093701998,-0.04805107526881721,0.27481758832565284,-0.47158218125960055,0.038834485407066056,-0.00403225806451613,-0.12298387096774194,0.30121927803379417,0.376008064516129,0.4096582181259601,-0.6091109831029187,-0.22715053763440862,-0.12696812596006146,0.36813556067588327,-0.2692012288786483,0.22105414746543778,0.4294834869431644,0.39501728110599077,0.3733678955453149,-0.7479358678955454,-0.3695756528417819,-0.6863959293394778,0.5318740399385562,0.760128648233487,0.44998079877112135,0.7965149769585254,0.7914266513056837,0.5865015360983103,0.48391897081413215,0.7967549923195085,0.7586885560675883,-0.6614343317972351,-0.2539842549923196,0.4561731950844855,0.4109543010752688,0.3736559139784947,-0.4423963133640553,-0.0179531490015361,-0.43937211981566826,0.39660138248847926,-0.7769297235023043,-0.36976766513056836,-0.6911002304147466,0.5192012288786483,0.5985983102918587,0.09312596006144394,0.38373655913978494,-0.2042530721966206,0.7335349462365592,-0.2777937788018433,0.26406490015360984,-0.3003072196620584
betw cen e-icoh alpha,0.10089277601953765,0.03160814478854762,0.22492440260631763,-0.13632661445945377,0.23840667471562302,0.19806539476429635,0.9999999999999998,0.24963630390793767,-0.1769343797896034,0.19773329475405602,0.11013500731019293,0.1745010434143387,-0.09872492230721863,-0.11190703360202496,0.24647751048503766,-0.03543383843991608,-0.20302560446400164,-0.13094425925339054,-0.08506231953111648,-0.07788584592303222,-0.03005148323385288,0.12210558771402204,0.042056246070905606,0.42692102739857196,-0.20687768220951747,0.1309706433475379,0.016595595218694872,-0.2950269407558761,0.14455845183343274,0.05160728815225305,0.1311289479124221,-0.09675047323840077,0.1779079468357067,0.1032145763045061,-0.09954718721802186,0.20503325619051602,-0.0732686294472427,-0.04110641868160034,-0.24795771679697043,-0.2435251889802125,0.10089277601953765,0.03160814478854762,0.225953382278065,-0.13632661445945377,0.23840667471562302,0.026806239653726534,-0.14672194755351697,-0.021371116259368595,0.06134301889263207,-0.28705894432337076,0.07962719613675855,0.004801905134821091,-0.20321029312303324,-0.14463760411587487,0.07902036197136907,-0.16384522465515924,-0.24560953241785463,-0.04894249464336882,0.007308394078821112,-0.24872285552724413,-0.10155237837322187,0.006279414407073735,-0.0987556643936008,-0.07582788657953746,-0.015777688300126443,0.09677685733254815,-0.26215235944825477,-0.038863770679074004,0.025249578099031784,0.12202643543157993,0.08007572573726382,0.31671466614501304,0.3108310131501499,0.14912290012092752,0.247350882631581,-0.239409270293223,-0.09427036838854813,-0.11266008200926408,0.1642937542556645,0.216217651537686,0.17582360339806458,0.2219166158735176,0.2193837428353702,0.0951410434954113,0.1869313070341068,0.17495292829120143,0.16120681524042235,-0.045354257839326687,-0.035486606628210814,0.017044124819200143,0.07862460055915853,0.0037729254630737147,-0.018917395503663312,0.02514404172244231,0.0160679133357475,0.1662197931284224,-0.23204810802610715,-0.08564276960235859,-0.11949356239343256,0.16643086588160133,0.09709346646231658,0.05472061126164256,0.254369051674781,-0.13519209841111687,0.23729854276143353,-0.11667046431966412,0.3158439910381499,0.06387589193077947
betw cen e-icoh delta,-0.0085460585528909,0.03480712477664311,0.11819971362948814,-0.18611970084575807,0.08132459217678105,0.22737997187662495,0.24963630390793767,1.0,0.020508471930535257,0.10343546016363374,0.08284957534929362,0.31932556171127835,-0.03276502915931931,0.20560858856097883,0.012146475635386204,-0.41950433776974955,-0.12405488494123552,-0.0005232280746667898,-0.46096393378144174,-0.23796911148297664,-0.17276492713045336,-0.16436836231318155,0.12824070953856986,0.29462723728260903,-0.36062872155843406,0.018387729481147183,0.1485967732053683,-0.2403859268754851,-0.009642345947430842,0.24693873562012159,0.06679878419912684,0.2143241856325584,0.20772154564271555,0.010240320889907171,0.016768214011940456,0.37433680634632455,-0.08668145103646484,0.07838454870960576,-0.17597904244626367,-0.15960947839597406,-0.0085460585528909,0.03480712477664311,0.12026771030555213,-0.18611970084575807,0.08132459217678105,0.17660193301134314,-0.041932992841152726,-0.029873831501213383,-0.25994469061898184,-0.02969942214299112,0.032016575045086905,0.24307681411662863,0.01654397340851183,0.007574349271366863,0.18768938506975846,-0.05444063538794932,0.09487869087291122,-0.5644135988298471,-0.14672810151012977,-0.2883734160092107,0.02349543211479918,0.12004346970212347,-0.5615732178530846,-0.23799402710557982,-0.12325758501793377,-0.16165255944943485,-0.12913767195228437,0.1660626246501978,-0.019060451291433057,0.20251418051865083,0.11047587062250219,0.34042215162725475,0.35773850933646517,-0.08396564817271816,0.15103850422047999,-0.14144598951825552,0.1362386243941908,-0.05424131040712387,0.14824795448892378,0.2512989695756782,0.13770864612777844,0.2573285502456478,0.189832128613632,0.1872409038629012,0.11296743288282024,0.397902492972792,0.2526693288188531,-0.08708010099811574,0.13476860266060314,0.3210627128645835,0.006129243160382395,-0.11949532600485353,-0.11603205446301142,-0.055188104066044734,-0.21280433265376436,0.08483769496382948,-0.16342156865426066,0.14378805804295447,-0.05735576323252144,0.1575165660973069,-0.003612765277461168,0.05967291613461721,0.11725291997056728,-0.1940179532109663,0.06727218102858726,0.09692177192637202,0.23814352084119889,0.019932498082544374
betw cen e-plv alpha,-0.15189583192815206,-0.19109553159188877,-0.1202188214089583,-0.18513506223774606,-0.142378308282021,-0.024466765332730817,-0.17693437978960339,0.020508471930535257,1.0,-0.008198300916803014,0.20917644356577386,-0.03661745034753987,0.11335434533486198,-0.006056632006715005,0.015529252413158322,0.01309861208874096,-0.13370197990764393,-0.15071815854769643,9.613660248617217e-05,0.0841435613260222,0.04302112961256205,-0.1363457364760137,-0.16374466818457276,-0.021174086697579423,-0.26584174002488764,-0.19090325838691638,0.35724361483861583,-0.018914876539154375,-0.2563242163787566,0.132908852937133,-0.1200505823546075,0.002836029773342079,-0.05794633714854028,-0.0886139133416292,-0.19027837047075627,-0.018097932608416547,-0.08753237656365977,-0.1657395026861608,0.04369408582996525,0.057513722437352505,-0.15189583192815206,-0.19109553159188877,-0.11747892823810241,-0.18513506223774606,-0.142378308282021,-0.20102163579858603,-0.26012161217696034,0.1516554904219366,-0.10808157534507908,0.1480744019793267,0.1262994615162087,0.08784482052173982,0.019323457099720606,-0.01168059720206992,0.14035943962981137,0.12807798866220288,0.1979933328202716,0.025812677767537227,-0.2457972584065207,-0.0953675096662828,-0.18451017432158595,0.15699107185991917,0.0245148336339739,0.09315636780910083,-0.026317394930589634,-0.1381482977726294,0.16847939585701674,-0.09269971894729152,-0.037132762710284,0.03655594309536697,0.14658428464079104,-0.14144097640778083,0.15336191511606617,-0.27004771638365765,0.03831043609073961,-0.08712379600309354,0.36111311308868427,0.12336729514038045,0.16674893701226565,-0.03569071367299142,-0.224743342462049,0.07909638969549815,0.0164153248745139,0.03521003066056056,-0.23632780306163276,0.12199734855495249,0.09471858759950114,0.18768268220362966,-0.09171431877180826,-0.01600674431394767,-0.02643756568369735,-0.23551064194050028,-0.3401072654454556,0.013939807360494967,-0.030499337138738123,-0.03840657269322578,-0.07597195011469755,0.3617380010048444,0.12483337832829455,0.1383646051282233,-0.13581698516233975,-0.16783047379023508,-0.1361774974216629,-0.19030240462137782,-0.13230799917159444,-0.1041880429443891,-0.09262761649542689,-0.21299064280811447
betw cen e-plv beta,0.08658449314109419,0.28156190354962873,0.21863726635156056,0.24602403049699412,0.04864216318368052,-0.027627209835911475,0.19773329475405602,0.10343546016363374,-0.008198300916803014,1.0,0.10021706360020384,0.12270038448405236,0.05417896866787974,-0.020372570086957878,0.003146067147655236,-0.2739638197305269,-0.02791574466448497,-0.3236639439523102,-0.264418125818554,-0.0811744651053413,-0.07398513896005189,-0.19437629618233976,-0.0048329583786059244,0.040827678243148556,0.18430162175131548,0.13200468407237076,-0.28274008743297047,0.0553746425170619,0.20680733838004753,-0.017937248509651837,0.040875767381244134,0.14549368730818132,0.22147452549919985,0.10218941845311033,0.06085680425995818,0.09883638719061824,0.05239311595513586,0.2569162202756433,0.043280224286023204,0.024381193014459738,0.08658449314109419,0.28156190354962873,0.21863726635156056,0.24602403049699412,0.04864216318368052,0.169538256355972,0.08191984674582281,-0.08160726734820153,-0.06273228064568585,0.04515570067175088,0.23498757330405823,0.09160980807208245,0.25819058243517623,0.08771458788634036,0.23402579054214656,0.1316199709676061,-0.06614660945047213,-0.23469903847548473,-0.036740101505024145,-0.061145339088531675,-0.26937130704239887,-0.10197301733168024,-0.22282102136587614,-0.06679581281476248,-0.05568722191468318,-0.19247677522756426,0.05056572870750378,0.020846641364434513,-0.12055946920562244,-0.03743739400741007,0.2864429510663302,-0.009521649342925103,0.041236435916960995,0.18879795616325235,0.13339926907714264,0.07939516699580479,-0.22731735577781298,0.0365717895216896,-0.23587722235882644,0.08343465459583363,0.054148369495624585,-0.041645193590773434,-0.008415599166726732,0.1883170647822965,0.05289805190513948,0.02486208439541555,0.032003321402609385,0.1201026223937144,0.06770950643857854,0.05508610768848843,0.1507113587915519,-0.12303605981754487,0.06525696039570388,-0.08843592495777408,-0.013416869528667195,-0.005482161742896272,0.07886618647675339,-0.21705032479440636,0.03337386183833345,-0.24280205824459017,0.08437239278869746,0.2836297364877387,0.20952437468244786,0.2452546042874648,0.05316254216466517,0.013416869528667195,0.049892480774165644,0.023539633097787064
