,ampl total power alpha,ampl total power beta,ampl total power delta,ampl total power gamma,ampl total power theta,approx entropy,betw cen e-icoh alpha,betw cen e-icoh delta,betw cen e-plv alpha,betw cen e-plv beta,betw cen e-plv delta,betw cen s-lcoh alpha,betw cen s-lps beta,betw cen s-lps delta,betw cen s-lps theta,clust coef e-icoh delta,clust coef e-plv beta,clust coef e-plv delta,clust coef e-wpli delta,clust coef s-lcoh alpha,clust coef s-lps alpha,clust coef s-lps theta,correlation dimension,dfa exponent delta,higuchi fractal dim,hjorth activity,hjorth complexity,hjorth mobility,katz fractal dim,kurtosis ampl beta,kurtosis ampl delta,kurtosis ampl gamma,kurtosis ampl theta,life time alpha,life time beta,life time delta,life time gamma,lyapunov exponent,lzc exhaustive,lzc primitive,mean ampl alpha,mean ampl beta,mean ampl delta,mean ampl gamma,mean ampl theta,microstate A,microstate B,microstate C,microstate D,microstate E,mod index alpha-beta,mod index beta-gamma,mod index delta-alpha,mod index delta-beta,mod index delta-theta,mod index theta-beta,mod index theta-gamma,node str e-icoh delta,node str e-plv alpha,node str e-plv beta,node str e-plv delta,node str e-plv gamma,node str e-wpli delta,node str s-lcoh alpha,node str s-lps alpha,node str s-lps theta,permutation entropy,range asymmetry alpha,range asymmetry beta,range asymmetry delta,range asymmetry gamma,range coef var beta,range coef var delta,range coef var gamma,range coef var theta,relative ampl beta,relative ampl delta,relative ampl gamma,relative ampl theta,rqa determinism,rqa entropy,rqa laminarity,rqa max diagonal,rqa max vertical,rqa mean diagonal,rqa rte,rqa trapping time,sample entropy,skewness ampl alpha,skewness ampl beta,skewness ampl delta,source ampl alpha,source ampl beta,source ampl delta,source ampl gamma,source ampl theta,spectral entropy beta,spectral entropy delta,spectral entropy gamma,spectral entropy theta,std ampl alpha,std ampl beta,std ampl delta,std ampl gamma,std ampl theta,waiting time beta,waiting time delta,waiting time gamma
ampl total power alpha,0.9999999999999998,0.6658683208939037,0.5179193998022781,0.41299439027007523,0.8194383877220661,0.16745397715467736,0.1333022579110428,0.06648521352521067,-0.078578310100985,-0.07790474940699689,0.05154458113076251,-0.09515835434053109,0.01237750883387318,0.05421639347295832,0.02926899331729235,-0.1284484313532988,-0.03587533020235667,-0.20701661457251208,-0.08494962202247087,0.5275680439463091,0.4868546926977617,0.34642194210356875,-0.047629050044635815,0.07216391279233039,0.18121231355125356,0.9747345252962972,-0.4523561094000077,-0.2489857051204482,0.784958069723212,-0.0498848144588106,0.49169956323104,0.17278287810881093,0.3906467970656797,0.47738011386174795,-0.20712164004118824,0.09424273835457818,-0.27441100118952755,0.4567306484866058,-0.5449063789273246,-0.5609113470886254,0.9999999999999998,0.6658683208939037,0.5158965179490809,0.41299439027007523,0.8194383877220661,-0.14785531143476205,-0.03012632737351851,-0.06999050202306889,-0.24051517275548012,-0.20708786542151014,-0.060369096027525805,0.0926804097819808,-0.27244291523303094,0.24334172776028618,0.30180438321510356,-0.4272413234122318,-0.6792978819102762,-0.07439684558287993,0.4412279760450605,-0.05014966129286351,-0.16922571114799684,-0.16632152862286492,-0.0025457260342154706,0.5097319795702632,0.47412834568904694,0.35463676028393404,-0.7860220233841488,-0.47197760674354833,-0.34358168812458756,0.16911611935459564,0.02026763229213519,-0.13738472884022201,0.3625228030840957,0.2307249725449725,0.3575774734068663,-0.4555251387591925,-0.6664802084070602,-0.8473705960651978,-0.025158166072663926,0.5556144104075672,0.7857069469781204,0.42586685966999166,0.4514108801819223,0.601565336115747,0.790766434773476,0.2160488048786613,0.3129462155442259,-0.725148348474505,-0.4068207192418074,0.021637529709650237,0.32957220386813363,0.6146432901282908,-0.3760482569196943,-0.031715408377835964,-0.5406186000105025,0.5414725027340869,-0.4651007217076227,-0.6716721196194425,-0.8495167686859715,-0.02901671046533132,0.9947806908392676,0.6453974871515038,0.5337691129229272,0.4176474751649014,0.8330323364285404,0.06675281799314595,0.13524269208064726,-0.17508887209496127
ampl total power beta,0.6658683208939037,0.9999999999999998,0.5804095536645897,0.5635917797022298,0.6277806063622602,-0.21921326791312104,0.1221374302061966,0.1523517423514356,-0.04845530958651786,-0.10030219241430334,0.06735265484613788,-0.1335799592058104,-0.07269480825509869,0.001363565413089857,0.11568033298125133,-0.2016146524227777,0.13494174511232013,-0.2659952647212601,-0.1837009605264059,0.1754039485009897,0.25586715648109876,0.18292011899842228,0.038505533243985576,0.12040713351248546,0.23124096723890325,0.7220569466356461,-0.6213603537988396,0.16284655550710175,0.8282833587144881,-0.06133259054451138,0.42730981828310755,0.22203069026847705,0.43018203653516407,0.1303664365617755,0.2053088091253433,0.12682597160937348,0.1375125859325234,0.47175842315674593,-0.04748292765343421,-0.06648797115909304,0.6658683208939037,0.9999999999999998,0.5796926406827568,0.5635917797022298,0.6277806063622602,0.10342040553529883,0.12003269488503134,-0.21182087180525905,0.010609855498654076,-0.07807063207231504,0.12227476032503098,-0.010819906436006381,0.0403366294587307,0.22168821591409824,0.2520223110626066,-0.28879949039816066,-0.5486370662276906,-0.17697933053113205,0.20539556929511923,0.14333008363223732,-0.22139140480697,-0.1204664957339111,-0.13286406736242234,0.17717111616958414,0.2629586587791017,0.1777145088118651,-0.3842265445022592,-0.27958921342773446,-0.3139416743342869,0.24188963649772022,-0.11832945576258763,-0.13190970549488684,0.40169273657557614,0.10021941190303867,0.40192561913655356,0.09337905746491348,-0.5404039827484252,-0.4138391603442096,-0.037998671199505,0.09331969524348785,0.37229017167097805,-0.006048097098328953,0.05543289899974655,0.20300281513919297,0.36648637294543923,-0.041729358499871,-0.011952354967818825,-0.3940167447127667,-0.10777667932299667,-0.0431677507882618,0.4043686028644555,0.36745900011187493,0.1508188561813196,-0.044793362390379655,-0.23796259723417706,0.33992406201982234,0.0816573018957097,-0.5440387772295651,-0.4199489028263266,-0.03731372249074748,0.6805581875343901,0.9955204354447257,0.5921176102596183,0.5706832820002328,0.6303788451308137,0.3279191943176655,0.16357940834854937,0.26227371007034417
ampl total power delta,0.5179193998022781,0.5804095536645897,0.9999999999999998,0.37644096084604856,0.747176298948147,0.24873912358529549,0.24952753583000992,0.11131380439034154,-0.09215582154156332,0.10577221776225346,0.11397753989741237,0.07006583045825067,0.047498083409359224,0.089352258876346,0.000912344357826299,-0.07258858099176005,-0.08654783567623844,-0.21669265666489335,-0.053081241766345724,0.12163547486352394,0.12350766800079452,0.30618348862642664,-0.005093735230793466,0.1744998162054298,-0.33370929406902905,0.6161227793392071,-0.00647276529775862,-0.42785321092538847,0.5788296053097223,0.009687457904193938,0.3031468826842683,0.25152001534285107,0.29530650313135715,0.04145999267106747,-0.039290941096694204,0.18134369592147506,-0.06084399379893101,0.2918543616392192,-0.4486893506457924,-0.4496848094358533,0.5179193998022781,0.5804095536645897,0.9999406377785741,0.37644096084604856,0.747176298948147,-0.3135809346810079,-0.2825025286023165,0.15373252235261123,-0.2398941525928733,0.05347406778281834,0.03890280349506494,0.08503638219224682,0.05204011972903429,0.07746084947338859,-0.04393489334207023,-0.15123895805602422,-0.3513353075077228,-0.05323193048227237,0.13203756258718827,-0.056337031295306504,-0.22824089189454527,-0.15402441613830484,0.014970695611076987,0.11976328172625336,0.12561274369904266,0.3028318062782398,-0.32079116142186215,-0.19793419469438728,-0.10004132523876169,0.13043934893342068,0.06207690147469456,0.028217603638447535,0.2733196495802406,0.22547369911116485,0.31641662233526413,-0.3083524928708255,-0.08349753075990493,-0.418076709689056,0.34422097358609455,0.45900924452440584,0.2654792700273294,0.45863480589695166,0.481329439780451,0.46284039096872287,0.2412960142834637,0.4710689081232633,0.5101931783674931,-0.568879583733838,0.07926911406450847,-0.11358961069798554,0.12747580418686313,0.1742532346702771,-0.13406044444038545,0.24098550420216028,-0.3531983679955432,0.5975150060846276,-0.31382294989143555,-0.08899538572886533,-0.4213735961405423,0.34410681546796834,0.5294356707588547,0.5841356746402306,0.9975159193495726,0.38406215681215733,0.7354362780800431,0.001143864343625068,0.031231805803612355,-0.013235492215557925
ampl total power gamma,0.41299439027007523,0.5635917797022298,0.37644096084604856,0.9999999999999998,0.44157045039943915,-0.11778149679558161,0.0415447288316703,-0.010490677692754021,-0.007441989265071728,-0.061864860030241976,-0.13003297263354413,0.011163986876236619,0.05218212106609946,0.023898772119611035,-0.005940101508117715,0.010450034133277318,-0.03748267650557434,-0.07553386043941743,0.009596131409692937,0.10393640022922948,0.10069430967444386,0.1105804027041775,-0.007153147681791094,0.17229428136323058,0.4180401790912557,0.4526757521307611,-0.2835253853407277,0.10324231887102187,0.7662498373246815,-0.05284835920536816,0.3557692088157465,0.058560831436405926,0.2717305685759231,0.11074719998363336,-0.002577690307290822,0.08704159493886629,0.03078387813392574,0.15128918762799978,-0.05154695665872886,-0.050309482658240263,0.41299439027007523,0.5635917797022298,0.3763542006762727,0.9999999999999998,0.44157045039943915,0.10900958699876023,0.1445584249832758,-0.09006182817817568,0.06335547239770861,-0.15682849758481746,-0.0028014402188182804,0.0894291865777451,-0.0009109817826475094,0.20005296936681055,0.17429433159280253,-0.12217886750580492,-0.32123409492019206,0.022002835687654255,0.10736114377301713,0.029596633705412684,-0.07682613033660661,-0.05414062910255736,0.028053215948345728,0.11851210875158964,0.10968083673334261,0.08665742746963964,-0.1876371324393991,-0.09876732064047268,-0.2726666651445584,0.0989591062789248,-0.012682966923826854,-0.1709335165951656,0.3060327999105,0.14029347769007897,0.28751635315042157,0.018267582062563213,-0.44199055227414386,-0.1824543538764672,-0.08782184027452743,0.03219487247396624,0.18086527287214973,-0.030208521218569415,0.0010251399007737635,0.0630449623164052,0.1866964695460388,-0.05714070444691533,-0.05341001714654934,-0.10863971469603116,-0.03371545860740795,-0.09621474511916965,0.3410291126032845,0.13506503587989652,0.2060622527049766,-0.19520809883353232,0.15118416215932362,0.15625734892885437,0.02751438963078981,-0.44246545004554905,-0.18798417311850293,-0.09283109849790747,0.41793515362257944,0.5654959371125758,0.3868293495955377,0.9980821436154789,0.445100219411903,0.00838148903282959,0.06085852647819923,0.12343917312991877
ampl total power theta,0.8194383877220661,0.6277806063622602,0.747176298948147,0.44157045039943915,0.9999999999999998,0.3160832806303354,0.15848039060667635,0.10521121946149968,-0.08628948263850708,0.003874313876122713,0.0838409658685933,0.04752628399176158,-0.04423381882473972,0.0779813906725244,-0.025429749627736815,-0.14660413846009832,-0.082776051453347,-0.20335442214302182,-0.1008084677925701,0.3204030238202329,0.29088173447278354,0.3585637995474772,-0.03470178474801878,0.14013822264942724,-0.1447045473744774,0.8926685373376956,-0.16049033194897588,-0.46301391130827474,0.7480804312437068,-0.025445844530342085,0.5290064362346999,0.2183958957873371,0.4326524182114162,0.21688240672999834,-0.1389692435198144,0.1065353687129145,-0.17228058238905541,0.346170794243691,-0.6218215525960696,-0.6321323138252329,0.8194383877220661,0.6277806063622602,0.745536988371854,0.44157045039943915,0.9999999999999998,-0.3126539707618228,-0.23173869663393368,0.049284455282008324,-0.22420882716232593,-0.07639707023956639,-0.11795045081040846,0.05556075609204797,-0.1534673245218487,0.18212101217153853,0.15564546141569763,-0.3829845041770455,-0.6362511387272282,-0.1018815541029569,0.39153723038706445,-0.06341026829440921,-0.19561450173406175,-0.17224405179125502,-0.01822648514003776,0.29969017486740535,0.2887218628778348,0.35118918511652114,-0.6030448253266635,-0.3058090499989725,-0.20297085086611763,0.15713864960078905,-0.07639232948772685,-0.09848877483224462,0.3696645349540742,0.2124094440727963,0.45714161771186024,-0.48297788300619415,-0.4232412229530878,-0.720600289048355,0.35779665699366875,0.6178899470078015,0.573171928975385,0.5560116806586466,0.582080828513958,0.61820502341383,0.5578519095228419,0.39559669306763406,0.5179376651011782,-0.7386966339337288,-0.05843754066882958,-0.15911130188201072,0.2831144161154732,0.39930911506909983,-0.3161472091764861,0.16341734609773303,-0.5052843792880642,0.6958782069869334,-0.48732502414444184,-0.4289628278335757,-0.723143731920208,0.35287872526478975,0.8150273180376675,0.619949359458799,0.7585190495651717,0.44596782110966243,0.9977761998589005,0.01902102564219649,0.12028777373766453,-0.11767647132690544
approx entropy,0.16745397715467736,-0.21921326791312104,0.24873912358529549,-0.11778149679558161,0.3160832806303354,0.9999999999999998,0.1186711272213552,-0.14019693140914366,-0.013707461985899188,0.067337184674261,0.046033971835023134,0.1828764015715046,-0.15551975805384186,0.1271354595395708,0.00863028446592445,0.11303251908152942,-0.27278995591213473,0.009573299786067687,0.11916509318727182,0.2276974992522643,0.18829011687508132,0.24219101392957354,-0.15218875359883463,0.0152629403934802,-0.4296066796198077,0.16460002420152103,0.5182253435588565,-0.7041615200381744,-0.021541636890424185,-0.11556682930393226,-0.035957524047407576,-0.09333796054238805,-0.01446839989132147,0.09172158629741689,-0.4925352006557242,-0.016585005000548873,-0.416528725607264,-0.14271362979435556,-0.6460824358602613,-0.6388356785216066,0.16745397715467736,-0.21921326791312104,0.24841491452981693,-0.11778149679558161,0.3160832806303354,-0.4237617839717435,-0.40366082253207264,0.30151511000379966,-0.33518421695522027,-0.037060376083459606,-0.0894474518766453,0.0648029973355495,-0.20096166798709553,-0.26327830150985526,-0.12329761706344221,-0.21054181726025079,-0.12366292304144624,0.1622940302153707,0.1728422403302366,-0.30752598809559134,0.011737737705741467,-0.06109057533408372,0.19064634043320722,0.1972355470114546,0.19096141683923568,0.2450267015838297,-0.2547758048718118,-0.11502800298637635,-0.014153323485293008,-0.09168495099191987,0.07390824883729956,-0.06751082789750427,-0.09692709177627747,0.0951918883807584,0.03979780314117477,-0.693015121384327,0.13182294532511088,-0.31079547659872736,0.4364379014084828,0.6360365214651508,0.20981120530424277,0.6853710937945929,0.6113464036768045,0.5048368794650093,0.19278794672925573,0.6213512211493895,0.6548589119818076,-0.3831762898154976,-0.03765163052040119,0.001673558011730888,-0.1818607316622107,0.046875606465002544,-0.45757085223601496,0.1691754815760213,-0.2571685590277381,0.40101692051626864,-0.6886223169988287,0.1300649103059666,-0.3061606570028014,0.4358716771425765,0.14403329763989503,-0.23587578683482915,0.24647422652167061,-0.12258527040633438,0.3169737139517202,-0.3614497167737089,-0.07326768391241467,-0.47492288619120565
betw cen e-icoh alpha,0.1333022579110428,0.12213743020619659,0.24952753583000994,0.0415447288316703,0.15848039060667637,0.11867112722135521,0.9999999999999998,-0.06060771313065247,-0.08431115446797494,-0.04887349137789141,0.09039643706761696,-0.051326451544922526,-0.1494669604532469,0.08069570373215677,-0.011142015254349737,0.07930845694422792,-0.045527043542559494,0.03741432106935931,0.10128176344893668,-0.057844220303781564,-0.042768810459828575,0.021589190152583485,-0.09956480963401525,0.05732126671594836,-0.04215329871485674,0.15351927338404625,-0.0591516042733646,-0.12187132550442303,0.13652096782553838,-0.12396082590182743,-0.05321862640077895,-0.02148506222580254,0.06631791958982237,0.08330359349959261,-0.1774131616493814,0.15162518367492753,-0.15566199472180534,0.12610354723958653,-0.1678657877405326,-0.16880525303548957,0.1333022579110428,0.12213743020619659,0.2502888266724751,0.0415447288316703,0.15848039060667637,-0.05553952219102989,0.06037568590152287,-0.0206729115965787,-0.03414933207629444,0.0315473629115688,-0.08753224920599444,-0.029787528921136893,0.005007396301199428,0.06024610448152879,0.03468154147984151,-0.062437418851785664,-0.11692871991322068,0.0900058659555241,0.1499233889792108,0.06053997663044392,0.024893516362432276,0.030662203506096868,0.1299655363461955,-0.06108144184970486,-0.05553489428317295,0.011592909181612356,-0.06129663956505215,-0.10857303227753161,-0.14378215525306326,0.18199479042774316,-0.023748109167841838,-0.05618742929100023,0.1477205048393116,-0.004502954344793941,0.08023403851561413,-0.1784474990554055,-0.05421131263609067,-0.07994479427455593,-0.08556307441287027,0.15625899483534944,0.042349984798776316,0.1531860640183472,0.14021866620322632,0.1678773575101749,0.03106714544357834,0.1098549627539015,0.18124044144706342,-0.15218180801339315,-0.06680384991480014,0.04060294958278483,-0.0044960124830085435,0.12146638356694157,0.0012287095360152018,0.0435393571180076,-0.03338572727990081,0.029734307980782186,-0.1736344748841972,-0.05535903378460958,-0.07960001513921457,-0.08199727140910486,0.1382610611797445,0.1075039855625805,0.23797627781911,0.04216024057664214,0.15534729698753402,-0.09365959920857118,0.1907105965028114,-0.1560599947975014
betw cen e-icoh delta,0.06648521352521067,0.1523517423514356,0.11131380439034154,-0.010490677692754021,0.10521121946149968,-0.14019693140914366,-0.060607713130652476,1.0,0.1250458486384419,0.10985971990325884,-0.0002319221677961118,-0.025093503007481296,0.07509379042687327,0.011796624462808256,-0.07098146608673604,-0.40551058810919766,0.26838555053895335,0.11440172152050194,-0.3267103307290848,0.07619074994617445,0.004962642207700352,0.04594564317018518,0.15284617533891864,0.018387871242830686,0.02312389833126797,0.09633202706128303,-0.07806776406532312,0.07023237463868183,0.03187948248461384,0.06697049034625886,0.15507570186580985,0.07407796454132787,0.13308716817246596,0.011060661679975202,0.1515620229964279,0.08172964592653902,0.11713941528452852,0.1333732983735557,0.06190941934938364,0.056434031821330485,0.06648521352521067,0.1523517423514356,0.11012121371219952,-0.010490677692754021,0.10521121946149968,0.014572038881097989,0.08578412332831106,-0.03848803348351212,0.16265929671549217,0.08708335326692003,0.12099645039521813,0.0066840014974561945,0.0840330064976419,-0.0038295666113850038,0.02066546764350497,-0.019688046876582443,-0.13384026286173414,-0.5407586115602933,-0.013338245453999057,0.11180823737782458,0.06570465033663787,-0.03608445191982858,-0.45666380093921594,0.08483417106069314,0.005214436784659319,0.04386261530625191,0.023039203791745407,0.08053535091952098,0.061328002780769296,0.12666869550162102,-0.006054515055058779,0.173751992351339,0.22310372943529638,0.1172401331153121,0.10154646384594235,0.12885930832116405,-0.09860275633713116,-0.021111830757204957,0.06582139145868249,0.005454786153574695,-0.016879392822685607,0.013056693336126756,0.08897504733086378,0.17795009466172756,-0.01575547339280513,-0.052128344555332155,0.10214619274742642,-0.008778474569433049,0.12367234003580932,-0.03063653289108003,0.04047254468374074,0.01649941191563844,0.06007818606240933,0.03452332554268298,0.03490559549133887,0.12209747940901143,0.12051346261577867,-0.097581843779643,-0.021068338966639316,0.06715132463334757,0.08433515998999266,0.1566574296174339,0.11603151914590908,-0.008725826612432538,0.10218968453799207,0.2112098692363983,0.02893502683789875,0.0893481611130848
betw cen e-plv alpha,-0.07857831010098498,-0.04845530958651786,-0.09215582154156332,-0.007441989265071729,-0.08628948263850707,-0.013707461985899188,-0.08431115446797494,0.1250458486384419,1.0,-0.006835559216520437,-0.1045105402707489,0.08749133649805563,0.05272078125733248,0.13867622453280268,-0.07255233872642135,-0.16425748928557443,-0.037741351233902896,0.011175746897594463,-0.1245808031445715,-0.09982986535185087,-0.18154091181324958,-0.07231747847106185,0.188421329078899,-0.010542237989155242,0.051734240310417554,-0.08415226027706926,0.004311573450110157,0.046306484497819246,-0.08642871536563658,-0.08118196209830662,-0.02543549870110733,0.04434562359074547,-0.0037616041779486345,-0.09420497071850224,0.13134287259216085,0.04486689336101424,0.07313663101567373,0.11436112097326627,0.038066227597205064,0.029589275060470724,-0.07857831010098498,-0.04845530958651786,-0.09215350099611115,-0.007441989265071729,-0.08628948263850707,0.03805462486994427,0.07390009046943381,-0.09120808696746567,0.14505497566896433,0.1883080522900916,0.20132820288380357,0.12914299550351477,0.09075189154300753,-0.05390395030818559,-0.07223161828933199,0.012591279623411038,0.014431472166972582,-0.17962878236067115,-0.262235559366603,0.047814839041722165,0.03388460469241577,-0.10793321007078772,-0.16875702691730943,-0.08063895446250156,-0.16122685692505567,-0.07082768829077621,0.14056704076449017,0.06210475793611308,0.07034037374582297,-0.04585629868010054,-0.07176518865344816,0.13669172985938577,-0.020448646524419103,0.04102492304870691,0.029032344151952723,0.018531875980936332,0.04084856159434288,0.10107135716875558,0.03100016669538298,0.006952354174666323,-0.09687349044580117,0.0023112632703496854,0.03963723686831624,0.03359917760180029,-0.11123302570375684,0.02066445725146983,0.06462254975170485,0.07076271301811578,0.03173113851281285,0.039841444868106174,-0.05474862885277121,-0.15199108602546554,0.06098393448272062,-0.012303531987343404,0.05840812903082489,-0.027377795244563845,0.013426675986188031,0.04498841468099332,0.09996909807898036,0.04097619159421159,-0.06355045775280771,-0.0382031397788824,-0.09248301845031763,0.0001879641816248238,-0.08656794809276608,0.09772281008129113,-0.12375174315624436,0.09756965408144866
betw cen e-plv beta,-0.07790474940699689,-0.10030219241430334,0.10577221776225346,-0.06186486003024197,0.003874313876122713,0.06733718467426099,-0.04887349137789141,0.10985971990325884,-0.006835559216520435,1.0,0.20044345007975714,-0.06127829021052814,0.185811198833631,0.002830306486769816,-0.043344602041042686,-0.0856648736395869,-0.011710314878986931,-0.10916827805604172,-0.07804040787506292,0.15257668854109852,0.06564260347147023,0.06568629009677962,0.03428020509146204,0.04808517868923104,-0.20019281083227078,-0.07220249515608632,0.23431206519890874,-0.07248300927649401,-0.10240604831736108,-0.005978169779180448,-0.017824143126233396,0.015439773102767965,-0.05630746143167307,-0.011090667249318436,0.01766319240140931,-0.10218716547484717,0.15231916738138,-0.04370042108580907,0.0010898663366659738,0.001225524804731992,-0.07790474940699689,-0.10030219241430334,0.10516750289612865,-0.06186486003024197,0.003874313876122713,-0.07186679793002465,-0.10033668185533706,0.259758967866173,0.07507201665009293,-0.016759607311273798,0.1527376392659226,0.1411606835589328,0.07772310501755257,-0.09762811108615455,-0.19210158796575696,0.15067287139603647,0.09822362876800368,-0.12638540702008141,-0.049175045025897014,-0.035751754575568,-0.13857857407354063,0.13436396437921838,-0.14788612456051078,0.15850887239890066,0.040446917148293564,0.06387674409054309,0.13202098168499346,0.018812840435867086,0.026356830837979024,-0.10314872094762079,-0.03505966645882441,0.09182928640034951,-0.010634244318734451,0.007458916447562067,-0.09774997377780706,-0.008737325061879115,0.2131539427727478,0.056284468470983916,0.1590032210537175,0.03458831076469672,-0.08935294453412745,0.07078842807370325,0.10853367234102103,0.05922756743919583,-0.09116019124429507,0.056732831204422456,0.11576265918169157,0.06979283287586281,-0.0014554544116235474,0.057153602385033996,-0.17829661436798794,-0.10072526289098378,0.020863812529339762,-0.04829211533543344,0.10411672459263425,0.00034489441033733355,0.00043916554916287136,0.20670441729943964,0.05642472553118777,0.15917336896281725,-0.07696433731481044,-0.092742106939709,0.10995233801554191,-0.056551186814978116,-0.007187599511430031,-0.02361147133169385,0.04123269160527466,0.10800713354123936
