,ampl total power alpha,ampl total power beta,ampl total power delta,ampl total power gamma,ampl total power theta,approx entropy,betw cen e-icoh alpha,betw cen e-icoh delta,betw cen e-plv alpha,betw cen e-plv beta,betw cen e-plv delta,betw cen s-lcoh alpha,betw cen s-lps beta,betw cen s-lps delta,betw cen s-lps theta,clust coef e-icoh delta,clust coef e-plv beta,clust coef e-plv delta,clust coef e-wpli delta,clust coef s-lcoh alpha,clust coef s-lps alpha,clust coef s-lps theta,correlation dimension,dfa exponent delta,higuchi fractal dim,hjorth activity,hjorth complexity,hjorth mobility,katz fractal dim,kurtosis ampl beta,kurtosis ampl delta,kurtosis ampl gamma,kurtosis ampl theta,life time alpha,life time beta,life time delta,life time gamma,lyapunov exponent,lzc exhaustive,lzc primitive,mean ampl alpha,mean ampl beta,mean ampl delta,mean ampl gamma,mean ampl theta,microstate A,microstate B,microstate C,microstate D,microstate E,mod index alpha-beta,mod index beta-gamma,mod index delta-alpha,mod index delta-beta,mod index delta-theta,mod index theta-beta,mod index theta-gamma,node str e-icoh delta,node str e-plv alpha,node str e-plv beta,node str e-plv delta,node str e-plv gamma,node str e-wpli delta,node str s-lcoh alpha,node str s-lps alpha,node str s-lps theta,permutation entropy,range asymmetry alpha,range asymmetry beta,range asymmetry delta,range asymmetry gamma,range coef var beta,range coef var delta,range coef var gamma,range coef var theta,relative ampl beta,relative ampl delta,relative ampl gamma,relative ampl theta,rqa determinism,rqa entropy,rqa laminarity,rqa max diagonal,rqa max vertical,rqa mean diagonal,rqa rte,rqa trapping time,sample entropy,skewness ampl alpha,skewness ampl beta,skewness ampl delta,source ampl alpha,source ampl beta,source ampl delta,source ampl gamma,source ampl theta,spectral entropy beta,spectral entropy delta,spectral entropy gamma,spectral entropy theta,std ampl alpha,std ampl beta,std ampl delta,std ampl gamma,std ampl theta,waiting time beta,waiting time delta,waiting time gamma
ampl total power alpha,0.0,5.070884768872188e-19,7.743833679291484e-11,4.802757590273256e-07,1.1107040052600695e-34,0.04963101367690741,0.11907502511536085,0.43847082833932693,0.35961061401141714,0.3637564450717442,0.548237460759532,0.2669081071090293,0.8854327612122883,0.5276679051990267,0.7332704393473299,0.1332446056664519,0.6761366113864147,0.014841411766909085,0.32185796506038183,2.960662984843943e-11,1.4059561071132005e-09,3.15267666417644e-05,0.579072293404368,0.4002804624287408,0.03341655658556208,2.050128948065989e-90,2.548369352110839e-08,0.0032312429946352137,4.5694725542091405e-30,0.561209809195,9.116481284746936e-10,0.0427089626545981,2.169804668354725e-06,3.217659094768307e-09,0.014789647934471645,0.27155854331496826,0.0011258271420663045,1.7960274756820704e-08,4.865055174758654e-12,8.358741726768136e-13,0.0,5.070884768872188e-19,9.437353060173527e-11,4.802757590273256e-07,1.1107040052600695e-34,0.08351723588167408,0.7257648363224846,0.4146577111239569,0.004489494063296877,0.014806277218873797,0.48182671854531267,0.2796196996183067,0.001226063615743926,0.004027782498843032,0.0003214029254389644,1.7317420249717036e-07,5.276222936065809e-20,0.38582250061292367,6.071753141115922e-08,0.559130015973244,0.0472330500327309,0.051215990058913335,0.9763593182376884,1.7106183676667427e-10,4.250557692589689e-09,1.9750071326108925e-05,3.391658862644257e-30,5.101795149007523e-09,3.694878320033821e-05,0.04737852854275687,0.8134719768624654,0.10808638141881603,1.2451747183721231e-05,0.006477312536108174,1.6652576290646333e-05,1.9787888077777707e-08,4.585765101050698e-19,3.297187066970188e-39,0.76959883931583,1.5129470575574755e-12,3.7053145682174356e-30,1.9147669776289158e-07,2.7467271292545103e-08,6.067716800083873e-15,8.791004354988217e-31,0.010926358592743138,0.00018610736402564334,8.590888665781065e-24,7.36556736675739e-07,0.8011176829950686,7.905653651443517e-05,1.06806354128607e-15,5.4841040529931305e-06,0.7119222188113477,7.67760062718063e-12,7.014388185963746e-12,9.06914607026117e-09,1.9349446452188524e-19,1.3587789023941492e-39,0.7354839183688101,1.0645546286863024e-136,1.2855860805880138e-17,1.5703471322979797e-11,3.4597189425894073e-07,8.849177936623143e-37,0.4366259037459155,0.11374866147423644,0.039974286213708694
ampl total power beta,5.070884768872188e-19,0.0,8.572798742648453e-14,6.165901136219677e-13,1.7167340708992226e-16,0.009787463734257863,0.15355456487165095,0.07444362793120349,0.5724988965398603,0.2417914417135334,0.43250660227498816,0.118301113762608,0.39681412255949833,0.9873360516496964,0.17665826583681438,0.017725777709044762,0.11456236311606409,0.0016142301542477295,0.031024546922521417,0.03961230272276848,0.0024535962263521637,0.03175890924446414,0.6538721093421653,0.15951011015780292,0.006355649973089469,1.6337445593945882e-23,4.239769739879829e-16,0.05634312142467912,5.0230255095660365e-36,0.4748473600723552,1.7230732675418265e-07,0.008862881975632715,1.3946895953325155e-07,0.12749858408032344,0.01570556509005844,0.1382582147116519,0.10775551030426805,5.197225030409099e-09,0.5802384229037061,0.4384517940307596,5.070884768872188e-19,0.0,9.346600128452786e-14,6.165901136219677e-13,1.7167340708992226e-16,0.22739222340101042,0.16082134064734926,0.012628886748726312,0.9017053495316547,0.36273268761237065,0.1530891455982087,0.8997693963854307,0.6385484599130893,0.008970989027339806,0.0028641876416546867,0.0005919721390257957,3.2538390866372834e-12,0.037843399381749236,0.015660631473508137,0.09352238364198678,0.00906562208126853,0.159302968689347,0.12030416937558701,0.037632663031342876,0.001833256677409112,0.037040932036151865,3.2802114483304318e-06,0.0008968211152925612,0.00017705346577947563,0.004259364505513522,0.1668876130238563,0.1230151737610299,1.0439001568843528e-06,0.2421821586300398,1.0276270240523095e-06,0.2759952144909924,7.853614196868165e-12,4.5267656578780934e-07,0.6581397986786712,0.2763019396410178,6.913002987013261e-06,0.9438725565410868,0.5184330277581966,0.016941661653166188,9.829347194136119e-06,0.6269942347742227,0.8893425250681821,1.7405611728395669e-06,0.2083044127108435,0.6151554588870802,8.708505137404108e-07,9.270719379105897e-06,0.07744293741844599,0.6018941843717092,0.0049466148802271865,4.522506984378167e-05,0.3410351378438994,5.338337217704219e-12,2.936217039289301e-07,0.6639244710392918,4.240461980812388e-20,3.34309182595646e-141,2.027696883038863e-14,2.7202096169900234e-13,1.1835989637619944e-16,8.627322216004601e-05,0.05522805396697218,0.001886251302856189
ampl total power delta,7.743833679291484e-11,8.572798742648453e-14,0.0,5.352110822672722e-06,6.745284004473585e-26,0.003262833525802989,0.003162793047113599,0.19367285047376406,0.2823621295539659,0.2169395974737121,0.18315736336800928,0.41415441283067256,0.5801174218470675,0.29732356942968535,0.9915265181274332,0.39750626785075205,0.31280471851685937,0.010685625521519861,0.5363593792782295,0.15526477242316145,0.14895817317089582,0.00025996033008425046,0.9527179875809879,0.0406584834390281,6.339185653292624e-05,8.730492412192211e-16,0.939938686183099,1.6557560961923218e-07,1.036843240925235e-13,0.9102134034209475,0.0003012690754696647,0.0029221778419604226,0.000437662511470209,0.6292219900163167,0.6472812066364613,0.03328648483278038,0.4783797776434041,0.0005141735945377937,3.4040322464604926e-08,3.147792659654259e-08,7.743833679291484e-11,8.572798742648453e-14,7.984554042331144e-269,5.352110822672722e-06,6.745284004473585e-26,0.00018028606312432344,0.0007875910817013198,0.07182294898870933,0.004597079338557321,0.5333435996928804,0.650534961278742,0.32136220423403433,0.5443930456067759,0.3665047856056648,0.6088814720211971,0.07661142512752064,2.387123672789702e-05,0.535201518614628,0.12264926369298021,0.5116233929159745,0.007092484298667036,0.07127862787003564,0.8616485996551894,0.1617697573543049,0.14210023779700998,0.00030588659996369575,0.00012502694474235017,0.01995869350899611,0.24302420070320888,0.12728397274757083,0.46949353021249063,0.7425093908907411,0.0011804447336688764,0.007838365924895617,0.00015628772316171664,0.000233740220986046,0.33022865513366495,3.35576718624146e-07,3.5657049392130354e-05,1.4938848308372502e-08,0.001649681382221509,1.5399368859224014e-08,2.2855432678484844e-09,1.0926715534922002e-08,0.0043574256297639535,5.50876038196125e-09,1.6368407199483715e-10,3.3558374765310096e-13,0.3553892715778171,0.1846621828032409,0.13623316157084056,0.04094779222474237,0.11697129578329792,0.004409521156064516,2.1455610551195827e-05,1.0227337982816207e-14,0.00017811136012961962,0.2992649733149972,2.6510201007836987e-07,3.588456137949497e-05,2.449253389012754e-11,5.452219848348216e-14,1.3805137757800005e-158,3.3147276666332503e-06,9.485156335702234e-25,0.9893763679796486,0.7161252358586416,0.8775511372621639
ampl total power gamma,4.802757590273256e-07,6.165901136219677e-13,5.352110822672722e-06,0.0,5.914390961691228e-08,0.16887494067239478,0.6285208294630511,0.9028040202377936,0.9309659570737979,0.4710153741803148,0.1284836561325454,0.8965994274538481,0.5432938392871128,0.7808334351468286,0.9448731823580208,0.9031787453582589,0.6624957273065455,0.3785832807533145,0.9110563552983693,0.225069027373465,0.23994664300045193,0.19664355700098235,0.9336390932104384,0.04330803816700225,3.3644967520194463e-07,2.4844582239964097e-08,0.0007522341587720388,0.2281979446395633,6.644952113884437e-28,0.5381512487602986,1.8498004290626934e-05,0.49507301989656594,0.0012643083034005412,0.19596504810208654,0.9760625721054477,0.3100416349310485,0.7200258063124261,0.07651248880929419,0.5482189996942979,0.5578767612414378,4.802757590273256e-07,6.165901136219677e-13,5.381010659030134e-06,0.0,5.914390961691228e-08,0.20311702925019762,0.09071695140738699,0.293488271569271,0.46037430921417266,0.06621815144307285,0.9739854431896515,0.29690617299979966,0.9915391726998901,0.018645322140486472,0.04089945464632749,0.15341401965863277,0.00012221013266823763,0.7978313592716584,0.21007396991533991,0.730399061297229,0.3704567337114173,0.5282457879181504,0.7439572873278506,0.16622904844097872,0.2003322163021156,0.3121900608652096,0.02753839606103885,0.24910740539005383,0.0012142707466760406,0.2481849847753808,0.8826254297326217,0.045013604037649146,0.00026187963883246145,0.10075344719336879,0.0006277708376189546,0.8315911592074424,5.726692653551351e-08,0.0322039285876641,0.3057079639601119,0.7077636966423755,0.03376220507743425,0.7250466165777447,0.990478965649367,0.4625799253442383,0.02833958779413034,0.5056093802117644,0.5338347462449365,0.20466337888617242,0.6946326649692687,0.2616103397698358,4.2557344341296815e-05,0.11422846298541312,0.015319068299507799,0.02176541705645471,0.07671947327126395,0.06722443397645946,0.7487094247070607,5.521385182310533e-08,0.02724772984747135,0.2788352543193324,3.3897151598626585e-07,4.95905324346563e-13,2.777121565268939e-06,3.2239962980885253e-166,4.504409298217192e-08,0.9222766670215442,0.47827450594844656,0.1491854410345283
ampl total power theta,1.1107040052600695e-34,1.7167340708992226e-16,6.745284004473585e-26,5.914390961691228e-08,0.0,0.00015894599506473644,0.06337665112121356,0.21940134593136837,0.3142568369152202,0.9640283449853335,0.32823642459989244,0.5798923041823443,0.6064443934615991,0.3632832257764329,0.7671823089114332,0.08619369009751084,0.3344390339917773,0.016747897762799308,0.23941141084693965,0.0001275449178624622,0.0005378560742540672,1.572055715579503e-05,0.6861631456303825,0.10113467367566123,0.09038772279695537,6.507181083906965e-49,0.060054448575884864,1.0772044145075296e-08,5.469740878556078e-26,0.7670391676494334,2.558620379604951e-11,0.010071139932381363,1.1609558038890411e-07,0.010615574473323921,0.1040416877842328,0.21362241452959835,0.043324935352057364,3.197426242522401e-05,3.975919467863936e-16,9.190778276096795e-17,1.1107040052600695e-34,1.7167340708992226e-16,9.841830958181442e-26,5.914390961691228e-08,0.0,0.000188845999913564,0.006240225307801674,0.5659379775435294,0.008201864630350799,0.3731429541914758,0.1682603179337573,0.5174672445309021,0.07232040270143743,0.03252565745895789,0.06831626596625974,3.549675646657945e-06,5.0412839898069115e-17,0.23442090870894441,2.0475209142267195e-06,0.45998568764451775,0.021487454761334776,0.04337002144416949,0.8319644357161063,0.0003556496123212326,0.0005940833202217072,2.407113988057272e-05,5.004988385860513e-15,0.0002647537695306301,0.016959372642748688,0.06567687045743265,0.3731727011251996,0.25045132803452147,8.113066889045882e-06,0.012378760299471195,1.7375130061219608e-08,1.9789043898198787e-09,2.317029731556816e-07,2.205032754610694e-23,1.644106818878968e-05,6.852522547016919e-16,2.0316885133716225e-13,1.4476213232928703e-12,7.002825824485598e-14,6.56185194531596e-16,1.1790442188746615e-12,1.568348033776808e-06,7.729971152131198e-11,4.617461473515382e-25,0.4959831301632939,0.062318030052628655,0.0007662611183249204,1.225186135197037e-06,0.00015843295107160736,0.055473059220008954,2.6081690506575905e-10,2.720309154548693e-21,1.3484514853160902e-09,1.5260195454764767e-07,1.3046100223510023e-23,2.1852999318263478e-05,4.886470325936957e-34,5.157377523870748e-16,4.5514488554704686e-27,4.210766341210529e-08,7.499306544011967e-162,0.824754495970952,0.15992721978872354,0.16925784212652545
approx entropy,0.04963101367690741,0.009787463734257863,0.003262833525802989,0.16887494067239478,0.00015894599506473644,0.0,0.16565727472653102,0.1009903817907173,0.8732205809774994,0.4326125613381969,0.5918602700242703,0.031800456485448485,0.06854234240999202,0.13729092462956843,0.9199770890339245,0.18683899981230678,0.0012078169981481594,0.9112671087739326,0.16389048257029443,0.0072337739846646525,0.026993660006410115,0.004210341040438444,0.07475801003313369,0.8589755462705068,1.4552584744060817e-07,0.05370550778617079,7.514775577182903e-11,5.728019859766602e-22,0.801980922576376,0.17708611962926585,0.6754364623967055,0.27620753820000526,0.8662465568632423,0.28464581247373,8.454316911829139e-10,0.8469035126214777,3.7452985972107266e-07,0.09495602395119566,1.1583711883165269e-17,3.442455233237986e-17,0.04963101367690741,0.009787463734257863,0.003304792581324722,0.16887494067239478,0.00015894599506473644,2.2313526932500105e-07,9.137574829641995e-07,0.00032590121112823905,5.854784711870087e-05,0.6660691356745265,0.2968071255971184,0.4501693952937442,0.01810537169246764,0.0018089919230522636,0.14965595717001628,0.01318775168674535,0.14844400046042278,0.05719601229060127,0.04263665212653993,0.00024342768870782517,0.891317187578035,0.4765952897449163,0.025103859635726138,0.020408926395322814,0.02485995038245774,0.0037732744561915586,0.0025643592888668822,0.17912765067111472,0.8691330264670014,0.28483904456536185,0.38895884189489593,0.43142408858118064,0.25807878584561733,0.2667388215329366,0.6430422101225652,4.604463455310925e-21,0.12326394966575924,0.0002071573952993074,8.739973376636383e-08,5.202691745427583e-17,0.013516589755516067,1.8220723665509308e-20,1.667514563338408e-15,2.7203281896603053e-10,0.023485606033284128,4.2451630389443784e-16,2.976099607711788e-18,3.506739675081626e-06,0.6610681971978905,0.984457359795071,0.03277875952975035,0.5850967712162292,1.678353952651126e-08,0.04729968149933689,0.0023271848461108922,1.0925241828134087e-06,1.0203016014980007e-20,0.12838905781967816,0.0002602502936453113,9.121149164992447e-08,0.09190799690775502,0.005350786074020924,0.0035662760356691904,0.15204072314665026,0.00015193730069148735,1.3267937372004397e-05,0.3930938482006683,3.972099228142119e-09
betw cen e-icoh alpha,0.11907502511536085,0.153554564871651,0.003162793047113593,0.6285208294630511,0.06337665112121345,0.16565727472653097,0.0,0.48009310099540636,0.3255214406611122,0.5691854165780625,0.29169111521127544,0.5499339158270187,0.08016821118081927,0.34677005126170823,0.8968018009467547,0.3551497906876995,0.5959510738141618,0.6630736226959069,0.23720124099839146,0.500375232848091,0.6184292187813654,0.8015528120034476,0.24528729685844236,0.504263286076553,0.6234949015125733,0.07222273878122985,0.4907243129643909,0.15445943517597266,0.11034251647247025,0.14746116291921074,0.5353036942295314,0.8024903272402043,0.43962643729535567,0.33135707709025797,0.037368110844351474,0.0758533299536151,0.06828657611734004,0.14053631962742166,0.04906482471129011,0.04779321930929055,0.11907502511536085,0.153554564871651,0.003068826425581554,0.6285208294630511,0.06337665112121345,0.517627573445596,0.4817787961632758,0.8098120719540829,0.6909023006566007,0.7133817378948921,0.3073117640485675,0.7287278101955819,0.9535185138521354,0.48272159869122977,0.6863365864320934,0.46691224116833996,0.17200262262819044,0.2937895555436248,0.07923961346116758,0.4805848828081163,0.7719558038540507,0.7210866043604209,0.12868357612653208,0.4766613235614785,0.5176625203486558,0.8926501114947312,0.4751067919702314,0.2049430609027931,0.09248199008838469,0.03264819055166353,0.7821805304415765,0.5127469506730313,0.08380236922609441,0.958196552627061,0.3495448385524428,0.03625516588060168,0.5277066486367525,0.3512903902628979,0.31836319551679565,0.0672215163425765,0.6218742373695851,0.07285103115324254,0.10093700409762499,0.049048995444943476,0.7175582591620422,0.1996143438394317,0.03338867316393532,0.07477143086615591,0.43627458114839346,0.6363322056028056,0.9582609396062594,0.1558440902057413,0.9885884201562756,0.6121128053524338,0.6974725390885952,0.7291936215691353,0.04168137325736002,0.518991396725232,0.3533782102854789,0.3390220342290656,0.10583447509992762,0.20946446885273184,0.004944057879671742,0.6234376708393421,0.06885350127199302,0.27454876084505986,0.025053951626998288,0.06757502373055707
betw cen e-icoh delta,0.43847082833932693,0.07444362793120349,0.19367285047376406,0.9028040202377936,0.21940134593136837,0.1009903817907173,0.48009310099540636,0.0,0.14392302730373394,0.1995947575666289,0.9978459641479758,0.7701745337721878,0.3813752822102692,0.8907753121274653,0.40806532756900493,8.056397787623625e-07,0.0014588806107555673,0.1815222238995159,9.193558139280207e-05,0.37443890145828407,0.9539334878145521,0.5925721456912606,0.07349646778859154,0.830498808767996,0.7877685176610304,0.2610266386485217,0.3627503725653354,0.4130429364456918,0.7104981983323628,0.4351284895825175,0.06934584664353488,0.3878676880051909,0.11967713970200951,0.8975511800761833,0.07597688797093544,0.34060612542466095,0.17122590923267839,0.11887667361286,0.4706953440012803,0.5108955684409822,0.43847082833932693,0.07444362793120349,0.19852026232308365,0.9028040202377936,0.21940134593136837,0.8652974856193545,0.3171099517389997,0.6540192688753093,0.05663099775397456,0.309808687994996,0.15746262891691248,0.9379824549426854,0.3271257852568621,0.9644435340790267,0.8098792583213136,0.8187129536017377,0.11757923465470912,7.564839691793652e-12,0.8766080121946908,0.19168858297103172,0.4438774448421653,0.6743558025902742,1.8057224936935998e-08,0.32251843459889795,0.9515989336081755,0.6094713866494651,0.7885275502154646,0.3477322581044231,0.4748804623226468,0.13875175975024728,0.9438130941398661,0.041541208224338454,0.008531576148679809,0.1708555389466413,0.2359713934585099,0.13199730036260687,0.24990078826636908,0.80585301625441,0.44306644457381794,0.9493708783546546,0.8442201257171286,0.8791926596382658,0.29937586635884256,0.036786834662344524,0.8544741621766277,0.5437099848150586,0.23320146240062242,0.9186077038413659,0.14841285648831234,0.721310476823502,0.6374170043380039,0.8476840367291361,0.48394480487092795,0.6876927152705459,0.6844178426803098,0.15369015987622592,0.15913922278832496,0.25486172279628366,0.8062450948768323,0.43388672433415876,0.3253832155564187,0.06651825306471693,0.1753392899562889,0.9190941824275726,0.23300148005127372,0.012893215170625194,0.7362010608422132,0.29734581406238314
betw cen e-plv alpha,0.35961061401141714,0.5724988965398603,0.2823621295539659,0.9309659570737979,0.3142568369152203,0.8732205809774994,0.3255214406611122,0.14392302730373394,0.0,0.9365791257742595,0.22250380424679927,0.3075387882683747,0.5391341303728636,0.10478055970994472,0.3977425762753731,0.05421258734302256,0.6603106217887036,0.8964911124384467,0.14543152344900212,0.2440266807218895,0.03309204065072334,0.39927595105413716,0.026885316596475264,0.9023286759064673,0.5467645090296939,0.3264373142169402,0.9599717411454146,0.589666433817182,0.3134737112222379,0.3438624886108972,0.7671311781803402,0.6055339815754537,0.965074144144337,0.2717515373236014,0.12464753726238996,0.6012973638458459,0.39394306139030655,0.18167826609527335,0.6575703451610908,0.7304635102313555,0.35961061401141714,0.5724988965398603,0.2823743007722743,0.9309659570737979,0.3142568369152203,0.6576681341271942,0.38901134102666224,0.28736225755909905,0.0896020455817452,0.02697882857362112,0.017891439394266226,0.13114134159157007,0.2897900271935418,0.5300530754552709,0.3998373988880001,0.8834679360486235,0.8665847676619933,0.03501841280941619,0.0018892435389030698,0.5775911781942086,0.6931775021078739,0.20764060562493572,0.04785782170341128,0.34711038691520035,0.058873389365274614,0.4090842665745178,0.10008447361060803,0.4692938014111784,0.41232311093007756,0.5932926030666945,0.40289562018619474,0.10989359454601165,0.8118368115368182,0.6328272280861167,0.7353466881816354,0.8291915225372928,0.6342911281463366,0.23818201791551108,0.7181414504556194,0.9354978105945646,0.258343378619153,0.9785360921677835,0.6443838257053066,0.6956336761009819,0.19399844526709312,0.8098883778529273,0.4514345759539684,0.40951524539883055,0.7117856517630583,0.6426777591930584,0.5236173552625185,0.0751407206902303,0.4773665969590053,0.8861128653283521,0.4962003719362792,0.7499156176052473,0.8757964873486141,0.6003116049931753,0.24336628971959223,0.6332315849155503,0.4589922677321976,0.6564168734460037,0.28064950871825306,0.9982542343543024,0.31269185680320993,0.2541727219573739,0.14815044995800672,0.2549213626522418
betw cen e-plv beta,0.3637564450717442,0.2417914417135334,0.2169395974737121,0.47101537418031514,0.9640283449853335,0.4326125613381969,0.5691854165780625,0.1995947575666289,0.9365791257742595,0.0,0.018411614023603865,0.47523923547376623,0.02911165625421253,0.973717482489997,0.6137066082982026,0.3177856436117189,0.8915695493489981,0.2024561649494535,0.3629190855044263,0.07401149422442634,0.44430882519386883,0.4440050696235952,0.6897785290951146,0.5754391786263948,0.01856133175625595,0.4000279443868986,0.005672711457100331,0.39819485446807157,0.2320083918732017,0.944520453477169,0.835620808439433,0.8573588977293413,0.5118453710046789,0.8972747766580045,0.8370844730010605,0.23301305983176276,0.07450637484823461,0.6107960875765859,0.9898778468220459,0.988617996205845,0.3637564450717442,0.2417914417135334,0.21959401062821646,0.47101537418031514,0.9640283449853335,0.4022282242113725,0.24162878403649593,0.0020929648022154305,0.3815137485001827,0.8453117738124978,0.07370354548918712,0.09864482277789319,0.3648795248864566,0.25463544066657623,0.02399420002195484,0.07773358327941567,0.25173524297099586,0.13964412569171622,0.5668016782440022,0.6771897826226847,0.10502770668878245,0.1161372580364371,0.08345217136452449,0.0633285461548167,0.6376302824614604,0.45668472600638677,0.1226966685297313,0.8266422545639737,0.7589501909239,0.2286222169996684,0.6830995835391895,0.2840782587220815,0.9014805379124963,0.9308093250262928,0.2540401014283869,0.9189879316885099,0.012068592774255473,0.5120180112639909,0.062498347669930523,0.6871355817467744,0.29731984745643836,0.4093446463666467,0.2051082748148469,0.49016662142893597,0.28761650820950835,0.5086569527478556,0.17634841301939855,0.4159801141655439,0.9864827219206445,0.5055131639048903,0.03641575576389586,0.23980143600277926,0.8080895456108208,0.5737944252830276,0.2242611086895499,0.9967967105046436,0.9959211514423971,0.014996217491459551,0.5109653731584134,0.062214672403725156,0.36959399521719793,0.2792983414856635,0.19921370419689918,0.5100172327215451,0.933320213124128,0.7834027845421598,0.6311044547260084,0.2073276430611544
