id,ampl total power alpha,ampl total power beta,ampl total power delta,ampl total power gamma,ampl total power theta,approx entropy,betw cen e-icoh alpha,betw cen e-icoh delta,betw cen e-plv alpha,betw cen e-plv beta,betw cen e-plv delta,betw cen s-lcoh alpha,betw cen s-lps beta,betw cen s-lps delta,betw cen s-lps theta,clust coef e-icoh delta,clust coef e-plv beta,clust coef e-plv delta,clust coef e-wpli delta,clust coef s-lcoh alpha,clust coef s-lps alpha,clust coef s-lps theta,correlation dimension,dfa exponent delta,higuchi fractal dim,hjorth activity,hjorth complexity,hjorth mobility,katz fractal dim,kurtosis ampl beta,kurtosis ampl delta,kurtosis ampl gamma,kurtosis ampl theta,life time alpha,life time beta,life time delta,life time gamma,lyapunov exponent,lzc exhaustive,lzc primitive,mean ampl alpha,mean ampl beta,mean ampl delta,mean ampl gamma,mean ampl theta,microstate A,microstate B,microstate C,microstate D,microstate E,mod index alpha-beta,mod index beta-gamma,mod index delta-alpha,mod index delta-beta,mod index delta-theta,mod index theta-beta,mod index theta-gamma,node str e-icoh delta,node str e-plv alpha,node str e-plv beta,node str e-plv delta,node str e-plv gamma,node str e-wpli delta,node str s-lcoh alpha,node str s-lps alpha,node str s-lps theta,permutation entropy,range asymmetry alpha,range asymmetry beta,range asymmetry delta,range asymmetry gamma,range coef var beta,range coef var delta,range coef var gamma,range coef var theta,relative ampl beta,relative ampl delta,relative ampl gamma,relative ampl theta,rqa determinism,rqa entropy,rqa laminarity,rqa max diagonal,rqa max vertical,rqa mean diagonal,rqa rte,rqa trapping time,sample entropy,skewness ampl alpha,skewness ampl beta,skewness ampl delta,source ampl alpha,source ampl beta,source ampl delta,source ampl gamma,source ampl theta,spectral entropy beta,spectral entropy delta,spectral entropy gamma,spectral entropy theta,std ampl alpha,std ampl beta,std ampl delta,std ampl gamma,std ampl theta,waiting time beta,waiting time delta,waiting time gamma
sub-010003,114.579638017949,6.73485845310756,10.3827656613272,1.01472986698331,39.0964313507946,0.657886745730484,22,4,0,10,52,0,0,46,0,0.0920648085797132,0.153294671093221,0.179015825734218,0.0368924267489752,0.0249994795786259,0.0137202317697023,0.0152343555305819,2.90954631048767,0.685010368826946,1.81176566161441,161.746717003046,1.58398936397663,0.438420563692689,1.27362055687201,3.08859243546422,3.14727038427265,3.180893560616,3.63262059422049,615.625,167.108333333333,1055.15,95.7380952380952,8.69983772099541,0.614241104441936,1.54151678728071,229.157663424644,13.4696475977014,20.6742496314118,2.02945425334392,78.1878324254708,64.312392,63.352704,2.4415,63.261088,2.2875,0.001240341618691,0.0013571811704927,0.0040197017484251,0.0044049276249055,0.0046146096633121,0.0014384893876983,0.0014754625344085,5.78027853161929,17.5701234876296,11.357500289653,12.5385505756129,8.66596799089016,2.45241061211331,2.565735297,1.127315112,1.610847337,0.687229780945379,0.294190477085169,0.27493388599333,0.513374132716038,0.28083541093936,0.217221820141998,0.568538493127758,0.217936529938938,0.465566434016535,0.222045864030467,2.09985912322822,0.0089857225959087,3.53529395433924,0.781044921106657,1.6651291983191,0.837814542703908,104.864435296618,24.8322567153121,3.85637138401868,0.650624587002671,3.40097341114891,1.36373096621084,0.0068625338836326,0.061970743873051,0.29303964189271,4.523764,1.059534,0.4478319,0.2499457,2.424327,0.118800614153332,0.227190652314283,0.0069451791555876,0.390898076209837,217.187161393061,14.2636764902043,20.8853088649791,2.01279136962491,91.3545605479957,199.87619047619,1351.875,111.491860465116
sub-010005,72.2614615708144,7.70513103090704,14.8512720828682,0.295849858133578,34.9015343164208,0.68603389418893,0,34,102,20,54,0,20,502,2,0.0587853858629839,0.178246619302146,0.199384960743751,0.014755924569261,0.0814646548765088,0.0341264186060115,0.0106196140166381,2.96339283845352,0.586872397818514,1.76051357803293,111.211794135368,1.60458013219307,0.504593376886615,1.18258072120921,3.10456275322497,3.06804551745717,3.10002331523278,3.13867255800562,407.578571428571,319.14375,1039.45,95.760989010989,11.238640546295,0.680637783145689,1.74545568844468,144.52227944554,15.4102092314255,29.6102136733697,0.591696855100431,69.7993275540295,58.15612,57.987816,3.115,54.69432,2.5567,0.0010634227326899,0.0012909254970899,0.0040757428805386,0.0038263838187846,0.00331546491409,0.0012373047342311,0.0013584188856477,3.50849061292088,16.0076470021881,12.3183290269596,14.5900674785389,9.6196692130584,1.07393711475589,7.384956938,2.847060878,1.010279121,0.674246698045928,0.110786191178296,0.197072680600674,0.362932295664848,0.11505005607885,0.231194191631738,0.380857737227606,0.20499576200988,0.32977424708312,0.487294014124601,3.15919980729552,0.0075880785483395,3.67601211326269,0.723565444092102,1.47537825857863,0.809828249652223,91.5247367526281,21.7415319841065,3.438127081013,0.64230914759617,3.29046336764713,1.38329106397764,0.0059606207624185,0.0558607746829196,0.22727597462713,2.694022,0.5338842,0.683962,0.02034075,2.09047,0.213365395971114,0.305986775467813,0.0059233407152777,0.407893266549624,153.803524686402,17.7514736362823,29.361960466118,0.592876262353998,74.2533841587928,279.177777777778,1103.75,119.248837209302
sub-010010,33.6901898135009,5.38483905543684,4.16473188121443,0.56118747776721,9.17245928739082,0.687482076379102,6,108,0,4,10,0,2,4,60,0.0693565487661413,0.1703938647696,0.19907775359027,0.0219271694820392,0.0377728205712296,0.0142226134508455,0.0049537271519282,2.95945670886036,0.557532544420598,1.81823795930814,47.1538824667392,1.62820585405881,0.556993354892964,1.16700505806233,3.2066226396311,2.87956181651149,3.06736845242925,2.99061993789497,871.25,183.859615384615,983.325,111.456818181818,5.02736270469558,0.715815174550675,1.88943689876444,67.3801299446613,10.7696265974212,8.28667889925927,1.12237289360542,18.3433254358869,65.408848,70.334752,2.2496,66.74488,1.6128,0.0011285289242293,0.0012740214002908,0.003485041909907,0.0039554098972758,0.0035322625904741,0.0013120040758988,0.0011913528285718,3.99672349253783,14.094168236273,12.1315670773648,13.7732895382623,9.78007951082387,1.43716160587326,3.642075454,1.397947614,0.4431147859,0.676481430974994,0.156559758907191,0.2659299177389,0.183534907289925,0.198386928015404,0.224399798298169,0.26550641710483,0.200098695458443,0.292340173099473,0.578741479520572,2.24163593914558,0.016177427115438,2.52259352852859,0.618975451535314,1.47979933688713,0.741996939251696,55.755502784163,19.134676515555,3.53278550465918,0.608079568236699,2.93082398261738,1.80255610320153,0.0054759517112443,0.0466329305754916,0.223406834829659,19.20129,0.6372564,0.6214154,0.09997597,1.341577,0.262217628143071,0.240748127113213,0.0116595586449759,0.310687436426481,69.9061974246596,12.2669147813522,7.87696043210694,1.1286500137218,19.4741409578859,239.28,1215.625,119.814893617021
sub-010016,5.62913327050264,2.57603981315379,3.85561755531042,0.530531992798225,3.76657748994653,0.66082520831684,2,18,0,2,0,0,0,4464,0,0.0742857127295393,0.158967569695717,0.211682452664351,0.0216653747530003,0.007091863441258,0.0036544775573516,0.004076319654077,2.88856619295735,0.52755395704439,1.81646797537852,18.6001752872553,1.63980931458183,0.576384324812543,1.14499230666685,3.58295938642403,2.76435382760928,3.07419010460118,2.86326941132583,359.75,175.51724137931,967.9,103.863114754098,1.69586495846036,0.75220846709505,2.03892947962942,11.2581615909522,5.15207779464295,7.6831753589263,1.06106261612756,7.53277879282023,65.29772,65.90732,2.3504,61.171128,2.3622,0.0011708167412702,0.0013033054276297,0.0039090992902053,0.0044003977803807,0.0035550888397844,0.0016979829067046,0.0020052176387973,4.75360010364926,12.5951814291228,12.0255957044461,14.9179826490428,9.36549743400936,1.63156286786204,0.6617630293,0.3742687777,0.3878556074,0.811288334549508,0.185878631826906,0.315712871512158,0.118390524465804,0.247614361390417,0.243222582091919,0.234349092538617,0.172459498850945,0.230172590579147,0.790550369886645,3.68222953893275,0.0585582597548353,2.15277718138247,0.548348648603481,1.14285858373085,0.71301825387467,37.4525124066893,15.3034022503217,2.86833867685745,0.612641687285864,2.82241044792484,1.81797490317091,0.0071975615175819,0.0689098264761544,0.248104000855292,2.189702,1.703304,0.3703979,0.5068477,1.353541,0.343781437546012,0.342878590392769,0.0355477256573556,0.276025420043298,12.0847982350035,5.46195591033167,7.17449145904765,1.07918103361303,7.19852419958459,215.06052631579,1215.6,119.507272727273
sub-010017,9.56387920317748,2.27315746539828,6.45766116502679,0.294638208147523,3.39327837961852,0.683163768861684,30,6,0,10,54,0,10,0,0,0.0710051825226699,0.188043190974531,0.185418285875137,0.0190670870554883,0.0333890664661064,0.0234270247055738,0.0087654945543538,2.92277677603707,0.579970127528333,1.78990585287217,21.4967554694138,1.68148246567772,0.524345182974819,1.10567186553314,3.51821950175644,2.73996599678042,3.06920084071754,2.88720518232053,1639.625,159.619811320755,1063.55,95.95,3.03252913646169,0.703210146830443,1.85993534725344,19.1276669584305,4.54629979764907,12.8818874676684,0.589274122461321,6.7855046318605,60.837104,61.04672,2.9953,56.538504,2.0962,0.004868483113224,0.0013418024776774,0.0037314244426434,0.0046744083277714,0.0035500133593489,0.0015210438004068,0.0016293807057661,4.41247963374669,15.5515365086008,13.0622627352482,13.1270924706656,10.1622183498956,1.42432458285066,3.238374077,2.250088418,1.018752649,0.75096549937388,0.237123362195294,0.272117820487432,0.178077334634018,0.25998229857146,0.23581699489796,0.218407896790151,0.186378450461284,0.188858089635089,0.529741535735371,3.84443354388361,0.0325734795100918,1.98510805628302,0.608859905865124,1.27097232197496,0.753714811249546,50.0603906961948,18.148463610986,3.06739274512109,0.621881670298069,2.96271713838993,1.77226764003108,0.0054176935395508,0.065033427776076,0.208100340495873,4.42224,0.5810292,0.7827736,0.05715804,1.444673,0.247648501128994,0.349268027146801,0.0211950061724233,0.259735588446827,22.4795059703822,5.04839551193911,11.7917496126342,0.579136471013362,6.43973334979556,215.877777777778,1319.1,111.977272727273
sub-010019,9.06798998349092,2.95500539115257,3.73440491323243,0.396751218819761,3.57836550813366,0.677539847912878,2,12,0,14,110,0,0,140,0,0.0616165666304151,0.170270775031997,0.170985159771529,0.0133402436210877,0.0579729683395997,0.0139320501318435,0.0062715781017926,2.87709278363651,0.597312698805864,1.83533993694124,19.1402808277496,1.53751241146934,0.558365495045943,1.17344389743628,3.33094508187617,2.93814940132254,3.16659655465018,2.98624218721322,527.325,199.709090909091,1007.175,111.007272727273,2.49433225209501,0.747737500542159,2.02280973947903,18.1359041668533,5.9099979356449,7.44774610078852,0.793498569669744,7.15616232078743,63.645552,55.766248,3.0133,63.284552,1.5633,0.0011129204227088,0.0011146567503311,0.0037565263536409,0.0041596497352901,0.0037315393067484,0.0018772243232051,0.0016353684013801,3.71153755998562,15.3220942246256,11.9113559086536,11.8880076548687,9.65547876964686,0.873452433475574,6.334320812,1.061777647,0.584613293,0.773384851970869,0.0441908943655956,0.295866490705365,0.150036144750159,0.0952054136648375,0.22849275998872,0.254622566759883,0.18690407478507,0.335522805777258,0.699002260254656,2.16967340370507,0.0343648970934114,3.38127008693484,0.59857056339861,1.38444654764375,0.74451651034153,52.1602039553084,17.3759958305601,3.28593390797545,0.623694601315112,2.92570884391607,1.87161190715771,0.0066274962431167,0.063004666023963,0.197127659685876,3.686681,0.4301326,0.3699583,0.04827484,0.9536505,0.304805400006492,0.230762722679015,0.022552245229786,0.366112034049053,17.0662112526825,6.31344608145905,7.31348115436891,0.781055445947351,6.99801445544547,247.208333333333,1263.6,119.85
sub-010020,22.8502175795408,1.97708953367324,4.36085247136237,0.418095530306637,7.50170229488539,0.706768634518019,0,0,6,12,88,0,0,60,0,0.0728991674343909,0.147895584100287,0.156125472976493,0.0222332308400437,0.0359148524758116,0.0115959660820675,0.0069256723059786,2.94324053579971,0.540183763908547,1.81869442866537,30.9072370020783,1.71899851197248,0.507424715978883,1.13273851964061,3.1196133797663,2.90499207512513,3.00759389705588,2.93065829377273,1007.025,167.742,967.5,95.1966216216216,2.84732141540188,0.687190077874603,1.77183413674413,45.7001482591335,3.95416548371169,8.69098110924979,0.83618969034592,15.002690281391,69.690624,70.238848,2.1335,56.715736,2.1279,0.0010079102471545,0.0012673125072298,0.0030301337479934,0.0042735631489836,0.0038294828532837,0.001410162113144,0.0016669501640656,4.59180366270861,17.5623941181587,11.1856444046024,9.91813314014848,9.780970073797,1.82385922679057,3.453293259,1.053026862,0.703055514,0.737424480744701,0.0919152869512862,0.346593182092868,0.160654712877321,0.274300692583607,0.166823913270375,0.244639815850212,0.217367453859171,0.371268133695166,0.311106048448574,2.27201706168688,0.0186202124493809,2.42689952100725,0.697911329059391,1.53821796082226,0.786103043828611,70.0052208464236,21.0069319287741,3.64023605464001,0.633080493365563,3.09307205598512,1.76604651720462,0.0052353038033473,0.04939709384681,0.208083770013969,1.502225,0.254696,0.3471682,0.07013802,0.5084039,0.159546202227369,0.242859328107716,0.0132985919719518,0.301943566038004,42.7959327479875,4.16854786768664,8.47872159320672,0.810039348034541,15.4817465468472,199.786111111111,1175.0,103.683928571429
sub-010021,72.9665197340315,10.2036199923762,12.101826480837,0.70277109962938,21.7858295921376,0.68618855280034,26,8,58,10,0,0,394,38,14,0.0664167780164861,0.163940607177785,0.198922129122518,0.0169908029810149,0.0350628547069515,0.0117047614236749,0.008085028744145,2.92076176315295,0.576766345183619,1.82946408790419,98.114781530875,1.55973373210856,0.546030593036581,1.20760625740257,3.09800009790432,2.882905393044,2.981245315369,2.98746479721308,607.3,199.67619047619,1087.125,111.177272727273,10.9492780438969,0.696179103227546,1.80538626658937,145.932271777747,20.407174225016,24.143440769331,1.40553634606255,43.569333176538,61.063128,60.221752,2.3299,64.9556,2.5655,0.0012664181432629,0.001348170415317,0.0035473655028892,0.0049319741517289,0.0037723444315055,0.001197100442303,0.0012198772487881,4.1811100127476,15.0118382997424,11.8217567261379,14.1807782050919,9.73237869398478,1.26705906451144,3.285303265,0.908382864,0.80300627,0.705745999868834,0.0868518123120109,0.240884412473274,0.184871017903553,0.246250740997615,0.231115211754604,0.236441223250841,0.267240403793175,0.284479027162541,0.478669223563233,1.90105318434607,0.0120913372702459,2.58125289578507,0.665234034984981,1.45565467837305,0.762603086432109,69.1480896364896,20.8606922895944,3.4065708160062,0.62240942340294,3.00165049360848,1.71240286823922,0.0059824974357288,0.0515912363149005,0.217351761849279,3.996685,0.7716295,0.5558826,0.04727951,6.059575,0.230318560347887,0.209241291600164,0.0089849360751006,0.314600668583547,137.885832694601,22.3496129083675,23.3002779799658,1.50655707647513,43.7063230322917,215.530555555556,1183.15,127.403333333333
sub-010022,4.97926341675102,1.15882845482673,3.61771866849401,0.270588690587608,2.7993904335239,0.697909074048521,4,0,32,2,56,0,0,72,6,0.0670551081660546,0.159916476824061,0.148527875840379,0.0179925563208185,0.0068951737666703,0.0029526579552977,0.0025661313162243,2.92483328968203,0.591004602364814,1.79341274761724,12.8931715918106,1.87392090794885,0.528896128372767,1.09373142399242,3.14449228552911,2.76413510783313,3.13414931775596,2.83572433569874,439.15,159.483333333333,1087.325,103.476351351351,3.80198117313683,0.711344728326973,1.87973953100969,9.95859351998863,2.31765935938554,7.23041671469941,0.541175245105183,5.5983178365767,61.898576,61.830544,2.3865,60.147,2.8253,0.001125602022705,0.0013098170600706,0.0040264037889144,0.00447238824788,0.0040996094752776,0.0017322506406246,0.0018303817785622,4.29258395459155,12.7410059571059,11.1163531986754,9.71847558006159,10.3572520027979,1.36097346475555,0.5964191514,0.2571930269,0.2400906368,0.783034219480785,0.272119581240197,0.37304544697295,0.129094387455055,0.441267625320049,0.342798006870084,0.248969283810549,0.378579161750017,0.222445454741817,0.458905600460037,4.48302696978067,0.0615498043868906,2.85182996741678,0.606586940057266,1.10495610359445,0.749835310302831,46.6604196326554,16.737623255555,2.76743339418415,0.621176446362288,2.93316261057692,1.76032480680536,0.0062826986210767,0.0645621544686225,0.208261798343554,0.9827296,0.1655448,2.198388,0.03060375,0.9445375,0.222088406570834,0.386620491383288,0.0369044998486357,0.342500607343988,10.8915804567226,2.38893396201834,6.84512219211476,0.550994500100311,5.47427594810106,183.607894736842,1359.38333333333,111.914492753623
sub-010023,15.5978068411417,3.57699512170099,9.77364672437744,0.44901336761088,13.0749546909068,0.696160205027453,2,20,4,6,6,4,34,34,0,0.0555104758859774,0.175107990740644,0.19587105640845,0.0117414844862113,0.0246867569483329,0.007186934840325,0.0034800797785215,2.84969832624911,0.598228718144149,1.78808052700077,37.9034118257589,1.71396866799861,0.516218841258363,1.16189512073596,3.37619970766078,2.99476168278604,3.11949111011566,3.23247028846031,583.866666666667,247.703846153846,991.25,127.484375,8.87576348014866,0.697649217878057,1.84362584720164,31.1955283377464,7.1539756361685,19.4525822336621,0.898024767608983,26.1481431060226,64.228984,64.378856,2.4283,61.532616,2.165,0.0012172843528397,0.001295756235152,0.0046477717162301,0.0047327088745652,0.0044987514447776,0.0015679683634762,0.0016374743127763,3.27749209249917,10.5199698716726,12.5461388581394,14.4980128947106,9.16568151925645,0.750910076240825,2.690989955,0.605180462,0.3030650762,0.800439712660404,0.570398757821986,0.412700165039217,0.110806415659198,0.63158459179464,0.457975701780391,0.229483913942099,0.88380734919876,0.458685378585109,0.567094609343599,3.48611131297874,0.0229374096678819,3.0121048043632,0.636719467289229,1.17694746087511,0.765839104899475,70.4262457312569,19.5239937948182,2.86803481064617,0.628149671286616,3.09210622680738,1.59141530634777,0.0075780152413878,0.0662286977900446,0.243458326300941,1.6687,0.5171548,0.6704319,0.03991448,1.881317,0.254866070418756,0.328021744198636,0.0157573060272069,0.349639357132868,35.6568177236273,9.10494811193551,19.6241395994088,0.899101293123334,25.7908019345344,303.168181818182,1223.9,143.567857142857
