"","ampl total power alpha zero","ampl total power beta zero","ampl total power delta zero","ampl total power gamma zero","ampl total power theta zero","approx entropy zero","betw cen e-icoh alpha zero","betw cen e-icoh beta zero","betw cen e-icoh delta zero","betw cen e-icoh gamma zero","betw cen e-icoh theta zero","betw cen e-plv alpha zero","betw cen e-plv beta zero","betw cen e-plv delta zero","betw cen e-plv gamma zero","betw cen e-plv theta zero","betw cen e-wpli alpha zero","betw cen e-wpli beta zero","betw cen e-wpli delta zero","betw cen e-wpli gamma zero","betw cen e-wpli theta zero","clust coef e-icoh alpha zero","clust coef e-icoh beta zero","clust coef e-icoh delta zero","clust coef e-icoh gamma zero","clust coef e-icoh theta zero","clust coef e-plv alpha zero","clust coef e-plv beta zero","clust coef e-plv delta zero","clust coef e-plv gamma zero","clust coef e-plv theta zero","clust coef e-wpli alpha zero","clust coef e-wpli beta zero","clust coef e-wpli delta zero","clust coef e-wpli gamma zero","clust coef e-wpli theta zero","correlation dimension zero","dfa exponent alpha zero","dfa exponent beta zero","dfa exponent delta zero","dfa exponent gamma zero","dfa exponent theta zero","higuchi fractal dim zero","hjorth activity zero","hjorth complexity zero","hjorth mobility zero","katz fractal dim zero","kurtosis ampl alpha zero","kurtosis ampl beta zero","kurtosis ampl delta zero","kurtosis ampl gamma zero","kurtosis ampl theta zero","life time alpha zero","life time beta zero","life time delta zero","life time gamma zero","life time theta zero","lyapunov exponent zero","lzc exhaustive zero","lzc primitive zero","mean ampl alpha zero","mean ampl beta zero","mean ampl delta zero","mean ampl gamma zero","mean ampl theta zero","microstate A zero","microstate B zero","microstate C zero","microstate D zero","microstate E zero","mod index alpha-beta zero","mod index alpha-gamma zero","mod index beta-gamma zero","mod index delta-alpha zero","mod index delta-beta zero","mod index delta-gamma zero","mod index delta-theta zero","mod index theta-alpha zero","mod index theta-beta zero","mod index theta-gamma zero","node str e-icoh alpha zero","node str e-icoh beta zero","node str e-icoh delta zero","node str e-icoh gamma zero","node str e-icoh theta zero","node str e-plv alpha zero","node str e-plv beta zero","node str e-plv delta zero","node str e-plv gamma zero","node str e-plv theta zero","node str e-wpli alpha zero","node str e-wpli beta zero","node str e-wpli delta zero","node str e-wpli gamma zero","node str e-wpli theta zero","permutation entropy zero","range asymmetry alpha zero","range asymmetry beta zero","range asymmetry delta zero","range asymmetry gamma zero","range asymmetry theta zero","range coef var alpha zero","range coef var beta zero","range coef var delta zero","range coef var gamma zero","range coef var theta zero","relative ampl alpha zero","relative ampl beta zero","relative ampl delta zero","relative ampl gamma zero","relative ampl theta zero","rqa determinism zero","rqa entropy zero","rqa laminarity zero","rqa max diagonal zero","rqa max vertical zero","rqa mean diagonal zero","rqa rte zero","rqa trapping time zero","sample entropy zero","skewness ampl alpha zero","skewness ampl beta zero","skewness ampl delta zero","skewness ampl gamma zero","skewness ampl theta zero","spectral entropy alpha zero","spectral entropy beta zero","spectral entropy delta zero","spectral entropy gamma zero","spectral entropy theta zero","std ampl alpha zero","std ampl beta zero","std ampl delta zero","std ampl gamma zero","std ampl theta zero","waiting time alpha zero","waiting time beta zero","waiting time delta zero","waiting time gamma zero","waiting time theta zero"
"ampl total power alpha zero",0.995525247945563,0.434665643013698,0.478999950849853,0.0773834597185891,0.694887582134507,0.371345761382352,0.0106579690375125,0.00478666701698968,-0.00962437745267599,0.00312056196839138,0.00179078810913561,0.115532820889079,0.0159230768061642,-0.0237153283928556,-0.0133513179522335,0.0967071081342886,0.0103618629209478,-0.00971670851240267,-0.0366783112278177,0.00625545621825516,-0.0044367064784913,0.0199616934097276,-0.00469130381240872,-0.014777647511805,0.0123916267647292,0.0299873195603521,0.202526670084513,-0.000738754705232874,0.0447067446247507,-0.00156828680128716,0.0298075080356287,0.0442402939489533,0.00283211955073202,-0.00215550632428298,0.0107601712065163,0.0136413578753023,0.00703491570704365,0.0293518122968484,0.0207549053269604,0.028640051170674,-0.00235486515826297,0.149799479245101,0.0370777645394255,0.95599455264269,0.18728698165557,0.372790003566373,0.664012404165518,0.267771300399289,0.0508092815192699,0.592764141371409,0.0681615819524645,0.170006312997714,0.304969602898662,0.194382342977961,-0.0101054190423705,0.0892034894913766,0.0490695509147396,0.209533389928971,0.587713939903566,0.590656031573414,0.999999999998134,0.434664147201893,0.47383282440931,0.0773829360198915,0.694855070319432,0.0956644005997504,0.0240767516431182,0.232013959891598,0.032557687625665,0.149298044084925,0.268830522319479,0.181198304218364,0.0730386069891634,0.213566329992,-0.00844073791858497,-0.00698140524471141,0.0467700692214011,0.448446079734213,0.407986052502094,0.45967003707427,0.0202664865940146,-0.000512428200264427,-0.0136454267254156,0.00795411230032699,0.0369898052604328,0.212463082437435,0.00942615402919761,0.0391371610546481,-0.00100123503428742,0.0470425824383101,0.0456905953264404,0.00444375535280976,5.72368854554127e-05,0.00809041225005696,0.024213725850471,0.675210115904244,0.61895872082679,0.0858757697515665,0.0301483116566475,-0.01466182961438,0.0927276807618077,0.127546032269507,0.0213025031324203,0.0477138527911889,0.0334952534438737,0.132856689498246,0.616994372842148,0.286977096671966,0.491192352097138,0.464216708569292,0.0401830333260362,0.635674704176162,0.479668344309588,0.493566590553496,0.522011420161559,0.401942765506214,0.572121041252145,0.243997160109696,0.301972979768156,0.615074803449738,0.236583062456312,0.0380498773304056,0.576003433785339,0.0722341303074107,0.175361734790737,0.535457464908087,0.315435399957991,0.508482732758944,0.495189280064898,0.0547108647989725,0.980185232288974,0.424392977802451,0.516872426431314,0.0795477482650988,0.707317111594965,0.408540605235001,0.0664396470350527,-0.000907696087212598,0.105505309050454,0.111090684663438
"ampl total power beta zero",0,0.996724702951092,0.467226769630132,0.40471652942653,0.238891823846765,0.0342136645169027,0.00820301673695184,0.0088091503385561,0.0206631271692929,-0.0220980853530061,0.00579246442236159,0.0146975255035249,0.0186582359205901,-0.0130373371266877,-0.00692432698906784,-0.00567640910459588,-0.0119173313634606,0.0197173494998018,-0.0108463247728986,0.00505273195913284,-0.00648708113494803,0.014129108998987,0.0119257166313499,-0.00983573402420115,-0.0162847769883491,0.0173240750390264,0.007342195998503,0.00818051461916046,0.113419829479598,-0.00270795775871071,0.0918583436915884,0.00732591490322398,0.0146611191942436,0.00257979913800338,-0.0164322834653686,0.0181962847656463,-0.00157990327298121,0.00271638915253572,0.00472595827516792,-3.57869317804081e-05,0.0224694094116136,0.0401443293205722,0.217655824712977,0.588608483523611,0.495177620079243,0.0118206026819774,0.849832803793143,0.0750667846274353,0.0124227154675508,0.231329845819333,0.0452258872073922,0.180768808797573,0.054068193594485,0.0217499218136126,-0.000704719475304541,0.0341525596781758,0.00136152194732181,0.48986477591887,0.0421571771197348,0.0490611079541643,0.434665156984572,0.999999999996651,0.464200933581481,0.404715463887926,0.238871485418061,0.0192161450383886,-0.00925190655986115,0.041479547910319,0.0386853804775066,0.0158897924718291,0.0817567928166619,0.0550863582422391,0.0819278521161682,0.030753777150597,0.0111147743154612,0.0187209785253755,0.0977524219150992,0.0597445937775966,0.135481135058264,0.12325306867146,0.0128591788636235,0.0122498155335984,-0.00952375157155937,-0.019007236205726,0.0127010127134376,0.0233685622790964,0.0191575822802946,0.101728088192641,-6.98364302303069e-06,0.0983221210775999,0.00663522111796054,0.0137477976115491,0.00404773029368569,-0.0192895406616368,0.0104634941629918,0.220448098036676,0.145960295885468,0.106828410078385,-0.00481184396822421,0.0159793492400822,0.00667548724051216,0.0685138385430899,0.0257705471577673,-0.00294210826089575,0.0582725216497209,0.0405165179767633,0.0952198270255372,0.0396419739454756,0.284574161152981,0.123404145596028,0.170100484545284,0.118427798981697,0.462055496340135,0.0508101788185916,0.046444673493973,0.057576429324899,0.424963277437687,0.0502087968655636,0.0143482986254367,0.142190890765787,0.0975799355108877,0.00178037816463773,0.25062263137932,0.208023304044078,0.0104255728375568,0.117566978568758,0.0311081081235072,0.283676535499944,0.130751478062729,0.19112972060805,0.462909308507628,0.997368569582369,0.460670332472825,0.399062385293176,0.257646438696177,0.0773878370992499,0.0763860681379046,0.00454358208119491,0.0404887879996874,0.0138610586883805
"ampl total power delta zero",0,0,0.996029373804463,0.197399276339408,0.529188030398105,0.192149295215363,0.00539087355235225,0.00247272347377447,0.0336149752286114,-0.0153196897144035,0.00887632657731935,0.0375115790270535,0.0169126394418873,0.0240736434607413,0.00264943823473116,0.0168035367930077,0.00360917070544499,-0.00670034254988052,-0.00564277794386022,0.00177987011800261,-0.00880424241442273,0.0212363102813595,0.00246676594403489,-0.0137113594629572,-0.00520678294552901,0.0150028807070072,0.013774313847546,0.0421860811668912,0.0723310626977989,0.0339757677194433,0.0214497948465711,0.0124047050634968,0.00307550156967349,-0.00830377002076642,-0.00311438629710878,0.00888513064642423,-0.0170630057167707,0.000953600402315004,-0.00674410765753401,0.0147907899177956,-0.00549226292231953,0.0312814109869585,0.0588356398786275,0.620725034801607,0.0845366915594483,0.205828978048508,0.53981864796327,0.0181628979739157,-0.0113593635799067,0.271959111182822,0.0326467267564527,0.133801807580245,0.0122240697746117,0.0222508272880989,0.128519418193778,0.0261477591785002,-0.00212350199490197,0.109198622331996,0.202938396166514,0.202887893757596,0.478999446525853,0.46722611742107,0.999965377111087,0.197398623187829,0.529176801274347,0.0151245565569364,0.0166462941854695,0.0493896376920114,0.0540934328150112,0.144273128173304,0.0525898672668043,0.0142425232139802,0.0412691189789806,0.0427582029513772,0.00385560754323415,0.025220079873522,-0.00533178555745703,0.0188606602650357,0.0671448285041793,0.0559221680860905,0.0213544840009252,0.00141444080287603,-0.0118805240155546,-0.00600331527274871,0.0123176964196659,0.0218588665730362,0.0529388074768088,0.0624801764007199,0.0400028592973536,0.0295346352026659,0.0155589420733853,0.0020056523737309,-0.00333255681792138,-0.00538656028853722,0.00264056810771694,0.243015044695808,0.201250805526683,0.0257085484944837,0.0708708871565058,-0.0157152217068649,0.00383227903397837,0.053773415992384,-0.00745299363342069,0.0849778459311621,0.0208292074610769,0.0349288541066466,0.0945119853636752,0.104024014798314,0.054126855847811,0.198839514672552,-0.000387434735229685,0.262737165798321,0.186899640623037,0.245806772328432,0.263987104812008,0.214051194229103,0.189543356524739,0.116601152628512,0.197837308295462,0.273134877442116,0.0105932401185398,0.000632579800360675,0.10473307841559,0.0417369048974131,0.00257531493179388,0.0902466353875401,0.117546960559269,0.0516536148201938,0.215194309626687,0.000928376621935237,0.527067102267377,0.473347097603146,0.991912816622106,0.192659183192003,0.564361610536098,0.0384695493890831,0.0278011855140673,0.176113279670829,0.0350285206170518,0.0401251337138609
"ampl total power gamma zero",0,0,0,0.993363068608775,0.0383635609936819,0.136833166497953,-0.00437674847016479,-0.0106800588601991,0.0129191617770646,0.0681841157319514,0.00432528248913894,-0.0271561126171292,0.0403986854211384,-0.00494009430321389,0.139566077162744,-0.0237079945289187,-0.0209070023475452,-0.0212138437303925,-0.0113099526273222,0.057874310295003,0.0165179485183563,0.0142199737704225,0.0113275276451768,-0.0132682139897415,0.0686932342708659,-0.0174343073096521,0.0320668486998667,0.150204462282288,0.0342504432724909,0.125793018709504,0.0579706861977932,0.0146497219772774,0.0131861386519427,-0.0143972250362534,0.0626130143820765,-0.0134495083755134,-0.0102167366745521,0.0249223093236164,0.013164686740299,-0.00550209660581515,-0.0103951708430835,0.010936525513472,0.18081153582102,0.153887883856553,0.15409405939652,0.159182122166148,0.408675120353372,0.0182720583216752,0.00232322346831179,0.000856844072660899,0.0523093032569065,0.00749465561297174,0.0358460734534683,0.00472094752870085,-0.0110601076003854,0.0773624389206693,-0.0034713308751818,0.0960654013074713,0.0813317735795435,0.0864430384272016,0.0773833023923144,0.404717002804077,0.197086005862673,0.999999999998144,0.0383589624789776,0.0181576746211384,0.00604371679595909,9.90092459377803e-05,0.0229089320666049,-0.0144873825583818,0.0419598970687535,0.0769995132943322,0.0250111059714361,-0.0049841546883399,-0.00305639113575662,0.00846662161965612,-0.000110292302158264,-0.00491357852162303,0.00422131013484969,0.00777857167628693,0.0132856233969968,0.00824879926069241,-0.0119266326672449,0.0715851585602392,-0.0183472798926824,0.0440907140398171,0.176549704456741,0.033010118973066,0.13404456043897,0.0612421333083109,0.0124112809406233,0.011993386905489,-0.0126312826465832,0.070284870556555,-0.0177164667427925,0.0445407985470632,0.0280378746948321,0.0229372782528877,-0.000810232900469149,0.0381561407909395,0.00977131443362803,0.0274028892798025,-0.00946569761330355,-0.00835650624558994,-0.0154761356957285,0.00887525767166109,0.0155328636635704,0.0742513429288549,0.0459071286191228,0.16567651261638,0.0783857755878912,0.0360313539727247,0.0738662982676564,0.0985563545748176,0.0378416564803075,0.0514944537715555,0.0608670172258465,0.115957987264988,0.0967408015582066,0.0631752484291181,0.0101103652384809,-0.00845228329273126,0.00707513192993272,0.12042552217931,-0.00591136110181579,0.0172006758437979,0.068718144598526,0.0455900672736022,0.146853222543145,0.0882755060863257,0.0798657888575999,0.409514290984688,0.17837626797901,0.989112781633707,0.0425906826579743,0.0306293056627773,0.00527828534597211,-0.00506471204248605,0.0826397756337404,-0.0108463188356285
"ampl total power theta zero",0,0,0,0,0.996261099586623,0.452590525341959,0.0244349199034119,0.00960308268410441,-0.0275525263569659,-0.00953836281361339,-0.000525847973063152,0.0628944388063153,0.00841562855098725,0.031468955125044,0.000984539632506383,0.150682840656906,0.0239987082226249,-0.0172728153567713,-0.047896579775606,-0.0102152408667655,0.0283806219118719,0.0170327104935004,-0.00977522904822592,-0.0191438467573582,-0.0126785820997238,0.0848678529135764,0.0834881354867865,0.00690853459618557,0.0551117814843461,-0.000923009272203809,0.0910877857120631,0.029388422696159,-0.0119445512595937,-0.0113517933664669,-0.00804706924652417,0.0749890326394675,-0.00599235862709494,0.0170276713798234,0.0374747877636872,0.105825499014631,0.014880848485329,0.227258297182767,0.128430516849598,0.715665922890707,0.0644548966483287,0.515436095373245,0.419381128184083,0.140937510842905,-0.0112602040453097,0.489077995513631,0.0374095389949669,0.103717839674608,0.116084094305665,0.151504798875964,0.0375288332788984,0.0572007898170653,0.236029190823501,0.0499598377354682,0.592977301995187,0.588488996712489,0.694887080112881,0.238890942036456,0.525751544894632,0.0383632298547981,0.999999998109165,0.0433403224649206,0.00215859760026598,0.0660679049677593,0.0639082559884683,0.12365589149495,0.0972186919922613,0.0680053408480672,0.0345806511557362,0.149557952958615,-0.0150977216189385,-0.0131863163693449,-0.00555299919414159,0.40621731474181,0.415286641693363,0.475570876212401,0.0173833220212289,-0.00401345345494156,-0.0190534131704334,-0.0154637896064714,0.0929689952126788,0.084839301781331,0.011402790662235,0.0460187941094379,0.00317345766996311,0.0961164966037813,0.0286971138742873,-0.0068760508411879,-0.0124492247990164,-0.00954417024386699,0.0886409273555912,0.555168207252726,0.411287842060943,0.0311900460632119,0.140264279824306,-0.0151594204059168,0.0590822339862923,0.046980171069269,-0.0176489217723166,0.166917400829833,0.011399421072297,0.189106737191527,0.348172349511425,0.39249933172888,0.307562270679548,0.414964295217692,0.0818670291439535,0.620904087567518,0.272444190782727,0.583741827868407,0.646320523187662,0.475486661820742,0.320690197576724,0.336197755410556,0.474870695454872,0.600291282212239,0.0587569665088121,0.0467152895552115,0.340756299044319,0.0343492462199941,0.406937604165029,0.32190148695934,0.42087945967456,0.307016488058921,0.447071787465816,0.0507721544083182,0.721141573959461,0.240760196972455,0.558583986381942,0.0392643544415323,0.992364591403096,0.212090011834984,0.0378789365631512,0.102973075477592,0.0672282529746127,0.335981051662193
"approx entropy zero",0,0,0,0,0,0.985623720043873,0.0101413847136766,0.0183620213591124,-0.032887607914492,0.0228830786637302,0.0311039476475566,0.0690324468035363,0.041050003321872,0.0186011178218778,0.00471427674960708,0.101876398267936,0.0289537341452212,-0.0236315658951499,-0.0209486906083281,0.0139449475919053,0.032947681799343,0.0226311086485309,-0.00690057511491689,-0.0157366455781059,0.0103152943734769,0.107338799753043,0.152450036166233,0.0498573261921153,0.0235840577253618,0.0412000366554643,0.152669791147043,0.0394084025710669,-0.00816525990726985,-0.0113609394426503,0.0109432926048296,0.0926852006559864,0.074190052637549,0.100373573891159,0.106741661118931,0.138651878077852,0.0396841747334468,0.330686148012781,0.276815437952751,0.308167223363814,0.114504203583311,0.939605643119188,0.0913902233959612,0.0879249349090297,0.0303846249169159,0.370210579554646,0.0802824435971639,0.152946932337758,0.221952797849151,0.172812312347842,0.0196714810708619,0.218993568732299,0.17944730135379,0.0771808892881137,0.842171840861903,0.862517302739704,0.371345621764282,0.0342133304765461,0.190683169109987,0.136833512938823,0.452585998407096,0.0663507588700222,0.0221261122970304,0.115855628421247,0.0847071556317058,0.18432796762683,0.0887283703058319,0.113654650164665,0.00950891329854715,0.131823424890559,0.00542619146138052,0.00120832502243213,0.0195231742072746,0.375973708295062,0.444892418805862,0.394524100065486,0.0245761340661263,-0.00200132988088149,-0.0154850950349437,0.00903193106378442,0.112958094549734,0.172089427324612,0.066015804304929,0.0352897640185814,0.0422785013693883,0.151699995739098,0.0373579829563667,0.00258105337595361,-0.00741517940030172,0.0135103961832484,0.101260375422002,0.664582778401956,0.243266384923418,0.0585865558515508,0.173832012801217,0.00366970611286624,0.0365404219903677,0.0190937969175757,-0.00288617467108213,0.210778323787912,0.00801103564359476,0.257587361698896,0.449613988561923,0.602979228824695,0.207492407696808,0.806072187742773,0.109529250909188,0.784567392545456,0.23436128342312,0.925839857189677,0.790782585092242,0.662331755724369,0.244282498720559,0.692923467251069,0.791882624570074,0.78066714272322,0.130289993227735,0.0951755494065771,0.28709730287734,0.106441349488213,0.290790958088034,0.477338478014498,0.63135232617391,0.205855952526622,0.813730802692386,0.0935928907552871,0.383120761279564,0.0344184607615669,0.213006476452594,0.1497988106983,0.457882299574817,0.293193324016634,0.0817049351668704,0.0568454633575548,0.245963485573655,0.270575696947093
"betw cen e-icoh alpha zero",0,0,0,0,0,0,0.176390438953577,-0.0386759141386703,0.0228655659927644,-0.0100193503290138,0.10060331598657,0.234443327815655,-0.00119591515415436,0.0196967702391812,0.0222241836150058,0.0663973839736418,0.527676155027967,-0.00678768750054195,-0.00621011545970233,0.0247367248207033,0.0521845894896816,0.259280340793836,-0.0153551506561126,0.00988861577401503,-0.00318159537158446,0.103080938978701,0.0918850814476719,0.0111023383750677,0.0262104577597032,-0.0216171384270734,0.056031920873491,0.219829185573265,-0.0046260488508566,0.00228804545025816,0.00620307353511889,0.116415712103121,-0.0226015511536847,0.043860970122541,0.0330687356597054,-0.00406315446583254,0.00846681083579315,0.0518365053310795,-0.000162667096389013,0.0102271971829861,0.0109020145367964,0.0200121917244123,0.0193000378654083,0.0111035155121229,-0.0101593486856128,0.00858685513959118,-0.00653720363428564,0.0183803488770864,0.0530380833575933,0.00918403002752599,0.0153545121932448,-0.00564064372196201,0.0479232027272071,0.00405686732721243,0.0199214460543486,0.0197538044646233,0.0106579057334353,0.00820302690647704,0.005339203616602,-0.0043767646615276,0.0244352021010455,0.0300816157064521,0.0862057487583344,-0.00987297647369328,0.0203605698218976,0.028243246522373,-0.0105784129395937,-0.00288129330219125,-0.0334769533104269,-0.0209571738934716,-0.0233509977666857,-0.00214794096728615,-0.0124068010815607,0.0614050886790324,0.0635607089100065,0.0829099090461108,0.284891114000594,-0.0170079799116811,0.00497273861528114,4.20166724383068e-05,0.106771002820245,0.0848124793494474,0.00567627415009775,0.0149774811758034,-0.0175483305659772,0.038822466335839,0.253438729376204,-0.0105352969308315,-0.000926061868175357,0.00582520559956273,0.118986663000316,0.0409552419512562,0.00307110588997079,0.0154799502232916,0.0105788542260007,0.046805560379618,0.00898948138567595,0.0113283664391212,0.0110858890954974,0.0246485585203653,-0.0155908283983589,0.0888725321691988,0.0408748120535372,0.0257928801232415,0.0826167083023212,0.0329613509253244,-0.0152562708601531,0.0263502728693172,0.0395992782893131,0.0261968978462406,0.048349391602952,0.0532827479739387,0.0373889823838094,0.0241196788908213,0.0411229901011229,0.0340281209403041,0.0382239326061591,-0.00837436277546193,0.0192021971736785,0.0208385990129095,0.0738076300135198,0.0412205313178184,0.0256793923175409,0.0759906605841023,0.03238601907024,-0.0157459764910172,0.0134449785101636,0.00744574795254067,0.00379304447898587,-0.00237895558727507,0.0251779746829345,0.0714940672704406,-0.0077147726705568,1.96459053609025e-05,-0.0110748353982235,0.0499978694133216
"betw cen e-icoh beta zero",0,0,0,0,0,0,0,0.441044190985013,0.00250842943757714,-0.0144588202851221,0.0101123135360595,-0.0221231718830682,-0.00120184578006648,-0.0423213731746189,-0.0336024030760752,-0.0162003378196679,-0.0268514607488022,0.225405257960193,0.0011499167659161,0.00389714966914655,0.000856352151510393,-0.00318962042887562,0.588088362140917,-0.00570799341261423,0.00138400987616485,-0.0049505460253614,-0.0225318736053619,0.0423843812815186,0.0111329306196695,-0.0454531665358399,0.0247938764365584,-0.0136179431735734,0.583920805403749,0.0109168104201563,-0.00715534052780773,-0.00707200517236544,0.0238802794777017,-0.0334917097152063,-0.016227902841373,0.00915877440589789,-0.00151401471622524,-0.0220144806013494,0.0178496666718858,0.0037309440057536,0.0494707960745281,0.0235031191697035,0.00169456486464214,0.0629515508042418,0.0911306761003054,0.0355916908763774,0.0493809928214813,0.00671604704171745,-0.0133249341550741,0.0566047879145639,0.0160044859820239,0.141045758089612,-0.0138324868925956,0.04065041855876,0.0220504697348408,0.0194148403263067,0.0047866557499296,0.00880921194509177,0.00244737959671096,-0.0106801202714649,0.00960275383887577,0.00482036974891421,-0.0151372746194004,0.00843185647861947,0.0165770129143407,0.0657820583310409,0.0108638886193972,0.00123366762004432,-0.00522270651322349,0.0647036942061509,0.0679579540109869,0.0482127833990883,0.00816960820800126,0.037994073270476,0.0188556870297431,0.00445000956761405,-0.00606955747648468,0.629347976346859,-0.00249525724127041,0.0038576897581237,-0.00260109305733117,-0.0224711119660656,0.0126182706521104,0.0110974544732284,-0.0467358345190589,0.0235138295700276,-0.0153937424446839,0.638257642189365,0.0092322934139347,-0.009304971035725,-0.00641549657450421,0.000505330174121996,0.0609100728239936,0.0149475337990258,0.015390822384238,0.0390480150901408,0.0300890432322493,0.0141419749769856,-0.0126877770769835,0.026766910962033,0.0045445404897165,-0.0256393412946926,0.00769895870109534,0.0653283759920436,-0.00987527854209267,-0.0162105100450617,0.0251019873891869,-0.000909069354187467,0.0283795773372014,0.00221992633015405,0.000878563542221281,-0.00290384263943157,0.0170598379924051,-0.00803057862201753,-0.00670856527893019,-0.00461116377291512,0.000180054133492092,-0.0266946921515932,0.017271120190036,0.0370269122940757,-0.0018750392722268,-0.00138708058159028,0.0629940421382204,-0.00819453273645315,-0.014318089864976,0.0258451780345734,0.000350491654870374,0.0123641492764484,0.00543605443159983,-0.0131478995598431,0.0101260382179286,-0.0107674080566687,0.0737967648261055,0.0265010735545968,0.147472787643641,-0.00979307046377165
"betw cen e-icoh delta zero",0,0,0,0,0,0,0,0,0.00579053505301002,0.0257311150842002,-0.0232487029063578,0.00370163562498018,-0.0461047636802062,0.0442979925455899,-0.0387288268879643,-0.00594734413537476,-0.0142387446423187,-0.00752111329765374,0.402728019353757,-0.00512081996816107,-0.023088023332641,0.0146705766309626,0.00620223462117381,0.120482979342162,0.0179595795619653,0.027021294617508,0.00234433952479505,-0.0185790049058601,0.0111443543701205,-0.00978075860770226,0.0262935206176165,0.0125306756307068,0.00186489769741737,0.114201689963164,0.0188938800603607,0.0384232653200342,0.0125991900648357,-0.00510769159750873,-0.000556776920083434,-0.0292195802416644,0.0021984750173864,-0.0200010453526228,-0.020872961103808,-0.00225182955470872,-0.0105399484579953,-0.0272386789448105,0.0258004142721708,-0.020833179601858,-0.00380746876784142,-0.00629744157336385,-0.0178301011832534,0.0416391665757182,0.000580189813854222,-0.00503538182671288,0.0272418125546684,-0.023900404949144,-0.0414475964316059,-0.00201372649462614,-0.0299197765410721,-0.0303495105945713,-0.00962442322289014,0.0206631183383665,0.0337608227171664,0.0129191186297813,-0.0275521236665454,-0.0128374504512011,0.00415852956453325,-0.0164796244734042,0.0151216932043781,0.00590784971746534,-0.0182835206837649,0.00237664522766011,-0.0130989699325071,-0.00778248799844877,-0.0138630152511762,-0.0125640380470524,0.0126385851792016,-0.0432227223443732,-0.0533119444142273,-0.0362193619089128,0.0186267659648446,0.0047873655979302,0.168898002431857,0.023842320984564,0.0242778784267937,0.00235156017270829,-0.0200222432521107,0.0107010132161378,-0.015822130203868,0.0182806173535669,0.017140575924289,0.00195745367564471,0.139270024603875,0.0207025906584938,0.0308995730144425,-0.0309502556579517,-0.0365059596026038,-0.00291923095951868,-0.0293067021024648,-0.0214767053868524,-0.00412075456500487,-0.00918934094838483,0.0243647083236861,-0.022325395355513,-0.00983204424468146,-0.0064326663442278,-0.0174801537285418,-0.00690823989485244,-0.0235573259988092,-0.0390202183139224,-0.0338549610202098,-0.0274384380841688,-0.0011034858707301,-0.0335907218468812,-0.0247498167090315,-0.00256395166620303,-0.00184035239540351,-0.0313910211247814,-0.0175336630131477,-0.0300290381622248,-0.013101687646466,0.0406450909826932,-0.0127223145501472,-0.0216316198417537,-0.0467620173974762,-0.0120471892587423,-0.00701195676372361,-0.0235046476674841,-0.0376638080980636,-0.0280815570536252,-0.00175423882328194,0.0236428737907206,0.0322130752134893,0.0147296293935263,-0.0253939343446116,0.011464032159572,0.0156923604183561,0.00768963135680428,-0.0210456317610826,-0.0354556121107029
"betw cen e-icoh gamma zero",0,0,0,0,0,0,0,0,0,0.607089254208837,0.0178590509522118,0.0010544134783908,0.0160864412464267,0.0296489795672344,0.0172624534878631,0.0130681402207632,0.00697477873880849,-0.0390824270710789,-0.00889762114043665,0.378870440184467,-0.00935307652660087,-0.0177607982101303,-0.0197272917401044,0.0484291599252256,0.741285274775714,-0.0184964518853272,-0.00635190468727575,0.00567919897197556,-0.0140047845534532,0.161713604105538,0.000373338558218371,-0.0184319402945631,-0.0160369898128683,0.0442581168169577,0.873398539516846,-0.0148827382495495,0.0065913955206965,0.00736691400934851,0.00164720690176395,-0.00456562580688418,0.00998561000238431,0.0130341906675336,0.0115530999600984,-0.00352785228680253,-0.018242678847507,0.0246655045808029,-0.0134799292171167,-0.0102078246274912,0.0214085799949335,-0.0165225034512941,0.394927904203827,-0.010494874219006,0.00599931743707424,-0.0235450193239413,0.00921858681991532,0.104179388831537,-0.0155674276039418,-0.0193601362005743,0.0227046591124456,0.0217962977849644,0.00312056153074222,-0.0220980900911576,-0.0153308891138975,0.0681842773814137,-0.00953938930837717,0.0395481263960283,0.00145346703341809,0.00688531868058485,-0.00568108126108452,0.00521851196624759,0.0158591466307071,-0.00858633026702203,0.346540716787118,0.013506857422306,0.00965510060883484,0.15791828795156,0.00325322592609572,-0.00472069090798469,0.0024155290108307,-0.0115732564644914,-0.0144828993599115,-0.0169086812336225,0.048562590171326,0.775847392280344,-0.0156450768617956,0.000322735697977137,0.00366294101775383,-0.0125711800890132,0.12536654889396,0.00844555491433225,-0.0158207873201024,-0.0147311603269354,0.0467071474165825,0.904083013202103,-0.0158337831315183,0.0276558320559286,0.00186201899850799,0.00926937976098982,-0.00615621290473476,-0.0218121246226923,0.00536106085457837,-0.0131071382517237,-0.00304929026506808,-0.00678713285358224,0.0454422572242125,-0.0101462430509153,-0.0025475895540472,-0.019993661184987,0.00811489765310495,0.0710006139674093,-0.0098820495252337,0.0280699695000544,0.00173329158658506,0.0277387750179943,0.0177672070426374,0.00768433870418306,0.0067243750462481,0.0385404340219656,0.0152062221997692,0.029421892533224,-0.0122030047067722,-0.0206652523806949,-0.0168589871394169,0.0483536719136909,-0.00455004486589853,-0.00524091696424903,-0.0171807126463698,0.00809719519536712,0.0708889369670605,-0.00500089750486448,0.000978675830032715,-0.0192498487463531,-0.0134641428784042,0.105995435453081,-0.00883436898313521,0.0158919751774926,-0.0215245657477536,0.0113683437898399,0.0921861527906544,-0.0113114515797985
