"","ampl total power alpha zero","ampl total power beta zero","ampl total power delta zero","ampl total power gamma zero","ampl total power theta zero","approx entropy zero","betw cen e-icoh alpha zero","betw cen e-icoh beta zero","betw cen e-icoh delta zero","betw cen e-icoh gamma zero","betw cen e-icoh theta zero","betw cen e-plv alpha zero","betw cen e-plv beta zero","betw cen e-plv delta zero","betw cen e-plv gamma zero","betw cen e-plv theta zero","betw cen e-wpli alpha zero","betw cen e-wpli beta zero","betw cen e-wpli delta zero","betw cen e-wpli gamma zero","betw cen e-wpli theta zero","clust coef e-icoh alpha zero","clust coef e-icoh beta zero","clust coef e-icoh delta zero","clust coef e-icoh gamma zero","clust coef e-icoh theta zero","clust coef e-plv alpha zero","clust coef e-plv beta zero","clust coef e-plv delta zero","clust coef e-plv gamma zero","clust coef e-plv theta zero","clust coef e-wpli alpha zero","clust coef e-wpli beta zero","clust coef e-wpli delta zero","clust coef e-wpli gamma zero","clust coef e-wpli theta zero","correlation dimension zero","dfa exponent alpha zero","dfa exponent beta zero","dfa exponent delta zero","dfa exponent gamma zero","dfa exponent theta zero","higuchi fractal dim zero","hjorth activity zero","hjorth complexity zero","hjorth mobility zero","katz fractal dim zero","kurtosis ampl alpha zero","kurtosis ampl beta zero","kurtosis ampl delta zero","kurtosis ampl gamma zero","kurtosis ampl theta zero","life time alpha zero","life time beta zero","life time delta zero","life time gamma zero","life time theta zero","lyapunov exponent zero","lzc exhaustive zero","lzc primitive zero","mean ampl alpha zero","mean ampl beta zero","mean ampl delta zero","mean ampl gamma zero","mean ampl theta zero","microstate A zero","microstate B zero","microstate C zero","microstate D zero","microstate E zero","mod index alpha-beta zero","mod index alpha-gamma zero","mod index beta-gamma zero","mod index delta-alpha zero","mod index delta-beta zero","mod index delta-gamma zero","mod index delta-theta zero","mod index theta-alpha zero","mod index theta-beta zero","mod index theta-gamma zero","node str e-icoh alpha zero","node str e-icoh beta zero","node str e-icoh delta zero","node str e-icoh gamma zero","node str e-icoh theta zero","node str e-plv alpha zero","node str e-plv beta zero","node str e-plv delta zero","node str e-plv gamma zero","node str e-plv theta zero","node str e-wpli alpha zero","node str e-wpli beta zero","node str e-wpli delta zero","node str e-wpli gamma zero","node str e-wpli theta zero","permutation entropy zero","range asymmetry alpha zero","range asymmetry beta zero","range asymmetry delta zero","range asymmetry gamma zero","range asymmetry theta zero","range coef var alpha zero","range coef var beta zero","range coef var delta zero","range coef var gamma zero","range coef var theta zero","relative ampl alpha zero","relative ampl beta zero","relative ampl delta zero","relative ampl gamma zero","relative ampl theta zero","rqa determinism zero","rqa entropy zero","rqa laminarity zero","rqa max diagonal zero","rqa max vertical zero","rqa mean diagonal zero","rqa rte zero","rqa trapping time zero","sample entropy zero","skewness ampl alpha zero","skewness ampl beta zero","skewness ampl delta zero","skewness ampl gamma zero","skewness ampl theta zero","spectral entropy alpha zero","spectral entropy beta zero","spectral entropy delta zero","spectral entropy gamma zero","spectral entropy theta zero","std ampl alpha zero","std ampl beta zero","std ampl delta zero","std ampl gamma zero","std ampl theta zero","waiting time alpha zero","waiting time beta zero","waiting time delta zero","waiting time gamma zero","waiting time theta zero"
"ampl total power alpha zero",0,0,0,0,0,0,0.234488642998999,0.0132625435619699,0.587074376152584,0.627747265602815,0.0152140099657312,0,6.3106300185467e-09,0,0.550274230179094,0,0.131061817911018,0.665412895403742,0.851703766664201,0.486158299752124,0.0125715193762059,3.68325925315105e-10,0.429585099608971,0.692176147143542,0.481993581318132,0,0,0.00113225307366893,4.88831197742456e-13,0.0852858494140036,0,0,0.407130552276469,0.764460482212258,0.184644507797066,0,0.00329581412507118,0.0395712176408052,0.000143016392613604,0,0.0768665567894344,0,8.18900502963515e-13,0,0,0,0,0,0.073321092066567,0,0,0,0,0,8.88364078965864e-08,0,1.58629537727606e-07,0,0,0,0,0,0,0,0,0,4.44089209850063e-16,0,0.0606550261500607,0,0,0,0.0381976002595623,0,0.0150268703757419,0,0,0,0,0,8.57393822606412e-10,0.367611725386734,0.526063684604831,0.49985952905837,0,0,1.58578064213266e-06,0,0.0273272233835743,0,0,0.323712290125177,0.643233035950775,0.15903667956854,0,0,0,0,0.0675893251777466,0.0211606957172324,0,0,0.00198028963536523,0,0.390459797720948,0,0,0,0,0,3.69320130033657e-11,0,0,0,0,0,0,0,0,0,0,0.00769143327254129,0,1.22684751246993e-10,0,0,0,0,0,7.64943663966733e-14,0,0,0,0,0,0,0.0444467263986911,0,0,0.000249086585019986
"ampl total power beta zero",0,0,0,0,0,0,0.454975943505361,0.203224082571592,0.623303137663816,0.676759451633409,0.183455620379681,2.90513051393049e-06,3.42750158410787e-05,0.00183353928085583,0.069760790840863,0.000370376683272555,0.782044583189167,0.916932173463883,0.844731619462172,0.654195129624978,0.399017362011128,0.000655189533534939,0.015450886313452,0.743120429080613,0.490876893770494,6.13066264421036e-10,0,0.023555485326748,0.00214821576009872,0.237617289333214,0.0720208186232472,2.08837397708272e-06,0.0276482386159325,0.795930712725191,0.194738346265783,2.66617106170486e-09,0.701345781910389,0.33755869009571,0.000424150171742799,4.31921165500171e-12,0.0728669004844528,0,0,0,0,0.000297805017828834,0,1.82913588941958e-07,0.0118589013796389,0,0,0,0.0181913178153137,0.000104024048503071,1.89848137210902e-14,8.3023353370848e-05,0.286591589966872,0,0,0,0,0,0,0,0,0.00354848508582795,0.00447060420070955,0,0.184887414797019,3.685269465592e-06,0,0,0.000420644821714555,0.0448004269193684,1.025871036342e-05,0,0,0,0,0,0.000590544415666083,0.0167427981993399,0.630736157457071,0.492433132205781,2.90352519805026e-10,0,0.00184830572483818,4.09843701243418e-06,0.0768911096582734,0.00444557860511485,1.70699422050724e-05,0.029473583878177,0.754589770676862,0.196411361044251,5.47298650843686e-10,0,0,0,9.28500565322565e-09,0.0156309336847468,6.13065154198011e-13,0,0.0715954951005294,0,0.304520707846395,0,0,4.9486588241332e-05,0,0,3.43165451961447e-05,0,0,1.11022302462516e-14,0,0,0,0.000193750842247487,5.83561969857982e-08,0,1.81383609243468e-08,6.82727208101142e-11,0,0,0.00594903681376802,0,1.33459953040038e-05,0,0,3.84892343152643e-06,0,0,0,0,0,1.63088847182635e-06,1.33226762955019e-14,0,8.17738878833296e-08,0.00174924018812617
"ampl total power delta zero",0,0,0,0,0,0,0.88896922510553,0.000100851112300848,0.0800476649060935,0.741538276523732,0.0683214689712968,3.9079506826134e-06,1.97166611024535e-05,0,0.0528312777718354,1.00797148405718e-12,0.828888218016721,0.112306274841111,0.851674339591378,0.0685868005772632,0.00585851210042931,0.00027451642191223,0.0311430562680162,0.42301109219769,0.607484003702483,0,0,0.32325874557811,0,0.193871003544209,0,1.25251888649647e-06,0.0341058418676807,0.405233364127786,0.314950754520319,0,0.0105362372025654,0.579379128265856,0.00401911503776176,0,0.000159841617725753,0,1.31414466231217e-06,0,0,0,0,0,0.188638065009632,0,0,0,0.0223685208668276,4.51267759826735e-08,0,1.06333710725437e-08,5.14595199785362e-08,0,0,0,0,0,0,0,0,1.0105916103953e-11,0.000395532005144972,0,0.293833718102617,1.39154243683492e-11,0,0,0.524205944936971,0,0.527933147710202,0.274835548451019,0,0,0,0,0.000623773438842568,0.0193614783428382,0.181292021557518,0.548785552804566,0,0,0.0501786093191301,0,0.135608035747057,0,1.63065084530789e-05,0.0159742837459653,0.194892223827003,0.314784096417922,0,0,0,0,4.66293670342566e-15,0.176289880271034,0,0,0.000290689806983435,0,0.471936281165853,0,0,0,0,0,8.2011504476398e-08,0,0,0,0,0,0,0,0,0,0.0544425378457709,0.488610211654621,0,5.51469980791808e-12,0,0,0,0,0,8.99827540590259e-07,0,0,0,0,0,9.90507952989272e-05,0.0263434616140104,0,7.59735052646704e-10,0
"ampl total power gamma zero",0,0,0,0,0,0,0.446177328365472,0.6549126651689,0.484719625691764,0.381495915047326,0.552289478507113,0.199564861010466,0.00100723456155905,0.155949150304305,0,0.231865447667242,0.730680390940886,0.942620806626386,0.745827060139665,0.731538885052185,0.538914475432195,0.653122797653174,0.334926818715052,0.181026688984153,0.65451823376344,0.00021296254094938,0.118855172375298,8.3164757302967e-09,0.0982031958752232,2.22044604925031e-16,0.310300857042258,0.520625688517809,0.461869845761416,0.134482739274171,0.424609861451492,0.000288478995369212,0.697465898493779,0.700537574849062,0.445971956625356,1.05182529352987e-11,0.147006462779314,3.09767327344446e-08,0,0,0,4.44089209850063e-16,0,4.6626101618763e-05,0.016062446419813,0,2.2197332860685e-10,0,0.196406113318312,0.000289276381668313,4.3939625027356e-07,3.64350771775435e-11,0.144681052727858,2.90966628568867e-09,8.74351213653313e-09,2.2071184879735e-09,0,0,0,0,0,0.0552952054249602,0.00273465657831373,0.000326681733631595,0.0129055515717652,0.0648523806050311,1.52263757158266e-11,1.04398267808392e-10,0.000397799509729735,0.23171024811603,6.56231515316907e-05,0.000193264223650624,0,1.11022302462516e-15,4.79077114591275e-05,0,0.625014021956227,0.310267611275449,0.118822558787199,0.570541232679561,0.000364350067217467,0.0699060496111885,4.44089209850063e-16,0.02365389888712,0,0.134354540081209,0.588801704701418,0.438867939370905,0.0657936878380168,0.310601197463108,0.000901720978815135,4.52675386064527e-09,0,1.97974969751158e-12,1.74045682310719e-08,3.21964677141295e-13,0.00380673819790722,1.11022302462516e-16,0.043774085321341,0,0.564033559317947,1.23012711128467e-13,2.18420498315774e-05,0.00413963518478377,0,0,0.0321438047661079,9.16387687954767e-08,7.34330685148166e-09,1.62092561595273e-13,0.00380929088122839,0.00133083910182152,1.15700033664901e-07,0,3.85074194753088e-11,4.66819694011633e-10,0.496877709548317,0.6106014871293,0,0,7.70811255352832e-05,1.20117560986621e-06,0.00179029660139951,0,0,0.0151732033754302,0,0,0,0,0,0.0950768210047731,0.00842131239387711,0,2.9612534646617e-11,0.0169570434035723
"ampl total power theta zero",0,0,0,0,0,0,0.788164656507483,0.000299764773993738,0.0786978078961027,0.767108916147566,0.005090297516404,2.50456322348214e-11,0.0816666267745989,0,0.442945874488065,0,0.425473333364763,0.235796126186836,0.687816341008397,0.133663982690486,0.00130319463044115,5.23337262414714e-09,0.0536268118784922,0.265565060647845,0.506430139616049,0,0,0.186037456229184,0,0.223029354055109,0,0,0.0708968408948565,0.123844896220034,0.281341826805146,0,0.000878235298074626,0.234027132932316,0.00438834815799294,0,0.00460047445579836,0,7.98533998924711e-08,0,0,0,0,0,0.0185707534361361,0,0,0,0.000240120350824213,0,0,0,1.17037934899145e-10,4.79495798622054e-09,0,0,0,0,0,0,0,0,4.44089209850063e-16,0,0.350683437054935,7.5996209325524e-11,0,0,0.619255942042981,0,0.411787337320957,0.252299230733553,0,0,0,0,5.1586103611001e-08,0.0393936916086559,0.0997648486297398,0.44764136762721,0,0,0.0264184303754754,0,0.18000858696369,0,1.31006316905768e-14,0.038638608717777,0.0232163079244855,0.218301364301177,0,0,0,0,1.51818675928617e-05,0.0528652454163883,0,0,1.6440141692442e-07,0,0.704348862109479,0,0,0,0,0,1.4210854715202e-14,0,0,0,0,0,0,0,0,0,0.0265042787173861,0.00989266448676906,0,2.39326810854701e-05,0,0,0,0,0,7.41219086108913e-10,0,0,0,0,0,2.17138529379213e-11,5.54408119413097e-09,0,0,0
"approx entropy zero",0,0,0,0,0,0,0.37946519438838,0.0657497510612487,0.625186336265086,0.20976068989884,0.181359222648982,2.97872932386589e-06,1.28009346456182e-08,0.00352672429057033,5.46441702997669e-09,5.59371214237103e-07,0.0144101137472976,0.346743773194286,0.973789815094594,0.263835407899874,0.136366664700772,5.82807124693829e-06,0.0211050821661395,0.790648442752864,0.25018054483165,0,0,6.83365475317999e-10,0.0554342228405218,0.117897903069778,1.77635683940025e-15,8.094229730915e-10,0.0277844035421063,0.857803989312393,0.00047481944565364,0,2.93761614722499e-06,0.204669264488852,0.0118517500441928,0.000249929199801935,0.115484285988381,0,0,0,0,0,0,0,0.000421317394524778,0,1.83367299122494e-09,4.1661929461867e-10,1.07913677993565e-13,0,0.384892251145293,0,0.0165513748678433,0,0,0,0,0,0,0,0,0,0,0,6.65215580397671e-07,0,0,0,0.0914750611643751,0,6.40231117232659e-07,9.88031878534912e-10,0,0,0,0,1.76133928031508e-05,0.0130600874973873,0.759794640258748,0.139017215191181,0,0,5.90638649100583e-14,0.0026085300361387,0.0068032133195679,8.88178419700125e-16,4.5669590553743e-08,0.0209280593312883,0.824553317613762,0.000194416045172785,0,0,0,8.26227974926041e-13,0.720106528978886,0.0258087025687411,1.28751914729719e-06,3.50075728072774e-07,0.340853611735212,0.0169334762947571,0.566026843180025,5.66992552131218e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52470602599442e-09,0.100105235182323,0,0,5.13089570830516e-12,0,0,0,0,0,0,0,0,0,0,0,1.29007915461443e-13,0.00118100100729024,0,0.000300857251794628
"betw cen e-icoh alpha zero",0,0,0,0,0,0,0,3.72098724685799e-05,0.974805083310052,0.547387558860354,0.789157981364392,0,0.773091624707634,0.777547610229535,0.916700111599707,0.114856748442898,0,1.34246470895327e-06,0.868636833478318,0.261493904412048,0.645309066813293,0,1.4179890150956e-08,0.878226823234825,0.688460153765306,0.592068397979062,0,0.685954754811786,0.706894466743193,0.378444358519914,0.539209952804081,0,2.13527791004253e-08,0.90054462495436,0.640693960049197,0.355757573100074,0.416754643229699,0.375507378720563,0.353964500608429,0.806861621167402,0.378161684344529,0.735544345240492,0.257074211032906,0.43536207102902,0.00129025921140147,0.64054919193146,0.301725594138502,0.360862262703922,0.520940005552754,0.23415752328579,0.0817616495946951,0.0922307529974031,0.326647982672194,0.0604575634040768,0.712175111295362,0.474721715642973,0.785206804068985,0.0425331247255107,0.338631447827769,0.328851834370245,0.234487993587876,0.454975542387658,0.890471337340483,0.446176083333864,0.788175741522217,0.00018472899230848,0.031176976005181,0.222069836065797,0.07828665793712,0.905241964504456,0.0706222131111941,0.638425459601866,0.0197850259011803,0.495484786588126,0.421471071368187,0.251779630956746,0.232217607718226,0.137607065312032,0.867661925504648,0.536358517985919,0,2.37985386952744e-09,0.914863794863043,0.655096804284863,0.554076866587217,0,0.692396678084174,0.714734264982035,0.526456530595911,0.518580560309073,0,1.33539679314509e-09,0.898007748059053,0.671257145365465,0.284421878472863,0.0528155512738864,0.0618466258908379,0.00346017833792334,0.700271833358607,0.475871899240186,0.5961903339849,0.613670983825304,0.377804095362763,0.444562852879853,0.0487139104196752,0.621578676218526,0.0108913177942811,0.28909716734124,0.00712009942793479,0.172571051424878,0.482363833085358,0.187007650138577,0.00962592087146819,0.432160309039812,0.288727850546441,0.0321711182253246,0.00607874911439499,0.264570959184345,0.0974256506319141,0.141813196638335,0.269068156326764,0.00158656535099899,0.472702652265423,0.652857222020574,0.541076081926968,0.000584484502029414,0.314940595648365,0.0159960857297976,0.168810855047091,0.495674338189396,0.393423016057875,0.448257266663738,0.876878999732666,0.46880916921922,0.782169194603108,0.141891992747695,0.000701187895453481,0.796262625422976,0.645065190389573,0.454465210941048
"betw cen e-icoh beta zero",0,0,0,0,0,0,0,0,0.316797653295689,0.932296631116452,0.948287970703516,0.0182514433780764,0,0.729879139552448,0.930878327295236,0.709182981710138,0.0259269966252595,0,0.765930032792137,0.538084206052048,0.855578876379619,1.24309795790367e-09,0,0.716857737002748,0.611483746153017,0.593800644834641,0.586747616296456,0,0.723505379394898,0.28865525380665,0.859579608108254,8.45058293563739e-07,0,0.717480716769834,0.604069210547768,0.520313395616574,0.00465123778586563,0.672422388598628,0.805066492110385,0.152412287159229,0.705572877768663,0.540506610080067,0.0108928844158795,0.0025310606479676,0.171216448281354,0.000199033975362473,0.0109659742099617,1.265205937373e-05,0.000364752086523201,0.694309700167955,0.524646224964746,0.272514688720135,0.408576728502047,0,0.275667113463516,1.38821953932222e-09,0.404732361439618,0.343149697485782,0.00270186711738041,0.0051657841465913,0.0132625655280694,0.203223079130846,9.89151394530374e-05,0.654913266207552,0.000299848334105901,0.645968158698043,0.269459542818228,0.670532085966089,0.000838815506946977,0.442038885073519,0.30912476188897,0.153135459607667,0.23385246660669,5.51927700078725e-05,0.698905856749379,0.606346454496913,0.320659997527482,0.0969839310280011,0.5597900331945,0.590849986439815,3.87210263852467e-11,0,0.750855496324408,0.581023794660462,0.581808410264905,0.631934974747797,1.30392807662361e-09,0.769852954028513,0.428195685578723,0.836429109935666,9.29988797082615e-09,0,0.698804327096252,0.501817210206259,0.458966769690284,0.0820871627264751,0.0246280188516681,0.788095272908702,0.340204336214278,0.238417315264712,0.00325750302878636,3.64740321414647e-05,0.222374395638171,0.319591449327742,0.47786043682865,0.101464912828048,0.079982104521469,8.90957307930762e-11,0.326387592788745,0.458977499999045,0.527869755186755,0.0121315897622121,0.358584444349748,0.0161589664720924,0.06512248040271,0.3395606813555,0.285469356608931,0.169916562377362,0.429425959297965,0.222886679609425,0.407696059027069,0.449607945545895,0.673498077164311,0.00486605104323012,0.882817933533094,0.090032175847248,9.89321291555711e-10,0.368600179723643,0.411105418705566,0.575641650129943,0.0349713497020221,0.199272418003384,0.000185727384901302,0.637948133497092,0.000189000541020556,0.297949741477458,3.81916720471054e-14,0.0345375495198045,5.57909274334634e-12,0.356355555287858
"betw cen e-icoh delta zero",0,0,0,0,0,0,0,0,0.0181910811545701,0.806125953479607,0.371377011053882,0.794073897452927,0.840396830402066,0,0.555584880493201,0.279207686683286,0.904242656810387,0.666499129424987,0,0.0318948083557369,7.41125796563935e-05,0.386388781993467,0.276343302572507,0,0.674021518343137,0.0119820490222141,0.596414697088462,0.921632632293134,0.000316121696144922,0.75708827836262,0.0187506779577969,0.625467947311301,0.441490454660907,0,0.611438570803389,0.0237124534287256,0.083869159885,0.366946260715523,0.0527957635820924,0.259805332789524,0.0275675941074585,0.507631250474563,0.7755301244556,0.414945031405662,0.936437177401945,0.210197997710431,0.621477459837796,0.68060294144518,0.163885490424555,0.169197537904222,0.516995004070007,0.928544337230009,0.731838386162712,0.576758360306869,0.347016569633896,0.135597358563905,0.262142019634742,0.926208154976792,0.280734046217076,0.285844191792594,0.587074570634505,0.623303918126414,0.0798064900700552,0.484719122697978,0.0786878911709398,0.265832592551565,0.697308494492694,0.60580003559855,0.733259726321876,0.838705817725893,0.722028651793293,0.189669123736372,0.835142889171226,0.470377883747285,0.104179441381834,0.88191915913244,0.710762769814715,0.64339926964254,0.788223671455404,0.640442512492968,0.448657788664858,0.293735351343181,0,0.703012539018051,0.0134646644330982,0.588277944480206,0.928997960832847,0.00866613213758849,0.769765984392464,0.0240399012654837,0.627788512834976,0.392269427383614,0,0.635249486735193,0.0323260266386984,0.694227881822212,0.73991770013159,0.954696064957306,0.270650742264803,0.74732590971107,0.43151223865987,0.520962043587054,0.439651725861296,0.270943697996935,0.824470540568765,0.775010159353273,0.78497243860831,0.175638236528948,0.859189633889919,0.685841606152331,0.135408031869254,0.227765371415998,0.686338918993468,0.167426455626737,0.125150032557773,0.345909176249131,0.715633125412662,0.0226881213133723,0.0707613221117571,0.575112856908561,0.563828030798735,0.960676705704493,0.197401395170891,0.5278582479949,0.502173187230171,0.699394326999491,0.157064107271857,0.873057303014668,0.688267277331987,0.172151948121809,0.539141712820929,0.546147778016658,0.0730126971154303,0.501776664711887,0.0895692736416963,0.842853586139168,0.70310284469678,0.231151589711481,0.278978003229644,0.336118567085548
"betw cen e-icoh gamma zero",0,0,0,0,0,0,0,0,0,0,0.354722061902955,0.482735380383177,0.807227723963793,0.626394152846884,0.214167514624395,0.342849676660112,0.555256512074408,0.951644683568976,0.436942733036834,0,0.301065317737778,0.553223647598906,0.760910363007034,0.606867780351147,0,0.687081786672678,0.670221304508996,0.0699186426917681,0.694521939373949,0.467725853100474,0.560579219951805,0.609043079718045,0.860496531537455,0.717942724556424,0,0.715861444444499,0.493699559510103,0.483167567709831,0.405626536414356,0.48690276568091,0.503724071709531,0.450889092875004,0.479100461126535,0.69403559965038,0.777470328305087,0.0596212925831772,0.714012111300333,0.842860669740688,0.135045905821869,0.533041449403344,0,0.263169922155355,0.624363997525157,0.853823185058944,0.559092286201911,0.272976626881607,0.841330220435143,0.641954777466196,0.268800768757682,0.263533885462766,0.627746694825692,0.67675995298098,0.740274505418591,0.381494950851576,0.767105217756261,0.593127936157986,0.711790705302328,0.695050455018354,0.775638046099418,0.106917802363312,0.533243139765262,0.576088337330485,0,0.698713963371635,0.00412431404987257,5.81756864903582e-14,0.145747314617198,0.733328765217208,0.535180677552256,0.39400186820553,0.556403321268466,0.686926457598361,0.669355219744063,0,0.657195030699166,0.6535812166403,0.0154842239076669,0.616722888814316,0.385491291534839,0.493403083776783,0.617164173267459,0.868893548360821,0.755667023302106,0,0.677912698780392,0.283602339041128,0.780991832793782,0.701845818718825,0.759799407392463,0.114219331877679,0.790277353298373,0.392882278032537,0.0740454422651098,0.716919537967464,2.22044604925031e-16,0.454454344218976,0.738502461718416,0.471955953130428,0.708473022206354,0.0031179554053562,0.684201099033,0.170113398591274,0.336430859238174,0.0580531125906372,0.19996213760037,0.366493164308668,0.497205247678601,0.011873485602,0.0733534597313819,0.169169224456323,0.648241619633718,0.644972816548014,0.272030553055027,0.385552238968992,0.824600589532097,0.737052483780048,0.465530402532885,0.70519255287047,0.00529890646679931,0.656604724768468,0.612400956882963,0.691899261869757,0.776663597633465,0.322358520751886,0.744948667298131,0.545820841311578,0.918741386833583,0.750054140185564,0.137470985901656,0.863454961103978
