,25th,50th,75th
ampl total power alpha,0.927,0.945,0.976
ampl total power beta,0.938,0.975,0.987
ampl total power delta,0.848,0.957,0.986
ampl total power gamma,0.915,0.973,0.984
ampl total power theta,0.884,0.921,0.969
approx entropy,0.969,0.979,0.987
betw cen e-icoh alpha,0.021,0.084,0.198
betw cen e-icoh beta,0.003,0.092,0.156
betw cen e-icoh delta,0.0,0.073,0.159
betw cen e-icoh gamma,0.006,0.09,0.21
betw cen e-icoh theta,0.027,0.067,0.195
betw cen e-plv alpha,0.005,0.084,0.228
betw cen e-plv beta,-0.019,0.063,0.105
betw cen e-plv delta,0.013,0.102,0.153
betw cen e-plv gamma,-0.037,-0.003,0.083
betw cen e-plv theta,-0.002,0.094,0.17
betw cen e-wpli alpha,0.032,0.119,0.251
betw cen e-wpli beta,0.033,0.131,0.283
betw cen e-wpli delta,0.035,0.107,0.227
betw cen e-wpli gamma,0.087,0.13,0.176
betw cen e-wpli theta,0.012,0.115,0.211
clust coef e-icoh alpha,0.776,0.824,0.869
clust coef e-icoh beta,0.659,0.707,0.739
clust coef e-icoh delta,0.503,0.549,0.603
clust coef e-icoh gamma,0.677,0.759,0.8
clust coef e-icoh theta,0.726,0.755,0.789
clust coef e-plv alpha,0.115,0.148,0.178
clust coef e-plv beta,0.02,0.025,0.034
clust coef e-plv delta,0.052,0.06,0.077
clust coef e-plv gamma,0.016,0.025,0.037
clust coef e-plv theta,0.036,0.043,0.051
clust coef e-wpli alpha,0.667,0.729,0.818
clust coef e-wpli beta,0.489,0.575,0.634
clust coef e-wpli delta,0.598,0.645,0.708
clust coef e-wpli gamma,0.72,0.812,0.9
clust coef e-wpli theta,0.623,0.686,0.729
correlation dimension,-0.052,0.026,0.082
dfa exponent alpha,0.972,0.976,0.989
dfa exponent beta,0.982,0.989,0.994
dfa exponent delta,0.963,0.969,0.981
dfa exponent gamma,0.977,0.983,0.989
dfa exponent theta,0.972,0.982,0.988
higuchi fractal dim,0.979,0.983,0.989
hjorth activity,0.92,0.955,0.979
hjorth complexity,0.979,0.986,0.99
hjorth mobility,0.975,0.986,0.991
katz fractal dim,0.938,0.974,0.986
kurtosis ampl alpha,0.927,0.949,0.976
kurtosis ampl beta,0.925,0.946,0.963
kurtosis ampl delta,0.928,0.949,0.959
kurtosis ampl gamma,0.902,0.939,0.971
kurtosis ampl theta,0.942,0.95,0.967
life time alpha,0.934,0.961,0.974
life time beta,0.959,0.969,0.98
life time delta,0.833,0.87,0.884
life time gamma,0.936,0.951,0.973
life time theta,0.955,0.967,0.975
lyapunov exponent,0.935,0.951,0.963
lzc exhaustive,0.973,0.981,0.986
lzc primitive,0.974,0.982,0.986
mean ampl alpha,0.927,0.945,0.976
mean ampl beta,0.938,0.975,0.987
mean ampl delta,0.848,0.957,0.986
mean ampl gamma,0.915,0.973,0.984
mean ampl theta,0.884,0.921,0.969
microstate A,0.971,0.9775,0.979
microstate B,0.97525,0.9824999999999999,0.98425
microstate C,0.71975,0.7235,0.7395
