,25th,50th,75th
ampl total power alpha,0.9820038421752624,0.9854263336781439,0.9925254913551057
ampl total power beta,0.9860263041229498,0.9894547066646964,0.9932111718634551
ampl total power delta,0.9781483670755136,0.9840195064282549,0.9891872321560515
ampl total power gamma,0.9740401950642825,0.9782385104182061,0.9815280035466233
ampl total power theta,0.9840283729865523,0.9896601152652579,0.992767843948574
approx entropy,0.9659657159745826,0.9723200827545442,0.9763381114230827
betw cen e-icoh alpha,0.14023030466743494,0.2133783650686436,0.3009723062058664
betw cen e-icoh beta,0.1550138093683176,0.20079597858810488,0.27875109024295175
betw cen e-icoh delta,0.17582194515741015,0.22514713550801888,0.26237135013023893
betw cen e-icoh gamma,0.16280371673607877,0.208994578857757,0.27169025174819683
betw cen e-icoh theta,0.16769766942852277,0.22430954318466273,0.29975819688036387
betw cen e-plv alpha,0.1893007894705855,0.27273313620459017,0.35184141001943736
betw cen e-plv beta,0.06617618421527836,0.11220968353685204,0.15205768143323065
betw cen e-plv delta,0.11340362121266374,0.14692504231692222,0.23075971312579643
betw cen e-plv gamma,-0.007756774602049189,0.046318243414761325,0.09514508052367365
betw cen e-plv theta,0.11814512138159491,0.18937335012910556,0.25247785509485327
betw cen e-wpli alpha,0.0927014115326737,0.19018729994831157,0.25511783106744335
betw cen e-wpli beta,0.146247761103577,0.19220153246888683,0.28407358180357556
betw cen e-wpli delta,0.12322526775047259,0.17231621104622538,0.22473261390697566
betw cen e-wpli gamma,0.16517833657953152,0.20472773867346863,0.2602715308390993
betw cen e-wpli theta,0.10133953763256323,0.16065037549873284,0.24281340160403794
clust coef e-icoh alpha,0.7148751293039753,0.7474597310477317,0.8009723658933059
clust coef e-icoh beta,0.6892492980641349,0.7340372395448501,0.7668671494015075
clust coef e-icoh delta,0.532478203044185,0.5663203783064874,0.6208600561548692
clust coef e-icoh gamma,0.6263691443771243,0.651433426924782,0.686876015959805
clust coef e-icoh theta,0.7245086448943402,0.747560218708438,0.7845662775232747
clust coef e-plv alpha,0.7268036057337076,0.7656169646815428,0.8088547362198907
clust coef e-plv beta,0.3059213831830944,0.42101522092507765,0.4733648588739472
clust coef e-plv delta,0.2809679326141569,0.35645485444066793,0.4258120289640905
clust coef e-plv gamma,0.01438303531845722,0.06074626865671642,0.11864046106103147
clust coef e-plv theta,0.47086596719373425,0.5537904536722329,0.5953672232894932
clust coef e-wpli alpha,0.7778513373725433,0.7941111275306636,0.8402083641199942
clust coef e-wpli beta,0.7257189301019655,0.7675350967932614,0.8080020688636028
clust coef e-wpli delta,0.5206768139500517,0.5789182798876903,0.6181705334712575
clust coef e-wpli gamma,0.6700576326289345,0.6904994827840992,0.7056864193882074
clust coef e-wpli theta,0.736280478794148,0.7589035022905275,0.8128742426481455
correlation dimension,-0.01330427072558002,0.025232747155312547,0.066274567755283
dfa exponent alpha,0.9540741835377569,0.9636855327323778,0.9734579577360722
