,25th,50th,75th
ampl total power alpha,0.9778989883307571,0.9828351853585363,0.9910819678119769
ampl total power beta,0.9826799303178845,0.9886115861357248,0.9919952327569869
ampl total power delta,0.9710951644904323,0.9826707976684345,0.9865339083858268
ampl total power gamma,0.968885063323508,0.9746021018792708,0.9769674580868468
ampl total power theta,0.9830178383475382,0.9889220962170281,0.9918034471185349
approx entropy,0.954692926078052,0.9598346077184584,0.9684010329026528
betw cen e-icoh alpha,0.13816440963166166,0.2099480917034058,0.2969014230258376
betw cen e-icoh beta,0.13195770110243074,0.18620873003271107,0.26869781647410296
betw cen e-icoh delta,0.17849298070637845,0.22453881854852203,0.2635594038257959
betw cen e-icoh gamma,0.14583682748473184,0.2089260465867032,0.2895451327083982
betw cen e-icoh theta,0.1677651881905698,0.224378154124664,0.2911454205002676
betw cen e-plv alpha,0.1922319588356628,0.2755042588477849,0.35389545975667613
betw cen e-plv beta,0.045817922872004514,0.11718663107255842,0.18642101492723018
betw cen e-plv delta,0.06742534580057467,0.15716027377099037,0.23580274293581047
betw cen e-plv gamma,-0.03991718534566477,0.024514339281085262,0.07172264124678773
betw cen e-plv theta,0.10818485131058951,0.15915934453178787,0.2219433628090874
betw cen e-wpli alpha,0.1093868031015478,0.15263175111856703,0.24455183994234594
betw cen e-wpli beta,0.12687869423160128,0.20125340209838655,0.27517949164856514
betw cen e-wpli delta,0.10524932582718322,0.18420308979314373,0.2368560637172486
betw cen e-wpli gamma,0.14443550851877746,0.1864626348007811,0.2481830558514757
betw cen e-wpli theta,0.08854503089965497,0.14531130336441186,0.24095012370708252
clust coef e-icoh alpha,0.6802157131800113,0.7177235044715734,0.7756153693357596
clust coef e-icoh beta,0.6815627789739009,0.7395642356314883,0.772204324766147
clust coef e-icoh delta,0.48655788159063346,0.5284950078654943,0.5833411341380719
clust coef e-icoh gamma,0.6488998582156172,0.6745945674434746,0.6921931829338178
clust coef e-icoh theta,0.7121708536059124,0.7392354602512847,0.7773323074323784
clust coef e-plv alpha,0.6849738235435135,0.7482082883360083,0.785487763391318
clust coef e-plv beta,0.27665306662952716,0.39472452504514954,0.47252099938582925
clust coef e-plv delta,0.23255150243499265,0.28808257741632776,0.4054736534479176
clust coef e-plv gamma,0.011970620266719025,0.06504957887070223,0.10738854172136741
clust coef e-plv theta,0.4348077234816399,0.5170335328056184,0.5741262908429207
clust coef e-wpli alpha,0.7457561719586564,0.7640990983791829,0.813990762325081
clust coef e-wpli beta,0.7109653438784991,0.7674096838048444,0.8113605592834522
clust coef e-wpli delta,0.48379982145670325,0.5304174305747403,0.588272764841126
clust coef e-wpli gamma,0.6735991086534135,0.6942799933331658,0.7199107740148725
clust coef e-wpli theta,0.733431661525746,0.7586925699047236,0.797232350584147
correlation dimension,-0.01395697152211585,0.03439127466671537,0.08254316889236943
dfa exponent alpha,0.9457292306427786,0.9573048638207808,0.9703234556118988
dfa exponent beta,0.955880170506565,0.9616063417117781,0.9792003908773963
dfa exponent delta,0.88714785074511,0.913363120991623,0.933473215080744
dfa exponent gamma,0.9442177771587871,0.9559121347796404,0.9677434821422455
dfa exponent theta,0.952505656534753,0.9643598355209833,0.9729947555760532
higuchi fractal dim,0.9688120021279071,0.9772323049208997,0.9863786533451752
hjorth activity,0.9783647534527121,0.9841594195288009,0.9900271468004904
hjorth complexity,0.9647342741484373,0.9695015171613898,0.9829858740744628
hjorth mobility,0.9782825596076612,0.9837393176540962,0.9881914842610201
katz fractal dim,0.9811502115349927,0.9847621743925074,0.9912098249042783
kurtosis ampl alpha,0.9587478224338966,0.9722230466975197,0.9831091648420393
kurtosis ampl beta,0.9448981595428194,0.9628301167380914,0.9691042469103105
kurtosis ampl delta,0.8679829858740743,0.8914721602597324,0.9173449561518668
kurtosis ampl gamma,0.8909515992410767,0.9143494471322337,0.9305872978545122
kurtosis ampl theta,0.9228382447961021,0.9466379292630636,0.9571998383521045
life time alpha,0.950095721691942,0.9656874552648655,0.9765096572176635
life time beta,0.9546552021349245,0.9653507279863192,0.9763144736511645
life time delta,0.6493702937563643,0.7011110045691411,0.736849435749985
life time gamma,0.9574738178356076,0.9678302423120214,0.9726796791700247
life time theta,0.8997603801958209,0.9198799506383472,0.939766683372436
lyapunov exponent,0.9064360063837219,0.9192445472374875,0.9472772147245705
lzc exhaustive,0.9749674078572748,0.9798259773647281,0.9841685521782509
lzc primitive,0.9742824591485174,0.9794652377114492,0.9833968432997175
mean ampl alpha,0.9778989883307571,0.9828351853585363,0.9910819678119769
mean ampl beta,0.9826799303178845,0.9886115861357248,0.9919952327569869
mean ampl delta,0.9706430983426523,0.9816844715278238,0.9867119950501039
mean ampl gamma,0.968885063323508,0.9746021018792708,0.9769674580868468
mean ampl theta,0.9830178383475382,0.988903830918128,0.9918034471185349
microstate A,0.9624831663825792,0.975758203304557,0.980122497864862
microstate B,0.9668228477129079,0.9776543211711155,0.9823873634435324
microstate C,0.7162966673317445,0.733465595242855,0.750041667713116
microstate D,0.5079718443144298,0.5383294711654596,0.5741831176421923
microstate E,0.8016194470637389,0.8079148374098264,0.8193560307237632
mod index alpha-beta,0.779396286208101,0.8227535394724524,0.8620467637315091
mod index alpha-gamma,0.6299359116324839,0.695668156049581,0.7318151825730781
mod index beta-gamma,0.3995556966042526,0.46494546666697106,0.5203212866076544
mod index delta-alpha,0.8562064344081699,0.8980613668379799,0.9245962798152463
mod index delta-beta,0.7666836381735613,0.8061640817463452,0.8303930007374614
mod index delta-gamma,0.6919192034503148,0.7218879926208192,0.7689759331855366
mod index delta-theta,0.8090271673489515,0.8478043969140777,0.8748872688583502
mod index theta-alpha,0.9507932847628593,0.964245677402857,0.9722413119964198
mod index theta-beta,0.8696040311514672,0.8934037156184287,0.9130115139877942
mod index theta-gamma,0.8712205101041349,0.8939288429618095,0.9094406480528048
node str e-icoh alpha,0.6183876764028319,0.6605668178881203,0.7335458196438722
node str e-icoh beta,0.6044923502645043,0.6736539045501142,0.7308745196797178
node str e-icoh delta,0.4368306053348371,0.5033299923057427,0.5688247878371374
node str e-icoh gamma,0.5606419339298474,0.6059079109292699,0.6315386916109764
node str e-icoh theta,0.6340547365344791,0.683923568856752,0.7354499770542182
node str e-plv alpha,0.515722997609529,0.6356027206162711,0.7038875405546714
node str e-plv beta,0.1915550390534922,0.2967220637961227,0.38712159437794097
node str e-plv delta,0.14049439597798116,0.2261860457682727,0.36151821164458464
node str e-plv gamma,-0.024916150862236263,0.02778380278956777,0.10517387422971808
node str e-plv theta,0.2995760167492791,0.4188484185675896,0.48577704006264993
node str e-wpli alpha,0.6693706919580171,0.7147964903228162,0.7755240428412585
node str e-wpli beta,0.6207712979093082,0.6981568030247335,0.7790675108278974
node str e-wpli delta,0.4535570528026959,0.5127137896157209,0.5758203973159143
node str e-wpli gamma,0.6051270694012862,0.6375571075985926,0.6755260976873848
node str e-wpli theta,0.6716812522688925,0.7151206993782948,0.7653091744313212
permutation entropy,0.9706476646673773,0.9771820753489241,0.9813830940959702
range asymmetry alpha,0.8403156243649954,0.8970430764242937,0.9271899522590749
range asymmetry beta,0.7404135720303477,0.7765012363324192,0.8322834591736321
range asymmetry delta,0.663539495284128,0.6906223672284006,0.7528111436588589
range asymmetry gamma,0.648977485735943,0.7056044786512903,0.7704006264997522
range asymmetry theta,0.7460529830657846,0.7820995504453306,0.8236531054432873
range coef var alpha,0.960140551475037,0.9688165684526323,0.9801273547965815
range coef var beta,0.9619533823908818,0.9715563632876624,0.9780496770466837
range coef var delta,0.9256054375794825,0.9389802026991545,0.9529303247341826
range coef var gamma,0.8768005589181461,0.9095822041192813,0.9310804609248177
range coef var theta,0.9543595843731235,0.9638301418528774,0.9692229713531617
relative ampl alpha,0.9686156501647301,0.9764012338209406,0.9853649292562141
relative ampl beta,0.9809858238448911,0.9861686024078229,0.9887074789549508
relative ampl delta,0.9684558287993533,0.9734057248013078,0.985547582245216
relative ampl gamma,0.9713463123503099,0.9770679172307979,0.9836114605617948
relative ampl theta,0.9708303176563794,0.9765930194593927,0.9864014849688005
rqa determinism,0.9761272543374376,0.9804789618004104,0.9856160771160918
rqa entropy,0.9606519798442426,0.9655836105472967,0.9793328142944228
rqa laminarity,0.9767163102269691,0.9806570484646873,0.9860955412122222
rqa max diagonal,0.9611177449661976,0.9675836607768687,0.9725746537013487
rqa max vertical,0.9318613024528012,0.9396286208101116,0.9490398160684399
rqa mean diagonal,0.9596108578069311,0.9646794782517366,0.9804332985531599
rqa rte,0.9517978762023703,0.9591724906333263,0.9683462370059521
rqa trapping time,0.9684466961499032,0.9740313112886395,0.9781227382422844
sample entropy,0.9683416706812271,0.9731545769414298,0.9777711312384556
skewness ampl alpha,0.8591380148816522,0.899714376388448,0.9239432953795642
skewness ampl beta,0.8753941309028309,0.9056551648557383,0.940943722330926
skewness ampl delta,0.7513818840199181,0.81889956140451,0.8593708974426297
skewness ampl gamma,0.9130754425339449,0.9341855617378517,0.9429209409368726
skewness ampl theta,0.8298678733940806,0.8798965270817303,0.9070752918452287
spectral entropy alpha,0.9698576904899436,0.9789172787444431,0.9887394432280262
spectral entropy beta,0.9808670994020396,0.9863055921495745,0.9885111269917737
spectral entropy delta,0.9672685843708402,0.9735883777903097,0.9858078627545439
