,adjusted R-squared
PC 1,0.23730376816481213
PC 1-2,0.3311402669305685
PC 1-3,0.3252938235382472
PC 1-4,0.3235302550835346
PC 1-5,0.33122328419211133
PC 1-6,0.34979841591105154
PC 1-7,0.3513496372621292
PC 1-8,0.3510418004197099
PC 1-9,0.3528431151898025
PC 1-10,0.3414918792262909
PC 1-11,0.33271697775643805
PC 1-12,0.32756794910865716
PC 1-13,0.31537996100852483
PC 1-14,0.3134576052061965
PC 1-15,0.3500559393629643
PC 1-16,0.3370879635830024
PC 1-17,0.32523019072113035
PC 1-18,0.30990073718528377
PC 1-19,0.3437620454676351
PC 1-20,0.32943514379131256
