,adjusted R-squared
PC 1,0.11732175445746629
PC 1-2,0.11219525087253635
PC 1-3,0.10609978696017142
PC 1-4,0.1263676730896408
PC 1-5,0.13683440269245606
PC 1-6,0.13443374572768219
PC 1-7,0.1716633305462706
PC 1-8,0.1653252211252254
PC 1-9,0.21272797446225833
PC 1-10,0.20806261241844348
PC 1-11,0.2699441963411249
PC 1-12,0.2645536467577235
PC 1-13,0.29138315058870434
PC 1-14,0.28581159351296925
PC 1-15,0.28429855469823173
PC 1-16,0.283432699226294
PC 1-17,0.29045372947971193
PC 1-18,0.30189614712427926
