,adjusted R-squared
PC 1,0.17971009165785623
PC 1-2,0.17447812393652284
PC 1-3,0.17450949791422943
PC 1-4,0.1761237210687916
PC 1-5,0.22192860388717817
PC 1-6,0.22759119030985153
PC 1-7,0.258765768623907
PC 1-8,0.25457254048465194
PC 1-9,0.2544203106473988
PC 1-10,0.25887829551102703
PC 1-11,0.2633626536132222
PC 1-12,0.2576689988648341
PC 1-13,0.2569954085941021
PC 1-14,0.25106806470532295
PC 1-15,0.24495004016753696
PC 1-16,0.24118982927771548
PC 1-17,0.2430857349879394
PC 1-18,0.2367274723126258
