,adjusted R-squared
PC 1,0.20936642118624837
PC 1-2,0.20450596257956588
PC 1-3,0.2678985114831638
PC 1-4,0.3483143694180739
PC 1-5,0.3438339403412657
PC 1-6,0.3557367467324507
PC 1-7,0.35226903263214715
PC 1-8,0.3502235702206379
PC 1-9,0.34976576226553957
PC 1-10,0.36182153758473934
PC 1-11,0.3576242393333684
PC 1-12,0.35434449607010954
PC 1-13,0.3495608796963696
PC 1-14,0.345715506858723
PC 1-15,0.3656571106763763
PC 1-16,0.3604300231702273
PC 1-17,0.3636106210832156
PC 1-18,0.35870555487818745
PC 1-19,0.3567246231725921
