,Cvlt attention span,Cvlt delayed memory,Pts-2 subtest 3,Rwt animal categories,Rwt s words,Tap alertness,Tap simon congruent,Tap simon incongruent,Tap working memory,Tmt-A,Tmt-B,Vocabulary test
ampl total power alpha,0.63 (0.13),0.55 (0.09),0.73 (0.22),0.58 (0.24),0.64 (0.23),0.61 (0.21),0.79 (0.2),0.74 (0.2),0.62 (0.24),0.6 (0.21),0.59 (0.18),0.65 (0.2)
ampl total power beta,0.62 (0.17),0.72 (0.26),0.61 (0.25),0.64 (0.2),0.81 (0.18),0.8 (0.18),0.82 (0.14),0.81 (0.1),0.66 (0.19),0.62 (0.21),0.78 (0.2),0.74 (0.24)
ampl total power delta,0.78 (0.16),0.76 (0.2),0.57 (0.16),0.71 (0.22),0.65 (0.22),0.62 (0.17),0.79 (0.18),0.8 (0.12),0.7 (0.19),0.79 (0.17),0.77 (0.2),0.7 (0.24)
ampl total power gamma,0.71 (0.21),0.62 (0.22),0.77 (0.23),0.6 (0.17),0.8 (0.15),0.68 (0.12),0.79 (0.19),0.81 (0.14),0.69 (0.2),0.62 (0.22),0.72 (0.19),0.57 (0.2)
ampl total power theta,0.7 (0.19),0.71 (0.23),0.75 (0.25),0.78 (0.24),0.59 (0.11),0.64 (0.21),0.78 (0.23),0.76 (0.13),0.62 (0.13),0.62 (0.14),0.56 (0.18),0.6 (0.18)
approx entropy,0.76 (0.18),0.63 (0.11),0.63 (0.21),0.78 (0.18),0.83 (0.05),0.67 (0.15),0.81 (0.14),0.81 (0.13),0.66 (0.18),0.77 (0.23),0.8 (0.17),0.65 (0.19)
betw cen e-icoh alpha,0.79 (0.22),0.81 (0.1),0.76 (0.21),0.76 (0.23),0.75 (0.23),0.8 (0.13),0.83 (0.14),0.82 (0.14),0.78 (0.17),0.76 (0.19),0.81 (0.14),0.7 (0.21)
betw cen e-icoh beta,0.48 (0.18),0.45 (0.19),0.64 (0.25),0.47 (0.13),0.61 (0.28),0.68 (0.29),0.8 (0.16),0.77 (0.29),0.53 (0.18),0.46 (0.12),0.57 (0.23),0.49 (0.12)
betw cen e-icoh delta,0.78 (0.21),0.75 (0.19),0.8 (0.21),0.8 (0.21),0.75 (0.24),0.8 (0.15),0.82 (0.1),0.83 (0.09),0.75 (0.2),0.66 (0.16),0.82 (0.17),0.73 (0.23)
betw cen e-icoh gamma,0.41 (0.15),0.39 (0.1),0.55 (0.17),0.51 (0.2),0.57 (0.28),0.52 (0.33),0.68 (0.23),0.67 (0.27),0.4 (0.14),0.35 (0.12),0.58 (0.37),0.38 (0.17)
betw cen e-icoh theta,0.78 (0.23),0.8 (0.14),0.74 (0.21),0.77 (0.18),0.7 (0.23),0.69 (0.2),0.83 (0.11),0.82 (0.14),0.68 (0.17),0.75 (0.18),0.79 (0.14),0.75 (0.23)
betw cen e-plv alpha,0.71 (0.25),0.58 (0.16),0.68 (0.25),0.83 (0.1),0.76 (0.13),0.7 (0.22),0.84 (0.08),0.83 (0.12),0.76 (0.24),0.75 (0.19),0.8 (0.21),0.6 (0.19)
betw cen e-plv beta,0.73 (0.22),0.77 (0.19),0.75 (0.2),0.78 (0.17),0.78 (0.13),0.79 (0.11),0.82 (0.09),0.82 (0.14),0.78 (0.19),0.78 (0.23),0.81 (0.17),0.65 (0.18)
betw cen e-plv delta,0.8 (0.14),0.76 (0.18),0.78 (0.2),0.72 (0.19),0.82 (0.09),0.79 (0.18),0.82 (0.15),0.82 (0.09),0.79 (0.18),0.66 (0.18),0.79 (0.15),0.8 (0.2)
betw cen e-plv gamma,0.78 (0.21),0.81 (0.1),0.81 (0.09),0.76 (0.23),0.8 (0.2),0.76 (0.19),0.84 (0.1),0.8 (0.12),0.75 (0.2),0.76 (0.2),0.8 (0.22),0.76 (0.21)
betw cen e-plv theta,0.77 (0.15),0.78 (0.18),0.8 (0.21),0.81 (0.09),0.82 (0.21),0.81 (0.18),0.82 (0.15),0.81 (0.13),0.63 (0.19),0.78 (0.19),0.79 (0.18),0.81 (0.08)
betw cen e-wpli alpha,0.82 (0.07),0.79 (0.2),0.78 (0.22),0.78 (0.22),0.78 (0.22),0.79 (0.18),0.82 (0.09),0.84 (0.09),0.74 (0.19),0.67 (0.19),0.66 (0.19),0.78 (0.17)
betw cen e-wpli beta,0.79 (0.2),0.64 (0.22),0.79 (0.2),0.7 (0.2),0.76 (0.22),0.79 (0.19),0.81 (0.08),0.82 (0.11),0.77 (0.17),0.78 (0.2),0.78 (0.21),0.74 (0.19)
betw cen e-wpli delta,0.8 (0.1),0.8 (0.16),0.78 (0.2),0.77 (0.21),0.7 (0.21),0.81 (0.15),0.83 (0.09),0.82 (0.09),0.68 (0.18),0.75 (0.2),0.78 (0.14),0.73 (0.18)
betw cen e-wpli gamma,0.77 (0.18),0.77 (0.2),0.78 (0.19),0.8 (0.2),0.79 (0.12),0.78 (0.17),0.81 (0.13),0.82 (0.15),0.78 (0.19),0.79 (0.16),0.71 (0.21),0.78 (0.2)
betw cen e-wpli theta,0.78 (0.21),0.81 (0.1),0.8 (0.19),0.8 (0.11),0.79 (0.18),0.81 (0.19),0.83 (0.11),0.83 (0.14),0.79 (0.21),0.75 (0.18),0.82 (0.04),0.77 (0.17)
betw cen s-lcoh alpha,0.55 (0.25),0.67 (0.25),0.76 (0.3),0.58 (0.2),0.65 (0.21),0.72 (0.19),0.82 (0.14),0.8 (0.16),0.66 (0.2),0.65 (0.27),0.57 (0.17),0.64 (0.24)
