,Cvlt attention span,Cvlt delayed memory,Pts-2 subtest 3,Rwt animal categories,Rwt s words,Tap alertness,Tap simon congruent,Tap simon incongruent,Tap working memory,Tmt-A,Tmt-B,Vocabulary test
ampl total power alpha,0.05 (0.04),0.0 (0.01),0.0 (0.0),0.02 (0.11),0.01 (0.06),0.0 (0.01),0.01 (0.01),0.01 (0.01),0.0 (0.0),0.1 (0.17),0.17 (0.21),0.01 (0.03)
ampl total power beta,0.08 (0.08),0.01 (0.03),0.0 (0.0),0.11 (0.24),0.07 (0.05),0.03 (0.05),0.03 (0.14),0.0 (0.0),0.03 (0.04),0.0 (0.07),0.0 (0.28),0.0 (0.02)
ampl total power delta,0.22 (0.14),0.0 (0.02),0.0 (0.04),0.1 (0.15),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.01 (0.02),0.26 (0.2),0.01 (0.22),0.04 (0.07)
ampl total power gamma,0.11 (0.1),0.04 (0.04),0.0 (0.0),0.0 (0.0),0.17 (0.06),0.05 (0.06),0.0 (0.04),0.0 (0.0),0.05 (0.07),0.08 (0.17),0.02 (0.05),0.0 (0.0)
ampl total power theta,0.18 (0.13),0.0 (0.01),0.0 (0.15),0.14 (0.23),0.0 (0.17),0.0 (0.02),0.0 (0.0),0.0 (0.0),0.0 (0.03),0.17 (0.26),0.0 (0.01),0.04 (0.1)
approx entropy,0.03 (0.16),0.0 (0.01),0.01 (0.02),0.02 (0.06),0.06 (0.08),0.05 (0.06),0.0 (0.02),0.01 (0.02),0.0 (0.11),0.0 (0.0),0.0 (0.01),0.01 (0.02)
betw cen e-icoh alpha,0.09 (0.19),0.0 (0.07),0.01 (0.17),0.0 (0.0),0.0 (0.01),0.0 (0.01),0.03 (0.14),0.04 (0.07),0.1 (0.2),0.0 (0.09),0.23 (0.18),0.04 (0.1)
betw cen e-icoh beta,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.02 (0.15),0.05 (0.3),0.0 (0.04),0.02 (0.04),0.16 (0.23),0.0 (0.0),0.0 (0.0),0.0 (0.0)
betw cen e-icoh delta,0.0 (0.04),0.0 (0.0),0.0 (0.0),0.0 (0.11),0.0 (0.0),0.16 (0.22),0.0 (0.06),0.01 (0.05),0.0 (0.07),0.0 (0.0),0.02 (0.12),0.0 (0.0)
betw cen e-icoh gamma,0.0 (0.0),0.0 (0.07),0.17 (0.16),0.03 (0.07),0.33 (0.31),0.19 (0.13),0.05 (0.06),0.04 (0.08),0.0 (0.04),0.03 (0.09),0.07 (0.11),0.0 (0.19)
betw cen e-icoh theta,0.06 (0.14),0.06 (0.18),0.0 (0.08),0.02 (0.11),0.0 (0.0),0.0 (0.01),0.14 (0.09),0.0 (0.04),0.17 (0.14),0.01 (0.25),0.08 (0.1),0.0 (0.04)
betw cen e-plv alpha,0.0 (0.0),0.0 (0.0),0.0 (0.05),0.29 (0.14),0.0 (0.03),0.0 (0.0),0.03 (0.08),0.06 (0.06),0.0 (0.0),0.17 (0.12),0.2 (0.12),0.0 (0.0)
betw cen e-plv beta,0.0 (0.0),0.1 (0.26),0.11 (0.18),0.04 (0.13),0.0 (0.0),0.0 (0.08),0.0 (0.08),0.03 (0.06),0.02 (0.13),0.04 (0.11),0.18 (0.13),0.01 (0.11)
betw cen e-plv delta,0.0 (0.0),0.18 (0.31),0.0 (0.03),0.0 (0.0),0.17 (0.36),0.04 (0.11),0.0 (0.09),0.04 (0.06),0.12 (0.15),0.0 (0.06),0.14 (0.21),0.24 (0.18)
betw cen e-plv gamma,0.0 (0.0),0.12 (0.26),0.3 (0.19),0.0 (0.0),0.15 (0.17),0.0 (0.02),0.11 (0.19),0.11 (0.08),0.0 (0.02),0.0 (0.05),0.0 (0.11),0.0 (0.0)
betw cen e-plv theta,0.0 (0.05),0.14 (0.19),0.02 (0.17),0.28 (0.15),0.11 (0.27),0.0 (0.22),0.0 (0.0),0.1 (0.13),0.0 (0.0),0.0 (0.0),0.39 (0.18),0.12 (0.19)
betw cen e-wpli alpha,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.14),0.06 (0.26),0.39 (0.17),0.0 (0.0),0.0 (0.09),0.0 (0.06)
betw cen e-wpli beta,0.09 (0.19),0.0 (0.0),0.2 (0.19),0.0 (0.06),0.0 (0.07),0.16 (0.17),0.07 (0.1),0.12 (0.07),0.05 (0.13),0.0 (0.01),0.0 (0.0),0.1 (0.15)
betw cen e-wpli delta,0.0 (0.09),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.15 (0.16),0.03 (0.08),0.05 (0.05),0.0 (0.0),0.0 (0.0),0.07 (0.16),0.13 (0.24)
betw cen e-wpli gamma,0.24 (0.15),0.0 (0.08),0.2 (0.3),0.0 (0.01),0.0 (0.04),0.0 (0.09),0.0 (0.0),0.0 (0.01),0.0 (0.17),0.13 (0.31),0.0 (0.0),0.16 (0.18)
betw cen e-wpli theta,0.0 (0.07),0.19 (0.14),0.0 (0.15),0.08 (0.18),0.0 (0.0),0.0 (0.03),0.11 (0.1),0.06 (0.08),0.0 (0.11),0.0 (0.09),0.14 (0.23),0.22 (0.26)
betw cen s-lcoh alpha,0.31 (0.17),0.24 (0.18),0.19 (0.22),0.03 (0.07),0.06 (0.18),0.07 (0.29),0.02 (0.07),0.0 (0.02),0.23 (0.31),0.29 (0.19),0.33 (0.19),0.0 (0.22)
betw cen s-lcoh beta,0.0 (0.0),0.0 (0.11),0.12 (0.24),0.0 (0.02),0.0 (0.0),0.09 (0.14),0.03 (0.05),0.02 (0.09),0.15 (0.27),0.03 (0.16),0.05 (0.18),0.0 (0.0)
betw cen s-lcoh delta,0.0 (0.14),0.16 (0.18),0.0 (0.0),0.0 (0.0),0.0 (0.03),0.27 (0.37),0.0 (0.0),0.0 (0.0),0.01 (0.11),0.0 (0.0),0.0 (0.11),0.0 (0.13)
betw cen s-lcoh gamma,0.0 (0.0),0.0 (0.09),0.05 (0.14),0.0 (0.11),0.0 (0.0),0.14 (0.24),0.09 (0.06),0.0 (0.02),0.09 (0.14),0.0 (0.0),0.25 (0.25),0.0 (0.0)
betw cen s-lcoh theta,0.24 (0.24),0.0 (0.0),0.15 (0.16),0.0 (0.0),0.35 (0.26),0.03 (0.14),0.04 (0.07),0.01 (0.05),0.0 (0.0),0.04 (0.15),0.0 (0.04),0.0 (0.05)
betw cen s-lps alpha,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.04 (0.12),0.0 (0.0),0.0 (0.0),0.06 (0.1),0.04 (0.05),0.0 (0.02),0.12 (0.21),0.19 (0.22),0.0 (0.04)
betw cen s-lps beta,0.0 (0.07),0.0 (0.07),0.1 (0.22),0.0 (0.07),0.0 (0.0),0.0 (0.0),0.05 (0.08),0.0 (0.0),0.09 (0.24),0.0 (0.04),0.05 (0.1),0.0 (0.03)
betw cen s-lps delta,0.0 (0.13),0.0 (0.06),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.0 (0.0),0.0 (0.03),0.0 (0.01),0.06 (0.23),0.02 (0.14),0.0 (0.0),0.0 (0.0)
betw cen s-lps gamma,0.0 (0.0),0.0 (0.0),0.0 (0.06),0.0 (0.0),0.0 (0.0),0.07 (0.2),0.11 (0.14),0.0 (0.1),0.28 (0.3),0.0 (0.0),0.0 (0.0),0.0 (0.0)
betw cen s-lps theta,0.15 (0.17),0.0 (0.0),0.0 (0.11),0.0 (0.0),0.0 (0.11),0.06 (0.18),0.01 (0.04),0.0 (0.06),0.0 (0.05),0.0 (0.0),0.0 (0.02),0.18 (0.2)
clust coef e-icoh alpha,0.0 (0.03),0.0 (0.0),0.0 (0.02),0.04 (0.04),0.0 (0.01),0.01 (0.03),0.02 (0.03),0.04 (0.05),0.27 (0.15),0.07 (0.18),0.0 (0.02),0.0 (0.01)
clust coef e-icoh beta,0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.07),0.0 (0.01),0.0 (0.02),0.01 (0.03),0.0 (0.16)
clust coef e-icoh delta,0.0 (0.01),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.02),0.01 (0.01),0.0 (0.02),0.03 (0.05),0.0 (0.01),0.0 (0.01)
clust coef e-icoh gamma,0.0 (0.18),0.0 (0.08),0.0 (0.0),0.03 (0.04),0.03 (0.03),0.13 (0.18),0.0 (0.0),0.0 (0.0),0.06 (0.21),0.03 (0.1),0.0 (0.0),0.0 (0.0)
clust coef e-icoh theta,0.0 (0.0),0.01 (0.32),0.03 (0.09),0.0 (0.04),0.0 (0.01),0.0 (0.0),0.02 (0.03),0.02 (0.02),0.0 (0.12),0.06 (0.36),0.13 (0.1),0.0 (0.04)
clust coef e-plv alpha,0.01 (0.1),0.0 (0.0),0.0 (0.02),0.18 (0.13),0.0 (0.0),0.0 (0.01),0.04 (0.02),0.03 (0.03),0.0 (0.01),0.05 (0.05),0.09 (0.27),0.0 (0.0)
clust coef e-plv beta,0.0 (0.0),0.0 (0.0),0.01 (0.03),0.0 (0.16),0.0 (0.0),0.0 (0.02),0.02 (0.38),0.03 (0.02),0.0 (0.04),0.0 (0.0),0.17 (0.14),0.1 (0.16)
clust coef e-plv delta,0.0 (0.14),0.0 (0.0),0.0 (0.02),0.0 (0.2),0.16 (0.45),0.01 (0.03),0.01 (0.02),0.03 (0.02),0.06 (0.06),0.05 (0.05),0.09 (0.07),0.0 (0.12)
clust coef e-plv gamma,0.0 (0.0),0.0 (0.0),0.0 (0.04),0.0 (0.0),0.12 (0.19),0.0 (0.0),0.01 (0.04),0.03 (0.04),0.02 (0.04),0.0 (0.0),0.3 (0.33),0.01 (0.06)
clust coef e-plv theta,0.0 (0.0),0.0 (0.0),0.03 (0.18),0.01 (0.2),0.03 (0.11),0.0 (0.0),0.03 (0.02),0.03 (0.03),0.01 (0.04),0.11 (0.29),0.25 (0.2),0.0 (0.0)
clust coef e-wpli alpha,0.0 (0.03),0.0 (0.0),0.0 (0.02),0.05 (0.07),0.0 (0.0),0.01 (0.03),0.03 (0.06),0.02 (0.08),0.26 (0.19),0.13 (0.17),0.0 (0.03),0.0 (0.0)
clust coef e-wpli beta,0.0 (0.0),0.0 (0.01),0.0 (0.18),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.01),0.03 (0.07),0.0 (0.01),0.0 (0.0),0.02 (0.04),0.0 (0.11)
clust coef e-wpli delta,0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.04),0.0 (0.0),0.0 (0.02),0.02 (0.01),0.0 (0.02),0.03 (0.04),0.0 (0.02),0.0 (0.01)
clust coef e-wpli gamma,0.0 (0.14),0.0 (0.0),0.0 (0.01),0.03 (0.04),0.03 (0.02),0.09 (0.18),0.0 (0.01),0.0 (0.0),0.18 (0.26),0.03 (0.06),0.0 (0.0),0.0 (0.0)
clust coef e-wpli theta,0.0 (0.0),0.31 (0.19),0.05 (0.1),0.22 (0.22),0.0 (0.01),0.0 (0.0),0.02 (0.03),0.02 (0.02),0.0 (0.17),0.01 (0.05),0.19 (0.12),0.0 (0.02)
