,Cvlt attention span,Cvlt delayed memory,Pts-2 subtest 3,Rwt animal categories,Rwt s words,Tap alertness,Tap simon congruent,Tap simon incongruent,Tap working memory,Tmt-B,Vocabulary test,median
PC 1,0.18,0.14,0.24,0.31,0.24,0.2,0.08,0.13,0.13,0.22,0.13,0.18
PC 1-2,0.27,0.23,0.34,0.4,0.26,0.2,0.07,0.15,0.15,0.21,0.29,0.23
PC 1-3,0.26,0.28,0.37,0.44,0.25,0.19,,,0.22,,0.34,0.27
PC 1-4,0.25,0.27,0.36,0.43,0.23,,,,0.34,,0.42,0.34
PC 1-5,,0.29,0.38,0.47,0.23,,,,0.32,,0.44,0.35
PC 1-6,,,0.37,,0.23,,,,,,0.43,0.37
PC 1-7,,,0.36,,,,,,,,0.46,0.41
PC 1-8,,,0.35,,,,,,,,0.45,0.4
PC 1-9,,,0.34,,,,,,,,0.45,0.39
PC 1-10,,,0.33,,,,,,,,0.44,0.38
PC 1-11,,,0.34,,,,,,,,0.43,0.39
PC 1-12,,,0.34,,,,,,,,0.42,0.38
PC 1-13,,,0.33,,,,,,,,,0.33
