,Cvlt attention span,Cvlt delayed memory,Pts-2 subtest 3,Rwt animal categories,Rwt s words,Tap alertness,Tap simon incongruent,Tap working memory,Vocabulary test,median
PC 1,0.15,0.21,0.24,0.37,0.23,0.26,0.41,0.47,0.41,0.26
PC 1-2,0.14,0.22,0.33,0.36,0.22,0.25,0.45,0.46,0.46,0.33
PC 1-3,0.13,0.2,0.33,0.38,0.23,,0.47,0.45,0.46,0.35
PC 1-4,,,0.32,0.37,0.22,,0.46,0.44,0.45,0.41
PC 1-5,,,0.33,0.39,0.22,,0.46,0.43,,0.39
PC 1-6,,,0.35,,,,,0.42,,0.39
PC 1-7,,,0.35,,,,,0.44,,0.39
PC 1-8,,,0.35,,,,,,,0.35
PC 1-9,,,0.35,,,,,,,0.35
PC 1-10,,,0.34,,,,,,,0.34
PC 1-11,,,0.33,,,,,,,0.33
PC 1-12,,,0.33,,,,,,,0.33
PC 1-13,,,0.32,,,,,,,0.32
PC 1-14,,,0.31,,,,,,,0.31
PC 1-15,,,0.35,,,,,,,0.35
PC 1-16,,,0.34,,,,,,,0.34
PC 1-17,,,0.33,,,,,,,0.33
PC 1-18,,,0.31,,,,,,,0.31
PC 1-19,,,0.34,,,,,,,0.34
PC 1-20,,,0.33,,,,,,,0.33
