,Cvlt attention span,Cvlt delayed memory,Pts-2 subtest 3,Rwt animal categories,Rwt s words,Tap alertness,Tap simon congruent,Tap simon incongruent,Tap working memory,Tmt-A,Tmt-B,Vocabulary test,median
PC 1,0.11,0.17,0.11,0.11,0.11,0.07,0.12,0.09,0.14,0.18,0.2,0.14,0.12
PC 1-2,0.13,0.17,0.11,0.22,0.11,0.09,0.11,0.14,0.14,0.17,0.21,0.14,0.14
PC 1-3,0.15,0.18,0.11,0.22,0.13,0.09,0.11,0.14,0.15,0.17,0.21,0.13,0.14
PC 1-4,0.15,0.2,,0.22,0.14,,0.13,0.14,0.18,0.18,0.26,0.13,0.16
PC 1-5,0.15,,,0.21,0.14,,0.14,0.13,0.18,0.22,0.25,0.14,0.15
PC 1-6,0.14,,,0.21,0.13,,0.13,0.2,0.2,0.23,0.25,,0.2
PC 1-7,0.14,,,0.22,0.12,,0.17,0.19,0.19,0.26,0.25,,0.19
PC 1-8,0.13,,,0.21,0.16,,0.17,0.19,0.19,0.25,0.25,,0.19
PC 1-9,0.13,,,0.21,0.16,,0.21,0.18,0.19,0.25,0.26,,0.2
PC 1-10,0.12,,,0.2,,,0.21,0.18,,0.26,0.25,,0.2
PC 1-11,0.13,,,0.2,,,0.27,0.17,,0.26,0.25,,0.22
PC 1-12,0.14,,,,,,0.26,0.17,,0.26,0.25,,0.25
PC 1-13,,,,,,,0.29,0.16,,0.26,0.25,,0.25
PC 1-14,,,,,,,0.29,0.16,,0.25,0.26,,0.26
PC 1-15,,,,,,,0.28,0.16,,0.24,,,0.24
PC 1-16,,,,,,,0.28,,,0.24,,,0.26
PC 1-17,,,,,,,0.29,,,0.24,,,0.27
PC 1-18,,,,,,,0.3,,,0.24,,,0.27
