,ICC 25th,ICC 50th,ICC 75th,multivardcor,ICC 25th,ICC 50th,ICC 75th,multivardcor
ampl total power alpha,0.93,0.96,0.98,1.0,0.93,0.94,0.98,1.0
ampl total power beta,0.91,0.96,0.98,1.0,0.94,0.98,0.99,1.0
ampl total power delta,0.85,0.94,0.98,1.0,0.85,0.96,0.99,1.0
ampl total power gamma,0.87,0.97,0.98,0.99,0.92,0.97,0.98,1.0
ampl total power theta,0.91,0.95,0.98,1.0,0.88,0.92,0.97,1.0
approx entropy,0.96,0.97,0.97,0.99,0.97,0.98,0.99,1.0
betw cen e-icoh alpha,0.03,0.07,0.22,0.36,0.02,0.08,0.2,0.0
betw cen e-icoh beta,0.03,0.07,0.16,0.59,0.0,0.09,0.16,1.0
betw cen e-icoh delta,0.06,0.12,0.19,0.15,0.0,0.07,0.16,0.0
betw cen e-icoh gamma,0.05,0.1,0.19,0.67,0.01,0.09,0.21,1.0
betw cen e-icoh theta,0.04,0.12,0.19,0.3,0.03,0.07,0.2,1.0
betw cen e-plv alpha,0.02,0.1,0.17,0.33,0.0,0.08,0.23,0.0
betw cen e-plv beta,0.02,0.05,0.1,0.25,-0.02,0.06,0.1,0.0
betw cen e-plv delta,0.04,0.09,0.11,0.14,0.01,0.1,0.15,0.0
betw cen e-plv gamma,-0.04,0.01,0.04,0.21,-0.04,-0.0,0.08,0.0
betw cen e-plv theta,0.02,0.06,0.12,0.33,-0.0,0.09,0.17,0.0
betw cen e-wpli alpha,0.02,0.11,0.16,0.18,0.03,0.12,0.25,0.0
betw cen e-wpli beta,0.05,0.09,0.18,0.25,0.03,0.13,0.28,0.0
betw cen e-wpli delta,0.06,0.11,0.19,0.17,0.04,0.11,0.23,0.0
betw cen e-wpli gamma,0.07,0.16,0.23,0.22,0.09,0.13,0.18,0.0
betw cen e-wpli theta,0.02,0.08,0.15,0.08,0.01,0.12,0.21,0.0
clust coef e-icoh alpha,0.66,0.68,0.75,0.77,0.78,0.82,0.87,1.0
clust coef e-icoh beta,0.6,0.66,0.71,0.78,0.66,0.71,0.74,1.0
clust coef e-icoh delta,0.4,0.43,0.49,0.57,0.5,0.55,0.6,1.0
clust coef e-icoh gamma,0.58,0.63,0.69,0.8,0.68,0.76,0.8,1.0
clust coef e-icoh theta,0.68,0.72,0.75,0.82,0.73,0.76,0.79,1.0
clust coef e-plv alpha,0.07,0.09,0.11,0.87,0.12,0.15,0.18,1.0
clust coef e-plv beta,0.01,0.01,0.02,0.59,0.02,0.02,0.03,1.0
clust coef e-plv delta,0.01,0.02,0.02,0.49,0.05,0.06,0.08,1.0
clust coef e-plv gamma,0.0,0.01,0.02,0.31,0.02,0.02,0.04,0.0
clust coef e-plv theta,0.02,0.03,0.04,0.72,0.04,0.04,0.05,1.0
clust coef e-wpli alpha,0.49,0.55,0.66,0.81,0.67,0.73,0.82,1.0
clust coef e-wpli beta,0.5,0.56,0.63,0.8,0.49,0.57,0.63,1.0
clust coef e-wpli delta,0.46,0.54,0.59,0.55,0.6,0.64,0.71,1.0
clust coef e-wpli gamma,0.6,0.64,0.7,0.78,0.72,0.81,0.9,1.0
clust coef e-wpli theta,0.72,0.76,0.81,0.85,0.62,0.69,0.73,1.0
correlation dimension,-0.02,0.03,0.07,0.14,-0.05,0.03,0.08,0.0
dfa exponent alpha,0.95,0.96,0.97,0.99,0.97,0.98,0.99,1.0
dfa exponent beta,0.96,0.97,0.98,0.99,0.98,0.99,0.99,1.0
dfa exponent delta,0.92,0.94,0.95,0.98,0.96,0.97,0.98,1.0
dfa exponent gamma,0.96,0.97,0.98,0.98,0.98,0.98,0.99,1.0
dfa exponent theta,0.96,0.97,0.98,0.99,0.97,0.98,0.99,1.0
higuchi fractal dim,0.97,0.97,0.98,0.99,0.98,0.98,0.99,1.0
hjorth activity,0.91,0.96,0.98,1.0,0.92,0.96,0.98,1.0
hjorth complexity,0.97,0.97,0.98,0.99,0.98,0.99,0.99,1.0
hjorth mobility,0.97,0.98,0.99,0.99,0.98,0.99,0.99,1.0
katz fractal dim,0.93,0.97,0.98,1.0,0.94,0.97,0.99,1.0
kurtosis ampl alpha,0.96,0.98,0.98,1.0,0.93,0.95,0.98,1.0
kurtosis ampl beta,0.95,0.96,0.98,0.99,0.92,0.95,0.96,1.0
kurtosis ampl delta,0.89,0.92,0.94,0.99,0.93,0.95,0.96,1.0
kurtosis ampl gamma,0.9,0.94,0.96,0.97,0.9,0.94,0.97,1.0
kurtosis ampl theta,0.94,0.95,0.96,0.99,0.94,0.95,0.97,1.0
life time alpha,0.93,0.94,0.98,0.99,0.93,0.96,0.97,1.0
